i,ar_1,ar_2,ar_3,ar_4,ar_5,ar_6,omega_range_1,omega_range_2,omega_range_4
58.0,0.509504,0.489888,0.68924925,0.0,0.0,0.0,0.00422102,0.13006655,0.0
59.0,0.492802,0.475008,0.67174775,0.0,0.0,0.0,0.00422102,0.13006655,0.0
60.0,0.474054,0.456592,0.67087688,0.0,0.0,0.0,0.00422102,0.13006655,0.0
61.0,0.458478,0.509864,0.668997,0.0,0.0,0.0,0.00422102,0.10838879,0.0
62.0,0.50591,0.495264,0.66153153,0.0,0.0,0.0,0.00351751,0.10838879,0.0
63.0,0.4874,0.482544,0.656,0.0,0.0,0.0,0.00351751,0.10838879,0.0
64.0,0.472426,0.465936,0.6508048,0.0,0.0,0.0,0.00351751,0.10838879,0.0
65.0,0.455852,0.513544,0.64697898,0.0,0.0,0.0,0.00351751,0.09032399,0.0
66.0,0.502678,0.497408,0.63593994,0.0,0.0,0.0,0.00293126,0.09032399,0.0
67.0,0.4865,0.484968,0.63383784,0.0,0.0,0.0,0.00293126,0.09032399,0.0
68.0,0.469232,0.469272,0.62591592,0.0,0.0,0.0,0.00293126,0.09032399,0.0
69.0,0.452814,0.51184,0.61637838,0.0,0.0,0.0,0.00293126,0.07526999,0.0
70.0,0.500318,0.500232,0.60631832,0.0,0.0,0.0,0.00244272,0.07526999,0.0
71.0,0.483466,0.48416,0.60278679,0.0,0.0,0.0,0.00244272,0.07526999,0.0
72.0,0.465524,0.468824,0.5972012,0.0,0.0,0.0,0.00244272,0.07526999,0.0
73.0,0.512806,0.513856,0.58736937,0.0,0.0,0.0,0.0020356,0.06272499,0.0
74.0,0.497174,0.499808,0.58029429,0.0,0.0,0.0,0.0020356,0.06272499,0.0
75.0,0.479632,0.483456,0.58001802,0.0,0.0,0.0,0.0020356,0.06272499,0.0
76.0,0.461876,0.47028,0.56863063,0.0,0.0,0.0,0.0020356,0.06272499,0.0
77.0,0.509888,0.514008,0.56335736,0.0,0.0,0.0,0.00169633,0.05227083,0.0
78.0,0.493804,0.497448,0.55407808,0.0,0.0,0.0,0.00169633,0.05227083,0.0
79.0,0.475702,0.486064,0.5465045,0.0,0.0,0.0,0.00169633,0.05227083,0.0
80.0,0.458766,0.468904,0.54057057,0.0,0.0,0.0,0.00169633,0.05227083,0.0
81.0,0.507946,0.513416,0.53087087,0.0,0.0,0.0,0.00141361,0.04355902,0.0
82.0,0.49003,0.494576,0.52342342,0.0,0.0,0.0,0.00141361,0.04355902,0.0
83.0,0.47264,0.48128,0.51738138,0.0,0.0,0.0,0.00141361,0.04355902,0.0
84.0,0.456008,0.466912,0.51138138,0.0,0.0,0.0,0.00141361,0.04355902,0.0
85.0,0.502566,0.516976,0.50763363,0.0,0.0,0.0,0.00117801,0.03629919,0.0
86.0,0.485706,0.50332,0.49569369,0.0,0.0,0.0,0.00117801,0.03629919,0.0
87.0,0.46907,0.483272,0.47954354,0.0,0.0,0.0,0.00117801,0.03629919,0.0
88.0,0.516712,0.464608,0.47563363,0.0,0.0,0.0,0.00098167,0.03629919,0.0
