j,ar_cont_s,∆w_cont_s,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,0.5013233333333333,2.256618584089356,0.0,0.0,0.4697916666666666,0.0001693236612602997,0.4531601731601733,24.116883116883116,0.0
1,0.5012430555555556,3.11048331323893,0.0,0.0,0.5049045138888889,0.00020128176650430614,0.45738636363636354,26.324675324675326,0.0
2,0.5044581818181818,4.372176617047408,0.0,0.0,0.5227272727272727,0.0002583211625889189,0.488642266824085,23.31168831168831,0.0
3,0.4938935361216729,5.014574853610112,0.0,0.0,0.4939163498098858,0.001069868896909095,0.4879759024245717,11.051948051948052,0.0
4,0.495996,5.055373142815494,0.0,0.0,0.48109999999999997,0.001164132781766844,0.5069090909090911,11.233766233766234,0.0
5,0.49480672268907555,5.056452549678565,0.0,0.0,0.48182773109243693,0.0012678642382468609,0.5025646622285278,10.311688311688311,0.0
6,0.4924622222222223,5.093432812015682,0.0,0.0,0.5016666666666667,0.0014367514860011957,0.48380952380952397,10.220779220779221,0.0
7,0.4942676056338028,5.055242718835797,0.0,0.0,0.4991197183098592,0.0013878610249330545,0.4693616242912019,9.948051948051948,0.0
8,0.49485999999999997,5.012775498493352,0.0,0.0,0.48325000000000007,0.0009548947212250714,0.519155844155844,9.883116883116884,0.0
9,0.49292553191489374,4.97531513123502,0.0,0.0,0.487965425531915,0.0009287855723181928,0.489154462558718,9.636363636363637,0.0
10,0.4968685714285713,4.97184553971606,0.0,0.0,0.47278571428571425,0.0011001656575228393,0.49818181818181806,9.779220779220779,0.0
11,0.49514110429447844,4.950209613421562,0.0,0.0,0.492638036809816,0.0011344109860912373,0.49334714365389204,8.87012987012987,0.0
12,0.49803333333333333,4.913318595360755,0.0,0.0,0.4924999999999999,0.0011205726599095205,0.4852813852813851,9.025974025974026,0.0
13,0.49087681159420277,4.946161930569484,0.0,0.0,0.49103260869565224,0.000900342231895102,0.49341238471673243,8.935064935064934,0.0
14,0.497672,4.914858916651,0.0,0.0,0.4885,0.0009977019730881777,0.4915324675324677,8.96103896103896,0.0
15,0.49198230088495576,4.849152821954439,0.0,0.0,0.5055309734513275,0.001068582884141908,0.47925525801632,8.779220779220779,0.0
16,0.4934400000000001,4.85130996508429,0.0,0.0,0.47837499999999994,0.0010703207790929644,0.5018181818181818,8.714285714285714,0.0
17,0.4960113636363636,4.843066411848516,0.0,0.0,0.4882102272727272,0.001002362279030445,0.4915879574970484,8.090909090909092,0.0
18,0.4931066666666667,4.80012839235655,0.0,0.0,0.4869999999999998,0.0010244705097721303,0.4941991341991343,8.402597402597403,0.0
19,0.49977777777777765,4.7972894359547125,0.0,0.0,0.46805555555555556,0.0009862736350444742,0.497423211708926,8.571428571428571,0.0
20,0.48774,4.7904773801850675,0.0,0.0,0.492,0.0009869238628522812,0.5072727272727275,8.0,0.0
21,0.49640000000000006,4.763776544994299,0.0,0.0,0.48200000000000004,0.000965801607806099,0.46961038961038976,7.974025974025974,0.0
22,0.4875799999999999,4.728433440817472,0.0,0.0,0.475,0.00093155824187729,0.4753246753246753,7.558441558441558,0.0
23,0.4922800000000001,4.691091128347795,0.0,0.0,0.47750000000000004,0.0008947549185282964,0.48207792207792216,7.753246753246753,0.0
24,0.49032,4.608208666843351,0.0,0.0,0.4717500000000002,0.0009110061781876924,0.4820779220779222,7.142857142857143,0.0
25,0.49656000000000006,4.596284814061346,0.0,0.0,0.5045000000000001,0.0008901968164154783,0.46753246753246763,6.909090909090909,0.0
26,0.49198,4.561697883780286,0.0,0.0,0.4912500000000001,0.0007472472467408255,0.4864935064935064,7.441558441558442,0.0
