j,theta,chi2_min,chi2_avg,chi2_sigma,w_edge_R,w_n0_R,n0_R,eps_R,w_edge_R_sigma,w_n0_R_sigma,n0_R_sigma,w_edge_L,w_n0_L,n0_L,eps_L,w_edge_L_sigma,w_n0_L_sigma,n0_L_sigma
61,0.0328427,1.1989816369465365,1.2072034098705284,0.0005005340631950577,-1.0287073225209027, -0.6424787851548963,0.75,0.5,0.00019775337111021716, 0.00013185382722457803,0.0,1.5443289051894655, -0.18579626115635844,0.75,0.5,0.000939400786959113, 8.236075582588002e-5,0.0
62,0.029857,1.1989816369465365,1.2056562124920307,0.0002640867602318581,-1.0260671980609148, -0.640854136243179,0.75,0.5,0.000246923064314862, 0.00013924974338700208,0.0,1.5440267466542967, -0.18650414098240692,0.75,0.5,0.0004659768686887031, 9.029914952825712e-5,0.0
63,0.02714273,1.191072551746958,1.1984702073065616,0.0005926100783289688,-1.0274401724959101, -0.6407454482277101,0.75,0.5,0.0002235405712280946, 0.00010320337406176925,0.0,1.5227448914778028, -0.18627217841914734,0.75,0.5,0.001354278779351926, 7.974651487333047e-5,0.0
64,0.02467521,1.189500237913533,1.1944186251560067,0.00032861036585822844,-1.028088835126712, -0.6419123784558534,0.75,0.5,0.00014653009344547789, 0.00013440721371991198,0.0,1.5169142782326066, -0.1863707486441104,0.75,0.5,0.000490324856123581, 7.360824495278561e-5,0.0
65,0.02243201,1.1829324318772456,1.1886516480978455,0.00041599814637291606,-1.0303764800212911, -0.6445086278103478,0.75,0.5,0.00030697083833395515, 0.00011207080498555941,0.0,1.509844255358987, -0.18674123051700192,0.75,0.5,0.000636755388698214, 4.210718887861768e-5,0.0
66,0.02039273,1.1794772714130974,1.185522871005205,0.0003686673364935657,-1.0302836080931435, -0.6440990005309557,0.75,0.5,0.00019716508231448665, 8.6994762362665e-5,0.0,1.5187969474878331, -0.18689469661672414,0.75,0.5,0.00046478977109231333, 8.389895026633837e-5,0.0
67,0.01853885,1.1786607943657434,1.18176783724154,0.00014800712664865884,-1.0282382340372216, -0.6438135581470188,0.75,0.5,0.00013929952467162438, 0.00010347094927546052,0.0,1.5168346852119914, -0.18759899528959512,0.75,0.5,0.000499391930338888, 7.280096798599821e-5,0.0
68,0.0168535,1.172615257737735,1.177251647273153,0.00029200864128447443,-1.028794070173761, -0.6443385768835791,0.75,0.5,0.00014154707494190216, 0.0001714538867293532,0.0,1.5108611823424485, -0.18787237505744347,0.75,0.5,0.0006399338730638858, 5.3141333333292424e-5,0.0
69,0.01532136,1.170509382579416,1.174773156877673,0.0002765197401257228,-1.0316461588000254, -0.6450691239549029,0.75,0.5,0.0001851114809256443, 9.802424383403523e-5,0.0,1.5045192297214978, -0.18756343492941047,0.75,0.5,0.0006356933082894039, 4.9463794009911454e-5,0.0
70,0.01392851,1.167953471891741,1.170727355553696,0.0001332218481741126,-1.033825363764363, -0.6449286970734823,0.75,0.5,0.0001507037771297278, 9.343443032413257e-5,0.0,1.4993557439747902, -0.18883101754290743,0.75,0.5,0.0003219049818606638, 8.024252058480402e-5,0.0
71,0.01266228,1.1647012634712295,1.1674431939345085,0.00016115548126914583,-1.0353307780774164, -0.6442342590872848,0.75,0.5,0.0001238342311349269, 7.93889040744862e-5,0.0,1.4982932843536085, -0.18965146858368456,0.75,0.5,0.000346455217888268, 5.691707317812311e-5,0.0
72,0.01151117,1.1619002497152897,1.1643539594171768,0.00015949328464907742,-1.0382788998568064, -0.6440496380079898,0.75,0.5,0.00018655635202393666, 6.563015698228002e-5,0.0,1.4991895026217272, -0.1906334860831272,0.75,0.5,0.00026352612650562616, 7.304589577688086e-5,0.0
73,0.0104647,1.1602927661115243,1.1623879184375527,8.185190859130838e-5,-1.0399763701954967, -0.6430856635081298,0.75,0.5,8.81489476532034e-5, 7.62192912398887e-5,0.0,1.5000711995292821, -0.19077428708655397,0.75,0.5,0.00026810685627530267, 4.747690611880644e-5,0.0
74,0.00951336,1.1602927661115243,1.1625920479722747,8.25751058228933e-5,-1.0391823768510302, -0.6428775930275614,0.75,0.5,0.00010236236778577634, 4.824996549163567e-5,0.0,1.501475308718978, -0.19049032791958076,0.75,0.5,0.00027808023863726066, 5.146367994707416e-5,0.0
75,0.00864851,1.1602927661115243,1.1627068556264166,7.89337923820641e-5,-1.037064126657716, -0.6427345129613226,0.75,0.5,0.00015949946573582904, 9.19337328858375e-5,0.0,1.494413669391748, -0.19015846791514754,0.75,0.5,0.0004021686975911555, 4.772345499470503e-5,0.0
76,0.00786228,1.1589295264249533,1.1611930127660615,0.00011648306781810269,-1.0346778219141657, -0.6419295700939949,0.75,0.5,0.0001159045921194318, 7.738530703129281e-5,0.0,1.4944494814275557, -0.1908117357871272,0.75,0.5,0.00029761276002502484, 6.289843998408724e-5,0.0
77,0.00714753,1.1586891469660063,1.1601551979330917,6.613264495240115e-5,-1.0338302946346394, -0.6417542940492436,0.75,0.5,7.079846734289878e-5, 7.141128602667017e-5,0.0,1.4972438105776102, -0.1908175354495114,0.75,0.5,0.0003482992648871101, 2.0909418020973436e-5,0.0
78,0.00649775,1.1571167208232573,1.1590725613604704,0.00012017098277276726,-1.0338248761781574, -0.6407431973646042,0.75,0.5,9.321475919996303e-5, 3.581867927861554e-5,0.0,1.4962401101971794, -0.1908992075970464,0.75,0.5,0.00024570524577834617, 6.871419371467514e-5,0.0
79,0.00590705,1.155653772451323,1.1569771498198471,9.099884018859124e-5,-1.0337346304400445, -0.6405476558698043,0.75,0.5,9.8913376842746e-5, 6.40119030715684e-5,0.0,1.4944020520634658, -0.1905793988912636,0.75,0.5,0.0003040280383993144, 6.383803299720723e-5,0.0
80,0.00537004,1.1538873481167633,1.155128769950618,8.468586095534728e-5,-1.0338246555633381, -0.6396111388920896,0.75,0.5,6.50918765290645e-5, 3.395920232262221e-5,0.0,1.4979390526803134, -0.1907884605850441,0.75,0.5,0.000296382029731121, 4.584180780594342e-5,0.0
81,0.00488186,1.1514235122840306,1.1531165585346113,8.641437490262162e-5,-1.0338879923849997, -0.6387986971731924,0.75,0.5,0.00016873180211904773, 9.842833019527997e-5,0.0,1.4937468802773284, -0.19174827004116057,0.75,0.5,0.0004012094205292846, 4.363632772443217e-5,0.0
82,0.00443805,1.1496389615596387,1.1508228808705714,9.124170834318553e-5,-1.0336494058440269, -0.6384787321535911,0.75,0.5,9.527499355244451e-5, 3.565349828262735e-5,0.0,1.4862703142595675, -0.192343383788101,0.75,0.5,0.000301441249547773, 3.758961170827173e-5,0.0
83,0.00403459,1.1479318069789133,1.149424771677942,8.237234819848609e-5,-1.0320897100319004, -0.6378965292803283,0.75,0.5,7.361522997470752e-5, 5.932614437218785e-5,0.0,1.4813384347951695, -0.19293511200629843,0.75,0.5,0.000295530868713635, 4.322294988811534e-5,0.0
84,0.00366781,1.1469983207733836,1.1479335023265302,5.218042353916873e-5,-1.0330430846757561, -0.6370716009990783,0.75,0.5,0.00010890955101930398, 3.554597297592913e-5,0.0,1.4756370817481628, -0.19358997004082962,0.75,0.5,0.0002769733610893141, 4.523094313392225e-5,0.0
1,10.0,1.4111642597698333,2.8574234673297023,0.07065993982920225,-1.0281439596984543, -0.6418769146696024,0.75,0.5,0.0009862017224362485, 0.0009832666249179726,0.0,1.6286448047363091, -0.1602817353522161,0.75,0.5,0.0016328600193857067, 0.0006907584251451608,0.0
2,9.09090909,1.4111642597698333,2.8756375910198058,0.06410696876051473,-1.029934828499683, -0.6405772459689947,0.75,0.5,0.0009473172768099672, 0.0009691104607403078,0.0,1.6302337705537215, -0.16842537272243938,0.75,0.5,0.0012821282430574758, 0.0006163529911538347,0.0
3,8.26446281,1.359042391687529,2.5968019084526874,0.056750476777235284,-1.0270230529990072, -0.64587669853837,0.75,0.5,0.0011354136829619648, 0.0008348924923466562,0.0,1.6268711456810734, -0.16303880574872773,0.75,0.5,0.0014622006493264176, 0.0009466879445731784,0.0
4,7.51314801,1.359042391687529,2.5160645277572935,0.07227615853153395,-1.032476685186753, -0.6426380244641912,0.75,0.5,0.0009666910384224853, 0.0012117804080851262,0.0,1.6203754466621667, -0.16179121637932814,0.75,0.5,0.0014363973032972767, 0.0016328588596489925,0.0
5,6.83013455,1.359042391687529,2.2864060652907634,0.044914759958125966,-1.020476821440926, -0.6564757653257245,0.75,0.5,0.00119006153518995, 0.0014071044975637534,0.0,1.6326449877457954, -0.15950766134095948,0.75,0.5,0.0015281663818255493, 0.0008511802924227117,0.0
6,6.20921323,1.3569064301241796,2.3394093761106705,0.046302053611687086,-1.0289698609695597, -0.6452294621565706,0.75,0.5,0.0008658943503726058, 0.001032607140385509,0.0,1.6295747412819057, -0.17276560112820033,0.75,0.5,0.0014626273191795784, 0.0014335449262916512,0.0
7,5.6447393,1.3569064301241796,2.9283083284150337,0.06198246983941498,-1.0399029456429496, -0.6321319277833221,0.75,0.5,0.001201778427331324, 0.0010928636452391673,0.0,1.6321848145791449, -0.19538050180688735,0.75,0.5,0.0013732640489242064, 0.0003966569595883056,0.0
8,5.13158118,1.3569064301241796,3.1575770792506144,0.061068393855890926,-1.041472731479629, -0.6270603500620996,0.75,0.5,0.0005288314010650265, 0.0008601563496812841,0.0,1.6276081231157842, -0.18782158708574304,0.75,0.5,0.0013045394928172778, 0.0007447761790920502,0.0
9,4.6650738,1.3569064301241796,2.076943919821715,0.03161384122203132,-1.0296710988680835, -0.6468481716189165,0.75,0.5,0.000915021237322914, 0.0007977572473553717,0.0,1.622323811773225, -0.172572957111482,0.75,0.5,0.0010486896546654842, 0.0010979252031472248,0.0
10,4.24097618,1.3314313095530286,1.971794234705158,0.049864286950537164,-1.0264638999710092, -0.6506615027611085,0.75,0.5,0.0005369738294136192, 0.0006742734647208697,0.0,1.622500960965592, -0.1567764098112872,0.75,0.5,0.0018343489607796823, 0.0007498510145196109,0.0
11,3.85543289,1.3314313095530286,1.8756466138128314,0.027911062797935173,-1.0215938069959951, -0.6551140312086998,0.75,0.5,0.0012501635023688216, 0.0010605663272255151,0.0,1.6285201146937838, -0.15901866726085617,0.75,0.5,0.0010181359536141083, 0.0005178072217652123,0.0
12,3.50493899,1.3314313095530286,1.7195136039408634,0.020775296642270114,-1.0188180057647673, -0.6579780774019348,0.75,0.5,0.0008634804391432843, 0.001000624787178524,0.0,1.6173256988309526, -0.15622637909610834,0.75,0.5,0.0015029076319123145, 0.0006246292113523329,0.0
