j,ar_cont_s,∆w_cont_s,ar_cont_d,∆w_cont_d,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,NaN,NaN,0.0,-0.0005231714211108675,0.0,0.0,0.46725000000000005,0.0020243998798126026,0.48142857142857143,14.935064935064934,0.5449946106813218
1,NaN,NaN,0.0,-3.5595423976923216e-7,0.0,0.0,0.497345890410959,0.0021934555349395132,0.4975982921188402,13.03896103896104,0.5120860128644174
2,NaN,NaN,0.0,-2.4218337565278005e-10,0.0,0.0,0.493661971830986,0.0024233309413997433,0.48683007133711365,12.142857142857142,0.43476697206025167
3,NaN,NaN,0.0,-1.647762012347447e-13,0.0,0.0,0.48581818181818176,0.0020935397655273994,0.48826446280991753,12.051948051948052,0.5910002612486661
4,NaN,NaN,0.0,-1.1211007535166223e-16,0.0,0.0,0.4885299625468166,0.0021172036312304627,0.4976895763412617,11.753246753246753,0.4889458209985863
5,NaN,NaN,0.0,-7.627721055087143e-20,0.0,0.0,0.4735521235521235,0.0017135259825100777,0.5002256430827858,11.454545454545455,0.44618480668504706
6,NaN,NaN,0.0,-5.1897323511483186e-23,0.0,0.0,0.47960000000000014,0.0018535913326332512,0.5001558441558444,11.285714285714286,0.549639460466125
7,NaN,NaN,0.0,-3.530978870627794e-26,0.0,0.0,0.4884814049586776,0.0018239392574707241,0.5046152194912525,11.155844155844155,0.5889017133286222
8,NaN,NaN,0.0,-2.4023997657723555e-29,0.0,0.0,0.4967414529914529,0.0018514281378346539,0.493894993894994,11.233766233766234,0.45941119486237375
9,NaN,NaN,0.0,-1.6345395557569312e-32,0.0,0.0,0.4848333333333333,0.001854045570585363,0.5048196248196246,11.03896103896104,0.43360751085662524
10,NaN,NaN,0.0,-1.1121044871044293e-35,0.0,0.0,0.47960829493087553,0.0015172571572484143,0.5035609551738583,10.792207792207792,0.5229572231670632
11,NaN,NaN,0.0,-7.566512452279404e-39,0.0,0.0,0.4854665071770333,0.001731940369504097,0.4958056297769217,10.779220779220779,0.4950777188564885
12,NaN,NaN,0.0,-5.1480873743766445e-42,0.0,0.0,0.48905472636815916,0.0015591967098058184,0.5160560832202621,10.87012987012987,0.5049013521659872
13,NaN,NaN,0.0,-3.5026445514184373e-45,0.0,0.0,0.4862630208333335,0.0017419450194056379,0.4939799783549785,10.441558441558442,0.5292818263812257
14,NaN,NaN,0.0,-2.383121722961588e-48,0.0,0.0,0.48885869565217394,0.0016602906389382565,0.49287125917560703,10.467532467532468,0.529494392672751
15,NaN,NaN,0.0,-1.621423202691669e-51,0.0,0.0,0.4852857142857142,0.0016503695395492517,0.512282003710575,10.727272727272727,0.3971090835001261
16,NaN,NaN,0.0,-1.1031804111792258e-54,0.0,0.0,0.489745508982036,0.0015759231779308345,0.4980169531067734,10.246753246753247,0.5117254746384307
17,NaN,NaN,0.0,-7.505795017545412e-58,0.0,0.0,0.47893081761006273,0.0016514705226019159,0.507065261782243,10.12987012987013,0.4186740982888321
18,NaN,NaN,0.0,-5.10677657747649e-61,0.0,0.0,0.48583333333333334,0.0015809861099079152,0.49445887445887443,9.987012987012987,0.523664139201354
19,NaN,NaN,0.0,-3.4745376007871634e-64,0.0,0.0,0.4893485915492957,0.001514414610907501,0.49871959026888596,10.03896103896104,0.5670224808939166
20,NaN,NaN,0.0,-2.363998376692131e-67,0.0,0.0,0.47686567164179117,0.0016080287268598742,0.491568133359178,9.766233766233766,0.5254201721436405
21,NaN,NaN,0.0,-1.608412101724543e-70,0.0,0.0,0.4821000000000001,0.0014981615623279162,0.504935064935065,9.987012987012987,0.4041284998388924
22,NaN,NaN,0.0,-1.0943279464488699e-73,0.0,0.0,0.4926282051282051,0.00148095439848893,0.5087135087135088,9.636363636363637,0.5085426749008592
23,NaN,NaN,0.0,-7.445564809509828e-77,0.0,0.0,0.4853211009174311,0.0014647836518191573,0.5006553079947575,9.818181818181818,0.48147991606091833
24,NaN,NaN,0.0,-5.0657972788234285e-80,0.0,0.0,0.4852722772277227,0.0014119095275261834,0.49132056062749146,9.311688311688311,0.47883052469305754
25,NaN,NaN,0.0,-3.446656194216151e-83,0.0,0.0,0.5027173913043479,0.0015030503091136439,0.4985883681535857,9.155844155844155,0.6252830508018621
26,NaN,NaN,0.0,-2.3450284856024987e-86,0.0,0.0,0.4956845238095239,0.001432498139737565,0.48948670377241804,9.337662337662337,0.42254588984330727
27,NaN,NaN,0.0,-1.5955054082607116e-89,0.0,0.0,0.48616666666666675,0.0015035195040918226,0.49731601731601716,9.064935064935066,0.69893320733003
28,NaN,NaN,0.0,-1.0855465182697512e-92,0.0,0.0,0.4919776119402985,0.0016341133292759613,0.49757704981585565,9.2987012987013,0.35028778365083657
29,NaN,NaN,0.0,-7.385817918424896e-96,0.0,0.0,0.49809322033898307,0.001630635016931305,0.48690292758089365,8.935064935064934,0.41549364871584354
30,NaN,NaN,0.0,-5.025146818311738e-99,0.0,0.0,0.5057499999999999,0.0015826782509227651,0.4992207792207793,9.064935064935066,0.38931562032436867
31,NaN,NaN,0.0,-3.418998521828419e-102,0.0,0.0,0.4879999999999999,0.0015225080396782165,0.49688311688311687,9.116883116883116,0.32699704136656627
32,NaN,NaN,0.0,-2.3262108182925046e-105,0.0,0.0,0.49875000000000014,0.001631623916679219,0.5098701298701298,8.74025974025974,0.41016456795938744
33,NaN,NaN,0.0,-1.5827022844827794e-108,0.0,0.0,0.4919999999999999,0.0017139375199175123,0.5007792207792208,8.558441558441558,0.4101644140511368
34,NaN,NaN,0.0,-1.0768355566094818e-111,0.0,0.0,0.49349999999999994,0.001587497376110375,0.46987012987012994,8.64935064935065,0.5110197579757739
35,NaN,NaN,0.0,-7.3265504659165665e-115,0.0,0.0,0.4932500000000001,0.0014356575934999856,0.5122077922077922,8.558441558441558,0.5121461870406039
