j,ar_cont_s,∆w_cont_s,ar_cont_d,∆w_cont_d,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,NaN,NaN,0.0,-3.5595423976923216e-7,0.0,0.0,0.08365,1.3511088700373354e-6,0.33738578680203046,50.16243654822335,0.0
1,NaN,NaN,0.0,-1.647762012347447e-13,0.0,0.0,0.6566326530612244,5.516868649186785e-7,0.3210832556372803,25.20812182741117,0.0
2,NaN,NaN,0.0,-7.627721055087143e-20,0.0,0.0,0.44966086956521734,3.84916879148793e-6,0.5570425954535423,38.3756345177665,0.0
3,NaN,NaN,0.0,-3.530978870627794e-26,0.0,0.0,0.5000355239786856,9.79544351717964e-6,0.5317867479330274,39.923857868020306,0.0
4,NaN,NaN,0.0,-1.6345395557569312e-32,0.0,0.0,0.4915454545454545,9.736947550806984e-6,0.5562805722196585,40.3756345177665,0.0
5,NaN,NaN,0.0,-7.566512452279404e-39,0.0,0.0,0.4961059479553902,1.021669393957432e-5,0.5459589002321061,40.14720812182741,0.0
6,NaN,NaN,0.0,-3.5026445514184373e-45,0.0,0.0,0.4823714285714286,8.711775037491364e-6,0.5532028039642253,40.48730964467005,0.0
7,NaN,NaN,0.0,-1.621423202691669e-51,0.0,0.0,0.5091228070175439,9.812147583541122e-6,0.536636288973986,39.6243654822335,0.0
8,NaN,NaN,0.0,-7.505795017545412e-58,0.0,0.0,0.49227,8.424164169575467e-6,0.545766497461929,39.90862944162436,0.0
9,NaN,NaN,0.0,-3.4745376007871634e-64,0.0,0.0,0.5006352459016393,8.378902903711685e-6,0.5348464675043689,40.065989847715734,0.0
10,NaN,NaN,0.0,-1.608412101724543e-70,0.0,0.0,0.4963578947368421,7.961457263377355e-6,0.5400587763825808,39.6751269035533,0.0
11,NaN,NaN,0.0,-7.445564809509828e-77,0.0,0.0,0.49183585313174943,9.094096985877462e-6,0.5409873809080045,39.19796954314721,0.0
12,NaN,NaN,0.0,-3.446656194216151e-83,0.0,0.0,0.49262222222222213,7.867944194408712e-6,0.5496559503666103,39.934010152284266,0.0
13,NaN,NaN,0.0,-1.5955054082607116e-89,0.0,0.0,0.49417808219178083,7.1698480189467125e-6,0.5383028533018103,39.76142131979695,0.0
14,NaN,NaN,0.0,-7.385817918424896e-96,0.0,0.0,0.4980705882352941,7.094300840339636e-6,0.5381188414452075,39.898477157360404,0.0
15,NaN,NaN,0.0,-3.418998521828419e-102,0.0,0.0,0.4919491525423729,7.16615120542414e-6,0.5707402809699978,40.40609137055838,0.0
16,NaN,NaN,0.0,-1.5827022844827794e-108,0.0,0.0,0.49721250000000006,7.441295255920307e-6,0.5387182741116752,40.076142131979694,0.0
17,NaN,NaN,0.0,-7.3265504659165665e-115,0.0,0.0,0.49672680412371134,7.202581412875679e-6,0.5518342142445969,40.101522842639596,0.0
18,NaN,NaN,0.0,-3.391562788270326e-121,0.0,0.0,0.50252,6.7976726294993436e-6,0.5290016920473772,39.619289340101524,0.0
19,NaN,NaN,0.0,-1.5700018992964072e-127,0.0,0.0,0.5039256198347107,7.2529444582277855e-6,0.5374278083092111,40.055837563451774,0.0
20,NaN,NaN,0.0,-7.267758604732811e-134,0.0,0.0,0.4920999999999999,7.675280692665019e-6,0.5355765047135607,39.72081218274111,0.0
21,NaN,NaN,0.0,-3.364347212595036e-140,0.0,0.0,0.4960650887573964,6.135104500918346e-6,0.5446790616646142,39.97969543147208,0.0
22,NaN,NaN,0.0,-1.5574034282763719e-146,0.0,0.0,0.4938307692307693,6.961921788054168e-6,0.5611089418196017,40.111675126903556,0.0
23,NaN,NaN,0.0,-7.20943851849382e-153,0.0,0.0,0.4927476038338658,6.178451590563616e-6,0.5548888276219978,40.192893401015226,0.0
24,NaN,NaN,0.0,-3.3373500281469066e-159,0.0,0.0,0.48573333333333335,5.771102391254679e-6,0.5557529610829104,40.243654822335024,0.0
25,NaN,NaN,0.0,-1.544906053613043e-165,0.0,0.0,0.49729166666666663,6.3773476391228355e-6,0.542618443316413,39.82741116751269,0.0
26,NaN,NaN,0.0,-7.151586421444333e-172,0.0,0.0,0.4839818181818181,5.565000412190557e-6,0.5642455006922013,39.85279187817259,0.0
27,NaN,NaN,0.0,-3.310569482446825e-178,0.0,0.0,0.49460076045627377,6.223442731251613e-6,0.5822122715253517,40.39593908629442,0.0
28,NaN,NaN,0.0,-1.5325089640593028e-184,0.0,0.0,0.4975800000000002,5.624427676535256e-6,0.5441421319796954,40.63959390862944,0.0
29,NaN,NaN,0.0,-7.094198558207849e-191,0.0,0.0,0.48271008403361343,5.325795278392701e-6,0.5436590880006824,40.31472081218274,0.0
30,NaN,NaN,0.0,-3.2840038370784253e-197,0.0,0.0,0.48331111111111114,5.119184246727154e-6,0.5567287084038354,40.49238578680203,0.0
31,NaN,NaN,0.0,-1.520211354877875e-203,0.0,0.0,0.48490610328638506,5.068303586066913e-6,0.5520840780724959,40.21827411167513,0.0
32,NaN,NaN,0.0,-7.037271203542854e-210,0.0,0.0,0.5093,5.06460057643269e-6,0.5161928934010153,39.34010152284264,0.0
33,NaN,NaN,0.0,-3.257651367575259e-216,0.0,0.0,0.4978989361702127,5.466478765635249e-6,0.5319958958850848,39.78172588832487,0.0
34,NaN,NaN,0.0,-1.5080124277890974e-222,0.0,0.0,0.48039999999999994,4.43530035439674e-6,0.5468310369833213,39.91370558375635,0.0
35,NaN,NaN,0.0,-6.980800662101022e-229,0.0,0.0,0.5021165644171779,4.092523212928247e-6,0.5466973934165862,39.192893401015226,0.0
36,NaN,NaN,0.0,-3.231510363308852e-235,0.0,0.0,0.49489999999999995,4.456990936893825e-6,0.5593908629441624,40.203045685279186,0.0
37,NaN,NaN,0.0,-1.4959113909190987e-241,0.0,0.0,0.4955797101449275,4.443514925670105e-6,0.5586331199882293,38.81725888324873,0.0
38,NaN,NaN,0.0,-6.924783268187333e-248,0.0,0.0,0.49252,3.4860672728294357e-6,0.5671065989847714,40.14720812182741,0.0
39,NaN,NaN,0.0,-3.2055791273776467e-254,0.0,0.0,0.4813274336283186,3.9300361725995985e-6,0.5749517092673286,40.15736040609137,0.0
40,NaN,NaN,0.0,-1.4839074587483906e-260,0.0,0.0,0.48305,4.008864619038157e-6,0.5715736040609137,40.68527918781726,0.0
41,NaN,NaN,0.0,-6.86921538552211e-267,0.0,0.0,0.4975,3.7471254596278994e-6,0.5461928934010152,39.68527918781726,0.0
42,NaN,NaN,0.0,-3.1798559764968785e-273,0.0,0.0,0.4928,4.0110350178479525e-6,0.5393401015228426,38.89340101522843,0.0
43,NaN,NaN,0.0,-1.4719998520608884e-279,0.0,0.0,0.49115000000000003,4.650957392833524e-6,0.5454314720812182,40.370558375634516,0.0
44,NaN,NaN,0.0,-6.814093407004978e-286,0.0,0.0,0.48815,3.7302773165038635e-6,0.5275634517766498,39.53807106598985,0.0
45,NaN,NaN,0.0,-3.154339240889275e-292,0.0,0.0,0.4894,3.5167865700130466e-6,0.5294416243654823,40.045685279187815,0.0
46,NaN,NaN,0.0,-1.460187797893312e-298,0.0,0.0,0.48749999999999993,3.3539944518710123e-6,0.5422842639593909,39.38578680203046,0.0
47,NaN,NaN,0.0,-6.759413754480705e-305,0.0,0.0,0.49424999999999997,3.5855323124779397e-6,0.5432994923857868,39.807106598984774,0.0
48,NaN,NaN,0.0,-3.129027264177e-311,0.0,0.0,0.49035000000000006,2.992887232988881e-6,0.5430964467005076,39.63451776649746,0.0
49,NaN,NaN,0.0,-1.448471e-317,0.0,0.0,0.49010000000000015,2.976572111435289e-6,0.5709137055837563,40.36040609137056,0.0
50,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.50135,2.8217545036137894e-6,0.5368020304568527,39.78172588832487,0.0
51,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.484,3.36557819904418e-6,0.561015228426396,39.53807106598985,0.0
52,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48955000000000004,2.863496968544754e-6,0.5836040609137055,40.38578680203046,0.0
53,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48979999999999996,2.667728703182847e-6,0.5460913705583756,39.421319796954315,0.0
54,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4962,2.48209434853086e-6,0.5504060913705583,39.3248730964467,0.0
55,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.47530000000000006,2.7573321842987753e-6,0.5706598984771575,40.09137055837564,0.0
56,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49075,2.8431947773304713e-6,0.5575126903553299,39.68020304568528,0.0
57,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48585,2.42583067919204e-6,0.5606091370558376,39.065989847715734,0.0
58,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48835,2.790258019535345e-6,0.5613705583756345,39.76142131979695,0.0
59,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48394999999999994,2.536601030845348e-6,0.570761421319797,40.65482233502538,0.0
60,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4993000000000001,2.0467208496366655e-6,0.5255837563451776,39.47208121827411,0.0
61,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48969999999999997,1.9285934033858607e-6,0.5542131979695432,39.736040609137056,0.0
62,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4927499999999999,2.6914985485379678e-6,0.5512182741116751,40.253807106598984,0.0
63,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4907500000000001,2.0769264264131885e-6,0.5383756345177665,40.34010152284264,0.0
64,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49810000000000004,1.8541493019884667e-6,0.5623350253807106,40.3248730964467,0.0
65,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48094999999999993,1.949680010676928e-6,0.5595939086294417,40.33502538071066,0.0
66,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4671500000000002,2.062831686610261e-6,0.5627411167512691,40.10659898477157,0.0
67,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48530000000000006,1.7852752304734482e-6,0.5440101522842639,40.25888324873097,0.0
68,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.47785000000000016,1.75625275633093e-6,0.5650761421319797,40.34517766497462,0.0
