a,theta
28.57644490204269,10.0
25.93035806074635,9.09090909090909
22.21688266864105,8.264462809917354
19.949686619666053,7.513148009015775
18.865751332515803,6.830134553650705
15.214012240431165,6.2092132305915495
14.219536043597449,5.644739300537772
12.224636775110158,5.131581182307064
10.526162131636838,4.66507380209733
9.332926427468468,4.240976183724846
8.647713118217517,3.855432894295314
7.684245408899246,3.504938994813922
6.3681509265325875,3.186308177103565
5.6489465636889,2.896643797366877
5.149881147619984,2.6333125430607973
4.557126682342606,2.3939204936916334
4.058555496971308,2.176291357901485
3.4664014911770744,1.9784466890013497
2.8730581227190997,1.798587899092136
2.7430533013309564,1.635079908265578
2.3238665039396476,1.4864362802414344
2.1429238909755575,1.3513057093103948
1.956472096918703,1.2284597357367224
1.7194136258124804,1.1167815779424748
1.505296559084715,1.0152559799477043
1.4176866651202928,0.9229599817706402
1.3021261917977693,0.8390545288824002
1.099366086026946,0.7627768444385455
1.0323452579818821,0.6934334949441322
0.9666807911887183,0.6303940863128475
0.8437992301631068,0.5730855330116795
0.8221161224758354,0.5209868481924358
0.7660331720122491,0.4736244074476689
0.7589987993293852,0.43056764313424445
0.6498880734914867,0.39142513012204033
0.5964182704559385,0.355841027383673
0.5852261431565556,0.3234918430760664
0.572059618695008,0.29408349370551484
0.49849948837399194,0.2673486306413771
0.5096349037415406,0.24304420967397916
0.45389893939339954,0.2209492815217992
0.4491931404819062,0.20086298320163565
0.42978100618608833,0.18260271200148695
0.3966632133180775,0.1660024654558972
0.382710185370555,0.15091133223263378
0.34406064322376934,0.13719212021148527
0.360643311876914,0.12472010928316841
0.3276407402922617,0.1133819175301531
0.30322768644653736,0.10307447048195735
0.2778752849174195,0.09370406407450667
0.26643972107108893,0.08518551279500607
0.23744264105812746,0.07744137526818731
0.23521586363885771,0.07040125024380665
0.2201300059103976,0.06400113658527877
0.18974717644727526,0.05818285144116251
0.1943045869631697,0.052893501310147736
0.17847490374135683,0.04808500119104339
0.15290013140304046,0.04371363744640308
0.14230700821541617,0.03973967040582098
0.1340369517664026,0.03612697309620089
0.12234861556216746,0.03284270281472808
0.10333648514313412,0.029857002558843704
0.0964741752849132,0.02714272959894882
0.09572447488268093,0.024675208726317104
0.08062624558000533,0.022432007933015547
0.07532532298979415,0.02039273448455959
0.07628526171779704,0.018538849531417805
0.06567973894166665,0.016853499574016186
0.04963603698120187,0.015321363249105623
0.0389824486497201,0.013928512044641473
0.038885892536710515,0.012662283676946794
0.03401000049304864,0.011511166979042538
0.02772975185152365,0.010464697253675033
0.02500003589597115,0.009513361139704576
0.028915182606698245,0.008648510127004159
0.01713888076444334,0.007862281933640145
0.017460893719384217,0.007147529030581949
0.016567223554141638,0.006497753664165407
0.013028965911167627,0.005907048785604915
0.014232015236803813,0.0053700443505499225
0.011549411083788767,0.004881858500499929
0.007844430760167564,0.004438053182272662
0.00814143827183274,0.004034593802066057
0.005523890977154821,0.0036678125473327784
-7.87573717127228,0.0033343750430297986
-7.87573717127228,0.003031250039117998
-7.87573717127228,0.0027556818537436347
-7.87573717127228,0.002505165321585122
-7.87573717127228,0.002277423019622838
-7.87573717127228,0.002070384563293489
-7.87573717127228,0.0018821677848122626
-7.87573717127228,0.0017110616225566022
-7.87573717127228,0.0015555105659605473
-7.87573717127228,0.0014141005145095883
-7.87573717127228,0.0012855459222814438
-7.87573717127228,0.0011686781111649488
-7.87573717127228,0.0010624346465135897
-7.87573717127228,0.0009658496786487179
-7.87573717127228,0.0008780451624079253
-7.87573717127228,0.0007982228749162957
-7.87573717127228,0.0007256571590148142
-7.87573717127228,0.0006596883263771037
-7.87573717127228,0.0005997166603428215
-7.87573717127228,0.0005451969639480196
-7.87573717127228,0.0004956336035891086
-7.87573717127228,0.00045057600326282594
-7.87573717127228,0.00040961454842075085
-7.87573717127228,0.00037237686220068254
-7.87573717127228,0.0003385244201824387
-7.87573717127228,0.00030774947289312604
-7.87573717127228,0.00027977224808466004
-7.87573717127228,0.00025433840734969093
-7.87573717127228,0.0002312167339542644
-7.87573717127228,0.0002101970308675131
-7.87573717127228,0.00019108820987955735
-7.87573717127228,0.0001737165544359612
-7.87573717127228,0.00015792414039632837
-7.87573717127228,0.0001435674003602985
-7.87573717127228,0.00013051581850936228
-7.87573717127228,0.00011865074409942022
-7.87573717127228,0.00010786431281765474
-7.87573717127228,9.805846619786795e-5
-7.87573717127228,8.914406017987994e-5
-7.87573717127228,8.104005470898175e-5
-7.87573717127228,7.367277700816523e-5
-7.87573717127228,6.697525182560475e-5
-7.87573717127228,6.0886592568731584e-5
-7.87573717127228,5.535144778975598e-5
-7.87573717127228,5.031949799068725e-5
-7.87573717127228,4.574499817335204e-5
-7.87573717127228,4.158636197577458e-5
-7.87573717127228,3.7805783614340525e-5
-7.87573717127228,3.436889419485502e-5
-7.87573717127228,3.1244449268050016e-5
-7.87573717127228,2.8404044789136377e-5
-7.87573717127228,2.5821858899214886e-5
-7.87573717127228,2.347441718110444e-5
-7.87573717127228,2.134037925554949e-5
-7.87573717127228,1.940034477777226e-5
-7.87573717127228,1.7636677070702054e-5
-7.87573717127228,1.6033342791547318e-5
-7.87573717127228,1.4575766174133927e-5
-7.87573717127228,1.3250696521939933e-5
-7.87573717127228,1.2046087747218118e-5
-7.87573717127228,1.095098886110738e-5
-7.87573717127228,9.955444419188527e-6
-7.87573717127228,9.050404017444115e-6
-7.87573717127228,8.227640015858286e-6
-7.87573717127228,7.47967274168935e-6
-7.87573717127228,6.799702492444863e-6
