i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
27.0,0.473,0.5095,0.0873,0.4725,0.4766,0.055,1.06931042,1.539807,0.6188139,0.89109202,0.491,0.5324,1.318e-5,1.318e-5,0.4777,0.2515,0.4931,0.1726996,0.0,9.15e-6
28.0,0.4666,0.4955,0.0849,0.467,0.4695,0.0554,1.06931042,1.539807,0.6188139,0.89109202,0.4701,0.5042,1.318e-5,1.318e-5,0.4688,0.2189,0.4501,0.1726996,0.0,2.55e-6
29.0,0.4653,0.5007,0.0878,0.4619,0.4962,0.0534,1.06931042,1.539807,0.6188139,0.74257668,0.4916,0.4928,1.098e-5,1.318e-5,0.4638,0.1969,0.4026,0.1726996,0.0,4.1e-7
30.0,0.4606,0.4868,0.0837,0.4579,0.4935,0.0523,1.06931042,1.539807,0.6188139,0.74257668,0.4796,0.4667,1.098e-5,1.318e-5,0.4572,0.1804,0.3662,0.1726996,0.0,7.0e-8
31.0,0.4755,0.4744,0.0833,0.4812,0.4912,0.0516,0.89109202,1.539807,0.51567825,0.74257668,0.4733,0.5026,6.36e-6,1.098e-5,0.4862,0.1577,0.3166,0.14391634,0.0,1.0e-8
32.0,0.4686,0.5116,0.0819,0.4685,0.4729,0.048,0.89109202,1.2831725,0.51567825,0.74257668,0.4538,0.467,4.41e-6,1.098e-5,0.4746,0.1392,0.2758,0.14391634,0.0,0.0
33.0,0.4595,0.4972,0.079,0.4692,0.4718,0.0485,0.89109202,1.2831725,0.51567825,0.74257668,0.4423,0.4914,1.77e-6,9.15e-6,0.4747,0.1182,0.2315,0.14391634,0.0,0.0
34.0,0.486,0.491,0.0758,0.4685,0.4718,0.0478,0.74257668,1.2831725,0.51567825,0.74257668,0.4094,0.4574,2.9e-7,6.36e-6,0.4635,0.0995,0.1978,0.14391634,0.0,0.0
35.0,0.4733,0.4624,0.0672,0.4603,0.4986,0.0455,0.74257668,1.2831725,0.51567825,0.6188139,0.4031,0.4384,5.0e-8,2.13e-6,0.482,0.0988,0.1873,0.11993028,0.0,0.0
36.0,0.4753,0.5131,0.0661,0.4461,0.4777,0.0413,0.74257668,1.06931042,0.51567825,0.6188139,0.3694,0.4239,1.0e-8,3.4e-7,0.4753,0.0772,0.1593,0.11993028,0.0,0.0
37.0,0.4741,0.5122,0.0677,0.4761,0.482,0.043,0.74257668,1.06931042,0.42973188,0.6188139,0.3569,0.3913,0.0,6.0e-8,0.4728,0.0593,0.1196,0.11993028,0.0,0.0
38.0,0.46,0.4993,0.0658,0.4667,0.4678,0.0415,0.74257668,1.06931042,0.42973188,0.6188139,0.3148,0.3827,0.0,1.0e-8,0.4631,0.0516,0.1014,0.11993028,0.0,0.0
39.0,0.4748,0.4698,0.0597,0.4608,0.4951,0.0403,0.6188139,1.06931042,0.42973188,0.51567825,0.3051,0.3466,0.0,0.0,0.4846,0.0433,0.0835,0.0999419,0.0,0.0
40.0,0.4701,0.5146,0.0592,0.4588,0.4919,0.0381,0.6188139,0.89109202,0.42973188,0.51567825,0.2846,0.3281,0.0,0.0,0.4792,0.0312,0.0565,0.0999419,0.0,0.0
41.0,0.4621,0.4995,0.0574,0.4532,0.482,0.0392,0.6188139,0.89109202,0.42973188,0.51567825,0.2665,0.3052,0.0,0.0,0.473,0.022,0.0431,0.0999419,0.0,0.0
42.0,0.4741,0.476,0.0544,0.4651,0.4654,0.0358,0.51567825,0.89109202,0.3581099,0.51567825,0.2269,0.2859,0.0,0.0,0.4602,0.0189,0.0383,0.0999419,0.0,0.0
43.0,0.4732,0.4736,0.0527,0.4582,0.492,0.0341,0.51567825,0.89109202,0.3581099,0.42973188,0.2104,0.2596,0.0,0.0,0.4857,0.0136,0.0232,0.08328492,0.0,0.0
44.0,0.4694,0.4654,0.0534,0.4768,0.4874,0.0332,0.51567825,0.89109202,0.29842491,0.42973188,0.185,0.2367,0.0,0.0,0.4796,0.0054,0.0118,0.08328492,0.0,0.0
45.0,0.4573,0.4938,0.0488,0.4673,0.472,0.0318,0.51567825,0.74257668,0.29842491,0.42973188,0.1772,0.2143,0.0,0.0,0.4653,0.0084,0.0181,0.08328492,0.0,0.0
46.0,0.4745,0.477,0.0455,0.4585,0.4948,0.0302,0.42973188,0.74257668,0.29842491,0.3581099,0.1458,0.1964,0.0,0.0,0.459,0.0055,0.0104,0.08328492,0.0,0.0
47.0,0.4735,0.4721,0.0478,0.4543,0.4887,0.0282,0.42973188,0.74257668,0.29842491,0.3581099,0.1251,0.1686,0.0,0.0,0.4522,0.001,0.0032,0.08328492,0.0,0.0
48.0,0.4741,0.4776,0.0445,0.4704,0.4795,0.0276,0.42973188,0.74257668,0.24868743,0.3581099,0.109,0.148,0.0,0.0,0.4767,0.0015,0.003,0.0694041,0.0,0.0
