a,theta
32.9097819617557,10.0
26.267528575381952,9.09090909090909
25.168778478233147,8.264462809917354
22.74621925851974,7.513148009015775
21.26028859918064,6.830134553650705
17.95962896992394,6.2092132305915495
16.633165985449438,5.644739300537772
17.419125625511462,5.131581182307064
15.228278471560756,4.66507380209733
14.021468420116074,4.240976183724846
11.491560144668409,3.855432894295314
11.629883812676882,3.504938994813922
11.304249046574924,3.186308177103565
10.09426459065699,2.896643797366877
9.188072189475577,2.6333125430607973
8.76185177111635,2.3939204936916334
7.370965626542967,2.176291357901485
7.372393591430074,1.9784466890013497
6.720980690573556,1.798587899092136
6.231867063441123,1.635079908265578
5.423051848234449,1.4864362802414344
4.581748923156309,1.3513057093103948
4.57733229977234,1.2284597357367224
4.184237766473475,1.1167815779424748
3.3222265301482286,1.0152559799477043
3.3030348917640953,0.9229599817706402
3.1894711862927747,0.8390545288824002
3.2122399128364187,0.7627768444385455
2.742414854584255,0.6934334949441322
2.413106151659257,0.6303940863128475
2.4225220584101765,0.5730855330116795
1.9450844485041274,0.5209868481924358
1.442304938627637,0.4736244074476689
1.4719976912291506,0.43056764313424445
1.328825161281935,0.39142513012204033
1.260079463416563,0.355841027383673
0.8746134950629209,0.3234918430760664
0.8956264114023059,0.29408349370551484
0.9843090249812179,0.2673486306413771
0.7583729101899377,0.24304420967397916
0.7233621915160152,0.2209492815217992
0.6397408612916423,0.20086298320163565
0.4912705753460686,0.18260271200148695
0.47956528008793536,0.1660024654558972
0.3370162656696034,0.15091133223263378
0.3422639416678908,0.13719212021148527
0.32981248793030754,0.12472010928316841
0.3047566395934629,0.1133819175301531
0.3035305701447805,0.10307447048195735
0.24919682262297335,0.09370406407450667
0.24078867035556412,0.08518551279500607
0.2177768285354354,0.07744137526818731
0.1575404487096625,0.07040125024380665
0.14626613298133329,0.06400113658527877
0.13083373033148624,0.05818285144116251
0.12911986907554535,0.052893501310147736
0.09810864868310112,0.04808500119104339
0.07543914721501777,0.04371363744640308
0.07654319014337542,0.03973967040582098
0.08844122542596533,0.03612697309620089
0.06849302951724202,0.03284270281472808
0.07669990138990805,0.029857002558843704
0.06817109930331745,0.02714272959894882
0.07261780600360931,0.024675208726317104
0.06028617819491528,0.022432007933015547
0.050636143073151334,0.02039273448455959
0.046480642896622376,0.018538849531417805
0.03368303499943128,0.016853499574016186
0.025552158033630694,0.015321363249105623
0.035790588896515214,0.013928512044641473
0.031427027535952765,0.012662283676946794
0.03356044126690784,0.011511166979042538
0.029574265388884576,0.010464697253675033
0.018512313189943518,0.009513361139704576
0.018948443921731412,0.008648510127004159
0.01362229110234416,0.007862281933640145
0.008443158262966245,0.007147529030581949
0.006478065788306158,0.006497753664165407
-7.351649589388983,0.005907048785604915
-7.351649589388983,0.0053700443505499225
-7.351649589388983,0.004881858500499929
-7.351649589388983,0.004438053182272662
-7.351649589388983,0.004034593802066057
-7.351649589388983,0.0036678125473327784
-7.351649589388983,0.0033343750430297986
-7.351649589388983,0.003031250039117998
-7.351649589388983,0.0027556818537436347
-7.351649589388983,0.002505165321585122
-7.351649589388983,0.002277423019622838
-7.351649589388983,0.002070384563293489
-7.351649589388983,0.0018821677848122626
-7.351649589388983,0.0017110616225566022
-7.351649589388983,0.0015555105659605473
-7.351649589388983,0.0014141005145095883
-7.351649589388983,0.0012855459222814438
-7.351649589388983,0.0011686781111649488
-7.351649589388983,0.0010624346465135897
-7.351649589388983,0.0009658496786487179
-7.351649589388983,0.0008780451624079253
-7.351649589388983,0.0007982228749162957
-7.351649589388983,0.0007256571590148142
-7.351649589388983,0.0006596883263771037
-7.351649589388983,0.0005997166603428215
-7.351649589388983,0.0005451969639480196
-7.351649589388983,0.0004956336035891086
-7.351649589388983,0.00045057600326282594
-7.351649589388983,0.00040961454842075085
-7.351649589388983,0.00037237686220068254
-7.351649589388983,0.0003385244201824387
-7.351649589388983,0.00030774947289312604
-7.351649589388983,0.00027977224808466004
-7.351649589388983,0.00025433840734969093
-7.351649589388983,0.0002312167339542644
-7.351649589388983,0.0002101970308675131
-7.351649589388983,0.00019108820987955735
-7.351649589388983,0.0001737165544359612
-7.351649589388983,0.00015792414039632837
-7.351649589388983,0.0001435674003602985
-7.351649589388983,0.00013051581850936228
-7.351649589388983,0.00011865074409942022
-7.351649589388983,0.00010786431281765474
-7.351649589388983,9.805846619786795e-5
-7.351649589388983,8.914406017987994e-5
-7.351649589388983,8.104005470898175e-5
-7.351649589388983,7.367277700816523e-5
-7.351649589388983,6.697525182560475e-5
-7.351649589388983,6.0886592568731584e-5
-7.351649589388983,5.535144778975598e-5
-7.351649589388983,5.031949799068725e-5
-7.351649589388983,4.574499817335204e-5
-7.351649589388983,4.158636197577458e-5
-7.351649589388983,3.7805783614340525e-5
-7.351649589388983,3.436889419485502e-5
-7.351649589388983,3.1244449268050016e-5
-7.351649589388983,2.8404044789136377e-5
-7.351649589388983,2.5821858899214886e-5
-7.351649589388983,2.347441718110444e-5
-7.351649589388983,2.134037925554949e-5
-7.351649589388983,1.940034477777226e-5
-7.351649589388983,1.7636677070702054e-5
-7.351649589388983,1.6033342791547318e-5
-7.351649589388983,1.4575766174133927e-5
-7.351649589388983,1.3250696521939933e-5
-7.351649589388983,1.2046087747218118e-5
-7.351649589388983,1.095098886110738e-5
-7.351649589388983,9.955444419188527e-6
-7.351649589388983,9.050404017444115e-6
-7.351649589388983,8.227640015858286e-6
-7.351649589388983,7.47967274168935e-6
-7.351649589388983,6.799702492444863e-6
