omega,S,S_edge,S_cont
-1.145912213883754,0,0,0
-1.1459115586339315,1498.280000263714,1498.280000263714,0.0
-1.1459096199564638,764.9419956501036,764.9419956501036,0.0
-1.1459064208369578,512.4768363483912,512.4768363483912,0.0
-1.1459019570091171,385.28073542340405,385.28073542340405,0.0
-1.1458962307128147,308.90439894944933,308.90439894944933,0.0
-1.1458892416813167,257.61765725384157,257.61765725384157,0.0
-1.1458809843587794,220.79353269530966,220.79353269530966,0.0
-1.1458714564275283,193.2011393845463,193.2011393845463,0.0
-1.1458606501305937,171.4897954576743,171.4897954576743,0.0
-1.1458485483350473,153.95186046021433,153.95186046021433,0.0
-1.145835142276434,139.6694430072129,139.6694430072129,0.0
-1.1458204264710647,127.71989000842126,127.71989000842126,0.0
-1.1458043967837361,117.67375851942153,117.67375851942153,0.0
-1.145787042343207,108.94413263785125,108.94413263785125,0.0
-1.1457683455990217,101.36507678517576,101.36507678517576,0.0
-1.1457482957419933,94.72131373349765,94.72131373349765,0.0
-1.1457268755568601,88.80099242514818,88.80099242514818,0.0
-1.1457040651190922,83.51856559826206,83.51856559826206,0.0
-1.1456798520566127,78.80321738683143,78.80321738683143,0.0
-1.145654226054155,74.55679032546153,74.55679032546153,0.0
-1.1456271724015081,70.70120876519896,70.70120876519896,0.0
-1.1455986670661846,67.15345585564651,67.15345585564651,0.0
-1.1455686891399162,63.92227637118121,63.92227637118121,0.0
-1.1455372248537214,60.95605855995969,60.95605855995969,0.0
-1.1455042572950704,58.22341953760979,58.22341953760979,0.0
-1.1454697560167122,55.656063475332424,55.656063475332424,0.0
-1.1454336905851352,53.28089724667293,53.28089724667293,0.0
-1.145396044068796,51.07780826903798,51.07780826903798,0.0
-1.1453567911523947,49.00827258748653,49.00827258748653,0.0
-1.1453158890421875,47.04149239842256,47.04149239842256,0.0
-1.1452733003348339,45.202496095033204,45.202496095033204,0.0
-1.1452289913497498,43.459196492659125,43.459196492659125,0.0
-1.1451829240850535,41.81713687989305,41.81713687989305,0.0
-1.1451350615365048,40.259673938600585,40.259673938600585,0.0
-1.1450853664921472,38.78944965793754,38.78944965793754,0.0
-1.14503380077319,37.391279112948126,37.391279112948126,0.0
-1.1449803096967397,36.047260742717654,36.047260742717654,0.0
-1.1449248385860795,34.76924475199026,34.76924475199026,0.0
-1.1448673371100768,33.54638404628469,33.54638404628469,0.0
-1.1448077414250442,32.36854128969972,32.36854128969972,0.0
-1.1447459973491987,31.252143669163353,31.252143669163353,0.0
-1.1446820473990407,30.174032376710315,30.174032376710315,0.0
-1.1446158081260238,29.129304565728184,29.129304565728184,0.0
-1.144547200932991,28.1270035689418,28.1270035689418,0.0
-1.1444761563885155,27.16479221206307,27.16479221206307,0.0
-1.1444025785865513,26.223745700696195,26.223745700696195,0.0
-1.1443263725134285,25.323192972914992,25.323192972914992,0.0
-1.144247437756543,24.44223302352622,24.44223302352622,0.0
-1.1441656441982904,23.584103510547067,23.584103510547067,0.0
-1.1440808723802993,22.754980725392954,22.754980725392954,0.0
-1.1439929880302855,21.943374977422728,21.943374977422728,0.0
-1.143901833303223,21.151665304673777,21.151665304673777,0.0
-1.143807231449898,20.373629885917147,20.373629885917147,0.0
-1.1437090088303257,19.62104557826954,19.62104557826954,0.0
-1.143606977802881,18.881366782806893,18.881366782806893,0.0
-1.143500904044236,18.154231756188146,18.154231756188146,0.0
-1.1433905433124139,17.443196306535075,17.443196306535075,0.0
-1.1432756186464248,16.741343967171893,16.741343967171893,0.0
-1.1431557977370719,16.047187680381167,16.047187680381167,0.0
-1.143030736489223,15.368035432310377,15.368035432310377,0.0
-1.1429000602411992,14.698185829448459,14.698185829448459,0.0
-1.1427632596647266,14.02360989043275,14.02360989043275,0.0
-1.1426197694290552,13.360118006705475,13.360118006705475,0.0
-1.1424689877222627,12.700775913276729,12.700775913276729,0.0
-1.1423101684044956,12.042870464102105,12.042870464102105,0.0
-1.1421424162614637,11.385080654566,11.385080654566,0.0
-1.1419646856874779,10.72954144935694,10.72954144935694,0.0
-1.1417757048492962,10.071135125346656,10.071135125346656,0.0
-1.141573843924677,9.4055525089654,9.4055525089654,0.0
-1.1413570141080087,8.730508810116744,8.730508810116744,0.0
-1.1411226007403097,8.049544352653887,8.049544352653887,0.0
-1.140867021997928,7.347552877237551,7.347552877237551,0.0
-1.1405854332683807,6.634635109243145,6.634635109243145,0.0
-1.1402710954648612,5.9011788159796605,5.9011788159796605,0.0
-1.1399133011373603,5.128503858874396,5.128503858874396,0.0
-1.1394948770448776,4.324985661160237,4.324985661160237,0.0
-1.138984465313456,3.463965463057685,3.463965463057685,0.0
-1.1383113902022646,2.5195123795611916,2.5195123795611916,0.0
-1.137243125383781,1.4467102581336928,1.4467102581336928,0.0
-1.1365645183864732,0,0,0
