i,ar_1,ar_2,ar_3,ar_4,ar_5,ar_6,omega_range_1,omega_range_2,omega_range_4
57.0,0.486407,0.501738,0.15024775,0.0,0.0,0.0,0.00855991,0.07632104,0.0
58.0,0.4697825,0.487994,0.14872372,0.0,0.0,0.0,0.00855991,0.07632104,0.0
59.0,0.4532545,0.476258,0.14702553,0.0,0.0,0.0,0.00855991,0.07632104,0.0
60.0,0.5006915,0.46225,0.1448979,0.0,0.0,0.0,0.00713326,0.07632104,0.0
61.0,0.4836725,0.499776,0.1426952,0.0,0.0,0.0,0.00713326,0.06360087,0.0
62.0,0.466709,0.489208,0.14128228,0.0,0.0,0.0,0.00713326,0.06360087,0.0
63.0,0.514144,0.475688,0.1401006,0.0,0.0,0.0,0.00594438,0.06360087,0.0
64.0,0.4979105,0.461952,0.13764715,0.0,0.0,0.0,0.00594438,0.06360087,0.0
65.0,0.4814985,0.498532,0.13642943,0.0,0.0,0.0,0.00594438,0.05300072,0.0
66.0,0.4631595,0.485578,0.13463514,0.0,0.0,0.0,0.00594438,0.05300072,0.0
67.0,0.5108605,0.473344,0.13249099,0.0,0.0,0.0,0.00495365,0.05300072,0.0
68.0,0.4943735,0.460034,0.13065465,0.0,0.0,0.0,0.00495365,0.05300072,0.0
69.0,0.4777195,0.497626,0.12874925,0.0,0.0,0.0,0.00495365,0.04416727,0.0
70.0,0.460213,0.48416,0.12754204,0.0,0.0,0.0,0.00495365,0.04416727,0.0
71.0,0.5082255,0.472132,0.12635435,0.0,0.0,0.0,0.00412804,0.04416727,0.0
72.0,0.491678,0.459456,0.12327027,0.0,0.0,0.0,0.00412804,0.04416727,0.0
73.0,0.4746215,0.495238,0.12148048,0.0,0.0,0.0,0.00412804,0.03680606,0.0
74.0,0.457326,0.48378,0.12043544,0.0,0.0,0.0,0.00412804,0.03680606,0.0
75.0,0.50539,0.466864,0.11865315,0.0,0.0,0.0,0.00344004,0.03680606,0.0
76.0,0.4886175,0.456496,0.11634234,0.0,0.0,0.0,0.00344004,0.03680606,0.0
77.0,0.4717555,0.494032,0.11363213,0.0,0.0,0.0,0.00344004,0.03067171,0.0
78.0,0.453992,0.481506,0.11324925,0.0,0.0,0.0,0.00344004,0.03067171,0.0
79.0,0.5022125,0.466778,0.11116967,0.0,0.0,0.0,0.0028667,0.03067171,0.0
80.0,0.48519,0.454466,0.1098048,0.0,0.0,0.0,0.0028667,0.03067171,0.0
81.0,0.467523,0.49043,0.10718468,0.0,0.0,0.0,0.0028667,0.02555976,0.0
82.0,0.515828,0.478922,0.10615616,0.0,0.0,0.0,0.00238891,0.02555976,0.0
83.0,0.498241,0.46604,0.10498048,0.0,0.0,0.0,0.00238891,0.02555976,0.0
84.0,0.4820245,0.452116,0.10241441,0.0,0.0,0.0,0.00238891,0.02555976,0.0
85.0,0.464632,0.488666,0.09989339,0.0,0.0,0.0,0.00238891,0.0212998,0.0
86.0,0.5127025,0.475306,0.10011261,0.0,0.0,0.0,0.00199076,0.0212998,0.0
87.0,0.495135,0.46228,0.0978994,0.0,0.0,0.0,0.00199076,0.0212998,0.0
88.0,0.4781115,0.500076,0.09628078,0.0,0.0,0.0,0.00199076,0.01774983,0.0
89.0,0.461492,0.486634,0.09378228,0.0,0.0,0.0,0.00199076,0.01774983,0.0
90.0,0.5084975,0.471686,0.09188739,0.0,0.0,0.0,0.00165897,0.01774983,0.0
91.0,0.4924575,0.459604,0.09008859,0.0,0.0,0.0,0.00165897,0.01774983,0.0
92.0,0.474963,0.497528,0.08881682,0.0,0.0,0.0,0.00165897,0.01479153,0.0
