i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_Ac,ar_Ap,∆Ac,∆Ap
35.0,0.4576,0.4674,0.111,0.4629,0.5206,0.263,1.1413,1.7695,4.733,5.096,0.4205,0.51,0.0001,0.0002,0.5112,0.0,0.0,0.0
36.0,0.4809,0.5135,0.1078,0.5006,0.5239,0.2601,0.951,1.4745,3.9442,5.096,0.574,0.563,0.0001,0.0002,0.4981,0.0,0.0,0.0
37.0,0.4724,0.4944,0.1023,0.4959,0.5107,0.246,0.951,1.4745,3.9442,5.096,0.5435,0.55,0.0001,0.0002,0.4807,0.0,0.0,0.0
38.0,0.4676,0.489,0.0987,0.4902,0.5052,0.2458,0.951,1.4745,3.9442,5.096,0.521,0.549,0.0001,0.0002,0.47,0.0,0.0,0.0
39.0,0.4662,0.4858,0.1019,0.4878,0.4963,0.2388,0.951,1.4745,3.9442,5.096,0.4965,0.5455,0.0001,0.0002,0.5107,0.0,0.0,0.0
40.0,0.488,0.4729,0.0968,0.4891,0.5035,0.2347,0.7925,1.4745,3.9442,5.096,0.48,0.508,0.0001,0.0002,0.5034,0.0,0.0,0.0
41.0,0.476,0.5083,0.0967,0.4805,0.4869,0.2295,0.7925,1.2288,3.9442,5.096,0.4865,0.5475,0.0001,0.0002,0.4879,0.0,0.0,0.0
42.0,0.4679,0.487,0.0871,0.4897,0.5023,0.2255,0.7925,1.2288,3.9442,5.096,0.498,0.5465,0.0,0.0002,0.4749,0.0,0.0,0.0
43.0,0.4601,0.4841,0.0885,0.4707,0.4661,0.2164,0.7925,1.2288,3.9442,5.096,0.5245,0.488,0.0,0.0002,0.4618,0.0,0.0,0.0
44.0,0.4564,0.4751,0.0843,0.464,0.5077,0.2086,0.7925,1.2288,3.9442,4.2467,0.467,0.4785,0.0,0.0002,0.5088,0.0,0.0,0.0
45.0,0.487,0.4661,0.0821,0.463,0.5123,0.205,0.6604,1.2288,3.9442,4.2467,0.5065,0.482,0.0,0.0002,0.4927,0.0,0.0,0.0
46.0,0.4777,0.5125,0.0817,0.4572,0.4961,0.2028,0.6604,1.024,3.9442,4.2467,0.475,0.527,0.0,0.0001,0.4802,0.0,0.0,0.0
47.0,0.4695,0.4974,0.0795,0.482,0.4868,0.1949,0.6604,1.024,3.2868,4.2467,0.4805,0.487,0.0,0.0001,0.4655,0.0,0.0,0.0
48.0,0.4588,0.4805,0.0719,0.4826,0.49,0.1932,0.6604,1.024,3.2868,4.2467,0.5035,0.4795,0.0,0.0001,0.511,0.0,0.0,0.0
49.0,0.485,0.4692,0.0684,0.4738,0.5177,0.1838,0.5504,1.024,3.2868,3.5389,0.531,0.5485,0.0,0.0001,0.493,0.0,0.0,0.0
50.0,0.474,0.5011,0.0664,0.4698,0.5151,0.1799,0.5504,0.8533,3.2868,3.5389,0.547,0.5015,0.0,0.0001,0.4838,0.0,0.0,0.0
51.0,0.4659,0.4894,0.0629,0.4593,0.49,0.1755,0.5504,0.8533,3.2868,3.5389,0.494,0.56,0.0,0.0001,0.4731,0.0,0.0,0.0
52.0,0.4877,0.4779,0.0624,0.4716,0.5179,0.169,0.4586,0.8533,2.739,2.9491,0.5905,0.538,0.0,0.0001,0.5159,0.0,0.0,0.0
53.0,0.4777,0.5151,0.0624,0.4667,0.5071,0.1648,0.4586,0.7111,2.739,2.9491,0.446,0.4725,0.0,0.0001,0.5017,0.0,0.0,0.0
54.0,0.4708,0.5081,0.0628,0.4908,0.4948,0.1611,0.4586,0.7111,2.2825,2.9491,0.4805,0.5185,0.0,0.0001,0.4886,0.0,0.0,0.0
55.0,0.4629,0.4883,0.0583,0.4693,0.511,0.1552,0.4586,0.7111,2.2825,2.4576,0.528,0.5105,0.0,0.0001,0.481,0.0,0.0,0.0
56.0,0.4823,0.4684,0.0546,0.4673,0.5068,0.1517,0.3822,0.7111,2.2825,2.4576,0.4505,0.526,0.0,0.0001,0.461,0.0,0.0,0.0
57.0,0.474,0.5144,0.0524,0.4724,0.5131,0.1488,0.3822,0.5926,2.2825,2.4576,0.4755,0.5125,0.0,0.0001,0.5019,0.0,0.0,0.0
58.0,0.4671,0.5009,0.0518,0.4682,0.5063,0.1463,0.3822,0.5926,2.2825,2.4576,0.484,0.47,0.0,0.0001,0.4857,0.0,0.0,0.0
59.0,0.4652,0.4896,0.0514,0.4639,0.4934,0.1448,0.3822,0.5926,2.2825,2.4576,0.483,0.47,0.0,0.0001,0.475,0.0,0.0,0.0
60.0,0.4827,0.4745,0.0489,0.488,0.483,0.1424,0.3185,0.5926,1.9021,2.4576,0.489,0.504,0.0,0.0001,0.457,0.0,0.0,0.0
61.0,0.4753,0.5211,0.0467,0.4729,0.4632,0.135,0.3185,0.4938,1.9021,2.4576,0.4765,0.4895,0.0,0.0001,0.506,0.0,0.0,0.0
62.0,0.4665,0.4963,0.0432,0.4637,0.4973,0.1327,0.3185,0.4938,1.9021,2.048,0.5205,0.476,0.0,0.0001,0.4916,0.0,0.0,0.0
63.0,0.4616,0.4873,0.0439,0.4603,0.4941,0.1317,0.3185,0.4938,1.9021,2.048,0.473,0.502,0.0,0.0001,0.4748,0.0,0.0,0.0
64.0,0.4838,0.4766,0.0441,0.4827,0.476,0.1322,0.2654,0.4938,1.5851,2.048,0.4785,0.512,0.0,0.0001,0.4635,0.0,0.0,0.0
65.0,0.4756,0.4596,0.0407,0.4846,0.4872,0.1292,0.2654,0.4938,1.5851,2.048,0.455,0.5255,0.0,0.0,0.5038,0.0,0.0,0.0
66.0,0.4652,0.4963,0.0382,0.474,0.5185,0.1255,0.2654,0.4115,1.5851,1.7067,0.437,0.512,0.0,0.0,0.4911,0.0,0.0,0.0
67.0,0.4876,0.4796,0.0358,0.4668,0.4935,0.1206,0.2212,0.4115,1.5851,1.7067,0.4105,0.5155,0.0,0.0,0.4681,0.0,0.0,0.0
