a,theta
22.386837479786195,10.0
39.16440301401272,9.09090909090909
57.54664102286187,8.264462809917354
72.06000867549184,7.513148009015775
83.75787934088709,6.830134553650705
97.01239936877657,6.2092132305915495
103.05112880213541,5.644739300537772
106.7491855635986,5.131581182307064
113.92820584188114,4.66507380209733
114.71496593478139,4.240976183724846
113.59073788180517,3.855432894295314
113.73314565490898,3.504938994813922
112.22337303835893,3.186308177103565
110.57930426521767,2.896643797366877
109.633150044371,2.6333125430607973
108.30574841494867,2.3939204936916334
106.3299326385765,2.176291357901485
104.68127041214589,1.9784466890013497
104.90708259551221,1.798587899092136
103.7906968920966,1.635079908265578
102.77729984934561,1.4864362802414344
101.30645153031226,1.3513057093103948
100.5203066301732,1.2284597357367224
99.06300702696039,1.1167815779424748
98.72962486289471,1.0152559799477043
98.11130422590736,0.9229599817706402
97.20731927992729,0.8390545288824002
96.29117258308158,0.7627768444385455
95.95779412198426,0.6934334949441322
95.37336670995778,0.6303940863128475
94.37236935442324,0.5730855330116795
93.68586946843006,0.5209868481924358
93.06959582359177,0.4736244074476689
92.57949438893908,0.43056764313424445
92.04927086751695,0.39142513012204033
91.62273077531462,0.355841027383673
91.0369739472759,0.3234918430760664
90.55375297642794,0.29408349370551484
90.19408771656524,0.2673486306413771
89.96023878319113,0.24304420967397916
89.45491783113927,0.2209492815217992
89.19805503368808,0.20086298320163565
89.00843213381746,0.18260271200148695
88.62792317651427,0.1660024654558972
88.3845320190927,0.15091133223263378
88.05186344669004,0.13719212021148527
87.87877197563958,0.12472010928316841
87.60726505035834,0.1133819175301531
87.40927644502422,0.10307447048195735
87.22143659090406,0.09370406407450667
87.08250141196815,0.08518551279500607
86.90310014604782,0.07744137526818731
86.72792385015,0.07040125024380665
86.5399361006111,0.06400113658527877
86.44800747728225,0.05818285144116251
86.3012195472314,0.052893501310147736
86.18229798300085,0.04808500119104339
86.05368660508036,0.04371363744640308
85.94687872836958,0.03973967040582098
85.85178539729031,0.03612697309620089
85.77168236147392,0.03284270281472808
85.6993764684506,0.029857002558843704
85.6383192090527,0.02714272959894882
85.54547046877163,0.024675208726317104
85.48857872383715,0.022432007933015547
85.45049841587415,0.02039273448455959
85.37872369964408,0.018538849531417805
85.32316998255514,0.016853499574016186
85.29369214649728,0.015321363249105623
85.24926874165283,0.013928512044641473
85.20583645413085,0.012662283676946794
85.18490798501928,0.011511166979042538
85.15264908470306,0.010464697253675033
85.1148851917538,0.009513361139704576
85.0911644310702,0.008648510127004159
85.06771246019481,0.007862281933640145
85.05349071827457,0.007147529030581949
85.03326674221583,0.006497753664165407
85.01545145111531,0.005907048785604915
84.99703056027057,0.0053700443505499225
84.97593298461912,0.004881858500499929
84.96428695089138,0.004438053182272662
84.95444504631863,0.004034593802066057
84.94277122801813,0.0036678125473327784
84.93458408801786,0.0033343750430297986
84.92297236452924,0.003031250039117998
84.91503686174154,0.0027556818537436347
84.9054726334853,0.002505165321585122
84.8982010713712,0.002277423019622838
84.89156304672306,0.002070384563293489
84.88221945952422,0.0018821677848122626
84.8786669650384,0.0017110616225566022
84.87265705041922,0.0015555105659605473
84.86774040054259,0.0014141005145095883
84.86385941259164,0.0012855459222814438
84.85817182890294,0.0011686781111649488
84.85599630945293,0.0010624346465135897
84.85163052583542,0.0009658496786487179
84.84830168134094,0.0008780451624079253
84.84583450282321,0.0007982228749162957
84.84339372781362,0.0007256571590148142
84.83946986061508,0.0006596883263771037
84.83715988086234,0.0005997166603428215
84.83485036368224,0.0005451969639480196
84.83252689314138,0.0004956336035891086
84.83029808420788,0.00045057600326282594
84.82881219130103,0.00040961454842075085
84.82726609521859,0.00037237686220068254
84.82546587346782,0.0003385244201824387
84.82426208691605,0.00030774947289312604
84.82327903618875,0.00027977224808466004
84.82224402216612,0.00025433840734969093
84.82112221949588,0.0002312167339542644
84.82015842219946,0.0002101970308675131
84.81924920352269,0.00019108820987955735
84.81840494053316,0.0001737165544359612
84.81771542508821,0.00015792414039632837
84.81705010316554,0.0001435674003602985
84.81642874622167,0.00013051581850936228
84.81571585041794,0.00011865074409942022
84.81521879377058,0.00010786431281765474
84.814644743613,9.805846619786795e-5
84.81423030736707,8.914406017987994e-5
84.81374590303295,8.104005470898175e-5
84.81339299643005,7.367277700816523e-5
84.81297375223454,6.697525182560475e-5
84.81269296417638,6.0886592568731584e-5
84.81233285143504,5.535144778975598e-5
84.8119678670746,5.031949799068725e-5
84.8116535211692,4.574499817335204e-5
84.8114537500027,4.158636197577458e-5
84.81124111770427,3.7805783614340525e-5
84.81098362026944,3.436889419485502e-5
84.8107162970025,3.1244449268050016e-5
84.81052669927531,2.8404044789136377e-5
84.81033092080344,2.5821858899214886e-5
84.81017453952434,2.347441718110444e-5
84.80995139013656,2.134037925554949e-5
84.80983865868664,1.940034477777226e-5
84.80971047166848,1.7636677070702054e-5
84.80959262595034,1.6033342791547318e-5
84.80948861264477,1.4575766174133927e-5
84.80937507907832,1.3250696521939933e-5
84.80928176977358,1.2046087747218118e-5
84.80920249755408,1.095098886110738e-5
84.80912006859106,9.955444419188527e-6
84.80902340715951,9.050404017444115e-6
84.80895405845874,8.227640015858286e-6
84.80887610967318,7.47967274168935e-6
84.80879228880714,6.799702492444863e-6
