i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,10.0,12.3264,27.8911,0.8602,-0.929,0.4952,0.1548,0.2675,0.0825
2.0,9.0909,12.3264,39.5559,0.8581,-0.9387,0.4914,0.1586,0.2714,0.0786
3.0,8.2645,12.3264,52.3364,0.8623,-0.9443,0.4894,0.1606,0.2734,0.0766
4.0,7.5131,12.3264,62.4269,0.8614,-0.9479,0.4881,0.1619,0.2747,0.0753
5.0,6.8301,12.3264,70.56,0.8598,-0.9515,0.487,0.163,0.2758,0.0742
6.0,6.2092,12.3264,79.7754,0.862,-0.9536,0.4863,0.1637,0.2764,0.0736
7.0,5.6447,12.3264,83.9739,0.8611,-0.9552,0.4858,0.1642,0.277,0.073
8.0,5.1316,12.3264,86.545,0.8615,-0.9571,0.4853,0.1647,0.2774,0.0726
9.0,4.6651,12.3264,91.5363,0.8612,-0.9574,0.485,0.165,0.2778,0.0722
10.0,4.241,12.3264,92.0833,0.8594,-0.957,0.4849,0.1651,0.278,0.072
11.0,3.8554,12.3264,91.3017,0.8594,-0.9575,0.4848,0.1652,0.278,0.072
12.0,3.5049,12.3264,91.4007,0.8609,-0.9568,0.4847,0.1653,0.2782,0.0718
13.0,3.1863,12.3264,90.351,0.862,-0.9569,0.4847,0.1653,0.2781,0.0719
14.0,2.8966,12.3264,89.2079,0.8631,-0.9572,0.4847,0.1653,0.2781,0.0719
15.0,2.6333,12.3264,88.5501,0.8617,-0.9572,0.4846,0.1654,0.2782,0.0718
16.0,2.3939,12.3264,87.6272,0.8618,-0.9575,0.4846,0.1654,0.2782,0.0718
17.0,2.1763,12.3264,86.2535,0.8623,-0.9566,0.4846,0.1654,0.2783,0.0717
18.0,1.9784,12.3264,85.1073,0.8611,-0.9568,0.4846,0.1654,0.2782,0.0718
19.0,1.7986,12.3264,85.2643,0.8602,-0.9573,0.4846,0.1654,0.2783,0.0717
20.0,1.6351,12.3264,84.4881,0.8595,-0.9567,0.4846,0.1654,0.2783,0.0717
21.0,1.4864,12.3264,83.7835,0.8603,-0.9566,0.4846,0.1654,0.2783,0.0717
22.0,1.3513,12.3264,82.7609,0.8621,-0.9565,0.4846,0.1654,0.2783,0.0717
23.0,1.2285,12.3264,82.2143,0.8615,-0.9562,0.4846,0.1654,0.2783,0.0717
24.0,1.1168,12.3264,81.2011,0.8622,-0.9561,0.4846,0.1654,0.2783,0.0717
25.0,1.0153,12.3264,80.9693,0.8613,-0.9568,0.4846,0.1654,0.2782,0.0718
26.0,0.923,12.3264,80.5394,0.8614,-0.9563,0.4846,0.1654,0.2782,0.0718
27.0,0.8391,12.3264,79.9109,0.8604,-0.9563,0.4846,0.1654,0.2782,0.0718
28.0,0.7628,12.3264,79.2739,0.8609,-0.9564,0.4846,0.1654,0.2783,0.0717
29.0,0.6934,12.3264,79.0422,0.8614,-0.9562,0.4846,0.1654,0.2783,0.0717
30.0,0.6304,12.3264,78.6358,0.8614,-0.9559,0.4846,0.1654,0.2782,0.0718
31.0,0.5731,12.3264,77.9399,0.8624,-0.9561,0.4846,0.1654,0.2782,0.0718
32.0,0.521,12.3264,77.4626,0.8626,-0.9559,0.4846,0.1654,0.2782,0.0718
33.0,0.4736,12.3264,77.0341,0.8626,-0.9556,0.4846,0.1654,0.2783,0.0717
34.0,0.4306,12.3264,76.6934,0.864,-0.9559,0.4846,0.1654,0.2782,0.0718
35.0,0.3914,12.3264,76.3247,0.8636,-0.9558,0.4846,0.1654,0.2782,0.0718
36.0,0.3558,12.3264,76.0282,0.8634,-0.9559,0.4846,0.1654,0.2782,0.0718
37.0,0.3235,12.3264,75.6209,0.8635,-0.9557,0.4846,0.1654,0.2782,0.0718
38.0,0.2941,12.3264,75.2849,0.8639,-0.9556,0.4846,0.1654,0.2782,0.0718
39.0,0.2673,12.3264,75.0349,0.8641,-0.9554,0.4846,0.1654,0.2781,0.0719
40.0,0.243,12.3264,74.8723,0.8638,-0.9555,0.4846,0.1654,0.2782,0.0718
41.0,0.2209,12.3264,74.521,0.8641,-0.9557,0.4846,0.1654,0.2781,0.0719
42.0,0.2009,12.3264,74.3424,0.8644,-0.9556,0.4846,0.1654,0.2781,0.0719
43.0,0.1826,12.3264,74.2105,0.864,-0.9555,0.4846,0.1654,0.2781,0.0719
44.0,0.166,12.3264,73.946,0.8642,-0.9555,0.4846,0.1654,0.2781,0.0719
45.0,0.1509,12.3264,73.7768,0.8652,-0.9554,0.4846,0.1654,0.2781,0.0719
46.0,0.1372,12.3264,73.5455,0.865,-0.9556,0.4846,0.1654,0.2781,0.0719
47.0,0.1247,12.3264,73.4251,0.8646,-0.9554,0.4846,0.1654,0.2781,0.0719
48.0,0.1134,12.3264,73.2364,0.8649,-0.9554,0.4846,0.1654,0.2781,0.0719
49.0,0.1031,12.3264,73.0987,0.8651,-0.9554,0.4846,0.1654,0.2781,0.0719
50.0,0.0937,12.3264,72.9681,0.865,-0.9554,0.4846,0.1654,0.2781,0.0719
51.0,0.0852,12.3264,72.8715,0.8649,-0.9554,0.4846,0.1654,0.2781,0.0719
52.0,0.0774,12.3264,72.7468,0.865,-0.9554,0.4846,0.1654,0.2781,0.0719
53.0,0.0704,12.3264,72.625,0.8651,-0.9553,0.4846,0.1654,0.278,0.072
54.0,0.064,12.3264,72.4943,0.8654,-0.9553,0.4846,0.1654,0.278,0.072
55.0,0.0582,12.3264,72.4304,0.8659,-0.9554,0.4846,0.1654,0.278,0.072
56.0,0.0529,12.3264,72.3283,0.866,-0.9553,0.4846,0.1654,0.278,0.072
57.0,0.0481,12.3264,72.2456,0.8659,-0.9553,0.4846,0.1654,0.278,0.072
58.0,0.0437,12.3264,72.1562,0.8659,-0.9553,0.4846,0.1654,0.278,0.072
59.0,0.0397,12.3264,72.082,0.8656,-0.9553,0.4846,0.1654,0.278,0.072
60.0,0.0361,12.3264,72.0158,0.8658,-0.9553,0.4846,0.1654,0.278,0.072
61.0,0.0328,12.3264,71.9601,0.8658,-0.9553,0.4846,0.1654,0.278,0.072
62.0,0.0299,12.3264,71.9099,0.866,-0.9552,0.4846,0.1654,0.278,0.072
63.0,0.0271,12.3264,71.8674,0.8662,-0.9553,0.4846,0.1654,0.278,0.072
64.0,0.0247,12.3264,71.8029,0.8661,-0.9553,0.4846,0.1654,0.278,0.072
65.0,0.0224,12.3264,71.7633,0.8661,-0.9552,0.4846,0.1654,0.278,0.072
66.0,0.0204,12.3264,71.7368,0.8661,-0.9553,0.4846,0.1654,0.278,0.072
67.0,0.0185,12.3264,71.6869,0.866,-0.9552,0.4846,0.1654,0.278,0.072
68.0,0.0169,12.3264,71.6483,0.866,-0.9552,0.4846,0.1654,0.278,0.072
69.0,0.0153,12.3264,71.6278,0.866,-0.9552,0.4846,0.1654,0.278,0.072
70.0,0.0139,12.3264,71.5969,0.8659,-0.9552,0.4846,0.1654,0.278,0.072
71.0,0.0127,12.3264,71.5667,0.8661,-0.9552,0.4846,0.1654,0.278,0.072
72.0,0.0115,12.3264,71.5522,0.8659,-0.9553,0.4846,0.1654,0.278,0.072
73.0,0.0105,12.3264,71.5298,0.8661,-0.9552,0.4846,0.1654,0.278,0.072
74.0,0.0095,12.3264,71.5035,0.8661,-0.9552,0.4846,0.1654,0.278,0.072
75.0,0.0086,12.3264,71.487,0.8663,-0.9552,0.4846,0.1654,0.278,0.072
76.0,0.0079,12.3264,71.4707,0.8664,-0.9552,0.4846,0.1654,0.278,0.072
77.0,0.0071,12.3264,71.4608,0.8665,-0.9552,0.4846,0.1654,0.278,0.072
78.0,0.0065,12.3264,71.4468,0.8664,-0.9552,0.4846,0.1654,0.278,0.072
79.0,0.0059,12.3264,71.4344,0.8664,-0.9552,0.4846,0.1654,0.278,0.072
80.0,0.0054,12.3264,71.4216,0.8666,-0.9552,0.4846,0.1654,0.278,0.072
81.0,0.0049,12.3264,71.4069,0.8666,-0.9552,0.4846,0.1654,0.278,0.072
82.0,0.0044,12.3264,71.3988,0.8666,-0.9552,0.4846,0.1654,0.278,0.072
83.0,0.004,12.3264,71.392,0.8666,-0.9552,0.4846,0.1654,0.278,0.072
84.0,0.0037,12.3264,71.3838,0.8666,-0.9552,0.4846,0.1654,0.278,0.072
85.0,0.0033,12.3264,71.3781,0.8666,-0.9552,0.4846,0.1654,0.278,0.072
86.0,0.003,12.3264,71.3701,0.8666,-0.9552,0.4846,0.1654,0.278,0.072
87.0,0.0028,12.3264,71.3646,0.8666,-0.9552,0.4846,0.1654,0.278,0.072
88.0,0.0025,12.3264,71.3579,0.8666,-0.9552,0.4846,0.1654,0.278,0.072
89.0,0.0023,12.3264,71.3528,0.8667,-0.9552,0.4846,0.1654,0.278,0.072
90.0,0.0021,12.3264,71.3482,0.8666,-0.9552,0.4846,0.1654,0.278,0.072
91.0,0.0019,12.3264,71.3417,0.8666,-0.9552,0.4846,0.1654,0.278,0.072
92.0,0.0017,12.3264,71.3393,0.8666,-0.9552,0.4846,0.1654,0.278,0.072
93.0,0.0016,12.3264,71.3351,0.8666,-0.9552,0.4846,0.1654,0.278,0.072
