j,ar_cont_s,∆w_cont_s,ar_cont_d,∆w_cont_d,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,NaN,NaN,0.0,-3.5595423976923216e-7,0.0,0.0,0.5010833333333333,0.0005468728707605291,0.5200592216582064,72.66497461928934,0.0
1,NaN,NaN,0.0,-1.647762012347447e-13,0.0,0.0,0.48941326530612245,0.0004891553300391734,0.5192772540488276,72.10659898477158,0.0
2,NaN,NaN,0.0,-7.627721055087143e-20,0.0,0.0,0.501113043478261,0.0004759025057814294,0.5321739130434783,72.48223350253807,0.0
3,NaN,NaN,0.0,-3.530978870627794e-26,0.0,0.0,0.5012877442273534,0.000515140638495437,0.5232393540766921,72.0253807106599,0.0
4,NaN,NaN,0.0,-1.6345395557569312e-32,0.0,0.0,0.5010636363636363,0.0005215734903798524,0.5241993539455468,70.93908629441624,0.0
5,NaN,NaN,0.0,-7.566512452279404e-39,0.0,0.0,0.49742565055762084,0.0005242441673816511,0.516879587870096,71.02030456852792,0.0
6,NaN,NaN,0.0,-3.5026445514184373e-45,0.0,0.0,0.49001904761904747,0.0005315270833241932,0.534967367657723,70.751269035533,0.0
7,NaN,NaN,0.0,-1.621423202691669e-51,0.0,0.0,0.4922417153996102,0.0006000174892823635,0.5208636368134097,70.13197969543147,0.0
8,NaN,NaN,0.0,-7.505795017545412e-58,0.0,0.0,0.49337000000000003,0.0005016507410129493,0.5283756345177665,69.7258883248731,0.0
9,NaN,NaN,0.0,-3.4745376007871634e-64,0.0,0.0,0.4947438524590164,0.0005630774716268097,0.5166950986103022,69.76142131979695,0.0
10,NaN,NaN,0.0,-1.608412101724543e-70,0.0,0.0,0.4902736842105263,0.0005470165691935054,0.5171787336361208,70.14213197969544,0.0
11,NaN,NaN,0.0,-7.445564809509828e-77,0.0,0.0,0.5014902807775377,0.0005155858805629199,0.5116159235179967,67.76142131979695,0.0
12,NaN,NaN,0.0,-3.446656194216151e-83,0.0,0.0,0.4980777777777778,0.00047842743877231776,0.5091934574168077,67.42639593908629,0.0
13,NaN,NaN,0.0,-1.5955054082607116e-89,0.0,0.0,0.49864155251141556,0.000766557200775953,0.5069652087244744,67.3248730964467,0.0
14,NaN,NaN,0.0,-7.385817918424896e-96,0.0,0.0,0.49377647058823526,0.0005217182119919592,0.5223887727679905,67.03045685279187,0.0
15,NaN,NaN,0.0,-3.418998521828419e-102,0.0,0.0,0.49251815980629543,0.0005591603068503709,0.5164882437531495,66.91370558375634,0.0
16,NaN,NaN,0.0,-1.5827022844827794e-108,0.0,0.0,0.4973375,0.0005435396769102273,0.5153807106598985,66.4517766497462,0.0
17,NaN,NaN,0.0,-7.3265504659165665e-115,0.0,0.0,0.4983505154639176,0.0006099883540055011,0.5070778167355696,65.70558375634518,0.0
18,NaN,NaN,0.0,-3.391562788270326e-121,0.0,0.0,0.4948266666666666,0.0005599803384225875,0.5125143824027073,65.86294416243655,0.0
19,NaN,NaN,0.0,-1.5700018992964072e-127,0.0,0.0,0.4919834710743801,0.0005365818635668456,0.5207170924752834,64.6497461928934,0.0
20,NaN,NaN,0.0,-7.267758604732811e-134,0.0,0.0,0.49137142857142857,0.000581379351773505,0.5192603335750544,64.95431472081218,0.0
21,NaN,NaN,0.0,-3.364347212595036e-140,0.0,0.0,0.49729289940828403,0.00040257953927571845,0.5169705343465594,64.13705583756345,0.0
22,NaN,NaN,0.0,-1.5574034282763719e-146,0.0,0.0,0.49710769230769236,0.00047558911698058126,0.5094260054666147,63.77157360406091,0.0
23,NaN,NaN,0.0,-7.20943851849382e-153,0.0,0.0,0.48535143769968053,0.0005147628838720312,0.5169718298438234,64.32994923857868,0.0
24,NaN,NaN,0.0,-3.3373500281469066e-159,0.0,0.0,0.4902499999999999,0.0005447476139755399,0.5124534686971235,63.0507614213198,0.0
25,NaN,NaN,0.0,-1.544906053613043e-165,0.0,0.0,0.5000868055555556,0.00048355246767877667,0.5137126339537507,62.411167512690355,0.0
26,NaN,NaN,0.0,-7.151586421444333e-172,0.0,0.0,0.49610909090909083,0.000529618171633734,0.5129856945085371,61.401015228426395,0.0
27,NaN,NaN,0.0,-3.310569482446825e-178,0.0,0.0,0.49300380228136886,0.0004659388486537943,0.5023450618594507,61.65989847715736,0.0
28,NaN,NaN,0.0,-1.5325089640593028e-184,0.0,0.0,0.49387999999999993,0.0004611153130786637,0.5149644670050761,61.21827411167513,0.0
29,NaN,NaN,0.0,-7.094198558207849e-191,0.0,0.0,0.49163865546218494,0.0005378238826140958,0.5081687497333959,61.02030456852792,0.0
30,NaN,NaN,0.0,-3.2840038370784253e-197,0.0,0.0,0.49124444444444443,0.0004709402484582456,0.518127467569092,61.609137055837564,0.0
31,NaN,NaN,0.0,-1.520211354877875e-203,0.0,0.0,0.4936854460093897,0.0004731100899796445,0.5094730821477086,59.766497461928935,0.0
32,NaN,NaN,0.0,-7.037271203542854e-210,0.0,0.0,0.48977500000000007,0.0005061153324712902,0.51751269035533,60.111675126903556,0.0
33,NaN,NaN,0.0,-3.257651367575259e-216,0.0,0.0,0.49781914893617013,0.00048265224973586347,0.5133923749864996,59.34010152284264,0.0
34,NaN,NaN,0.0,-1.5080124277890974e-222,0.0,0.0,0.48808571428571434,0.0004253374532723907,0.5069470630891951,58.26903553299493,0.0
35,NaN,NaN,0.0,-6.980800662101022e-229,0.0,0.0,0.4958282208588958,0.0005222006593021269,0.5080502008657469,58.16243654822335,0.0
36,NaN,NaN,0.0,-3.231510363308852e-235,0.0,0.0,0.49200000000000005,0.00043523894836159884,0.5152284263959391,58.63959390862944,0.0
37,NaN,NaN,0.0,-1.4959113909190987e-241,0.0,0.0,0.49250000000000005,0.0003997746520890497,0.5093430442139337,58.076142131979694,0.0
38,NaN,NaN,0.0,-6.924783268187333e-248,0.0,0.0,0.4944800000000001,0.0005507772441914329,0.5121624365482235,57.83756345177665,0.0
39,NaN,NaN,0.0,-3.2055791273776467e-254,0.0,0.0,0.4977433628318584,0.0005826105571671023,0.5092763128341045,56.82741116751269,0.0
40,NaN,NaN,0.0,-1.4839074587483906e-260,0.0,0.0,0.49130000000000007,0.0004832027837246931,0.5086294416243655,57.23857868020305,0.0
41,NaN,NaN,0.0,-6.86921538552211e-267,0.0,0.0,0.49304999999999993,0.0006933039751224791,0.49050761421319794,56.87309644670051,0.0
42,NaN,NaN,0.0,-3.1798559764968785e-273,0.0,0.0,0.49935,0.0006280868128656567,0.5069035532994924,55.63959390862944,0.0
43,NaN,NaN,0.0,-1.4719998520608884e-279,0.0,0.0,0.4917499999999999,0.0004666772888927039,0.5140101522842639,55.90355329949239,0.0
44,NaN,NaN,0.0,-6.814093407004978e-286,0.0,0.0,0.49084999999999995,0.0004942483915550988,0.5172081218274113,55.27918781725889,0.0
45,NaN,NaN,0.0,-3.154339240889275e-292,0.0,0.0,0.4895999999999999,0.00052579348126847,0.5052791878172589,54.32994923857868,0.0
46,NaN,NaN,0.0,-1.460187797893312e-298,0.0,0.0,0.48660000000000003,0.0005310234054299862,0.5162944162436548,54.02030456852792,0.0
47,NaN,NaN,0.0,-6.759413754480705e-305,0.0,0.0,0.4882,0.0003924488212996554,0.5101015228426395,53.15228426395939,0.0
48,NaN,NaN,0.0,-3.129027264177e-311,0.0,0.0,0.4949,0.0004623554236855364,0.508730964467005,53.20812182741117,0.0
49,NaN,NaN,0.0,-1.448471e-317,0.0,0.0,0.4916500000000001,0.00043399138627862405,0.5081725888324873,52.38578680203046,0.0
50,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4896000000000001,0.0004490640749499559,0.506751269035533,51.88324873096447,0.0
51,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49199999999999994,0.0004443241055228057,0.5046192893401015,52.065989847715734,0.0
52,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49444999999999995,0.0004832976173831442,0.5089340101522842,52.23857868020305,0.0
53,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4868,0.0004093711280216923,0.5061421319796954,51.101522842639596,0.0
54,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4919,0.00035604260317240156,0.5081725888324873,49.74111675126903,0.0
55,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48339999999999994,0.000508236524617538,0.5003553299492386,49.7005076142132,0.0
56,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4874,0.0003908507999609746,0.5030964467005076,49.619289340101524,0.0
57,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4937,0.00044726102294471455,0.5133502538071065,49.83248730964467,0.0
58,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4948499999999999,0.0004988254305977068,0.5018781725888324,49.6243654822335,0.0
59,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4912500000000001,0.0007123927755903952,0.5022335025380711,49.90862944162436,0.0
60,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4975,0.0004995975797518188,0.49619289340101513,48.0,0.0
61,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4915000000000001,0.0005797902298257493,0.502741116751269,48.36040609137056,0.0
62,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48169999999999985,0.000458289684640566,0.5011675126903553,48.380710659898476,0.0
63,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4916500000000001,0.0004585998444560371,0.5093401015228426,47.15228426395939,0.0
64,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.494,0.0004473615787582498,0.5134010152284264,47.994923857868024,0.0
65,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49450000000000005,0.0005205047105823068,0.5034010152284264,47.31472081218274,0.0
66,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4951000000000001,0.0006195967870515922,0.49131979695431477,47.38578680203046,0.0
67,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4935999999999999,0.0006566026796233013,0.5050253807106599,46.588832487309645,0.0
68,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4861,0.0006950683879730346,0.5064467005076143,45.90862944162436,0.0
69,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4923499999999999,0.0004960190206286971,0.48999999999999994,45.08121827411168,0.0
70,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49595,0.0004781968840390991,0.494010152284264,44.93908629441624,0.0
71,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49465000000000003,0.000505397648720102,0.5049746192893402,44.90355329949239,0.0
72,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49115000000000003,0.0005677658326969423,0.5059390862944163,45.07106598984772,0.0
73,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48535000000000006,0.00040329635377470195,0.496751269035533,44.005076142131976,0.0
74,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4900499999999999,0.0007351313302067363,0.4989340101522842,45.24873096446701,0.0
75,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.5003,0.0006077929707843168,0.5015736040609137,43.30456852791878,0.0
76,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48915,0.0006631214730563553,0.4958883248730964,43.6497461928934,0.0
