omega,S
-15.000000000000002,0.004381549808527117
-14.990000000000002,0.004321813130588494
-14.980000000000002,0.004354259944326184
-14.970000000000002,0.0045092691417757645
-14.960000000000003,0.004480380906992074
-14.950000000000001,0.004310283520940228
-14.940000000000001,0.0044069873893903735
-14.930000000000001,0.004323448285625391
-14.920000000000002,0.004459523500660381
-14.910000000000002,0.004312479461843897
-14.900000000000002,0.004367296911449436
-14.890000000000002,0.004278134568492989
-14.880000000000003,0.004528191455012519
-14.870000000000001,0.004304903254487523
-14.860000000000001,0.004456815856986571
-14.850000000000001,0.00437348545561534
-14.840000000000002,0.004337784974410284
-14.830000000000002,0.004359918157097954
-14.820000000000002,0.004478153270295102
-14.810000000000002,0.004341508013101281
-14.800000000000002,0.004476726191606526
-14.790000000000001,0.00441205541052481
-14.780000000000001,0.004344748815481567
-14.770000000000001,0.00434866265383099
-14.760000000000002,0.004185120458373244
-14.750000000000002,0.0043579964016035744
-14.740000000000002,0.004249990874486536
-14.730000000000002,0.004273984493528622
-14.720000000000002,0.0044181241678349845
-14.710000000000003,0.004421846913895654
-14.700000000000001,0.0044595877384606235
-14.690000000000001,0.004480699327078845
-14.680000000000001,0.004321372647255182
-14.670000000000002,0.004550200986985635
-14.660000000000002,0.004306580144107862
-14.650000000000002,0.004498654064583827
-14.640000000000002,0.004480935825645338
-14.630000000000003,0.004562754977888566
-14.620000000000001,0.004541450134033878
-14.610000000000001,0.004451638011228372
-14.600000000000001,0.004519611905234353
-14.590000000000002,0.004406061832452126
-14.580000000000002,0.004582992940609246
-14.570000000000002,0.004261831204250385
-14.560000000000002,0.004571996483421783
-14.550000000000002,0.00477400003167162
-14.540000000000001,0.0047072453341684695
-14.530000000000001,0.004679583202158198
-14.520000000000001,0.004653392971848265
-14.510000000000002,0.004482430390962954
-14.500000000000002,0.004484662126817061
-14.490000000000002,0.004470764723850744
-14.480000000000002,0.004626240823774182
-14.470000000000002,0.004429543284522029
-14.46,0.004667249359852664
-14.450000000000001,0.004559547249000588
-14.440000000000001,0.0047472910069599064
-14.430000000000001,0.004486675670965809
-14.420000000000002,0.004555495610116361
-14.410000000000002,0.00462505664348735
-14.400000000000002,0.004559317911775799
-14.390000000000002,0.00465589638970926
-14.380000000000003,0.004629962220552153
-14.370000000000001,0.004691764956871131
-14.360000000000001,0.004688903030120842
-14.350000000000001,0.004680949023157991
-14.340000000000002,0.004527279706265841
-14.330000000000002,0.004637380195354512
-14.320000000000002,0.004617839176037064
-14.310000000000002,0.004520611674972603
-14.300000000000002,0.004627957641440919
-14.290000000000003,0.004527644781212597
-14.280000000000001,0.004684314089556672
-14.270000000000001,0.004657424226296056
-14.260000000000002,0.0047080263706316735
-14.250000000000002,0.004769178500473753
-14.240000000000002,0.004781141526819102
-14.230000000000002,0.004628475235122163
-14.220000000000002,0.004795828447511648
-14.21,0.004682971697615886
-14.200000000000001,0.004778671277254568
-14.190000000000001,0.004759766564436595
-14.180000000000001,0.004648324893260723
-14.170000000000002,0.0049254126845323706
-14.160000000000002,0.004914165701440769
-14.150000000000002,0.0047734385554613285
-14.140000000000002,0.005085473387428693
-14.130000000000003,0.0047046507297954804
-14.120000000000001,0.005021457575484002
-14.110000000000001,0.0049173009849554205
-14.100000000000001,0.00487646158202526
-14.090000000000002,0.005010644424544655
-14.080000000000002,0.0049239754838080315
-14.070000000000002,0.0048748669137133145
-14.060000000000002,0.00507634050064349
-14.050000000000002,0.005115940118914815
-14.040000000000003,0.005017083152089324
-14.030000000000001,0.005025293289863266
-14.020000000000001,0.005075906899315527
-14.010000000000002,0.00503835294773708
-14.000000000000002,0.004902972171704061
-13.990000000000002,0.004999075750688017
-13.980000000000002,0.005059680416149432
-13.970000000000002,0.005065412025835057
-13.96,0.005140790557914077
-13.950000000000001,0.005146782838147264
-13.940000000000001,0.005018662508896065
-13.930000000000001,0.005176950820806348
-13.920000000000002,0.00510065434195482
-13.910000000000002,0.005065471689368223
-13.900000000000002,0.005033625325407983
-13.890000000000002,0.005183165191183106
-13.880000000000003,0.005098312865521707
-13.870000000000001,0.005232955983609419
-13.860000000000001,0.00520073025382905
-13.850000000000001,0.005127086651476327
-13.840000000000002,0.005193481941575169
-13.830000000000002,0.005152909950544298
-13.820000000000002,0.005019480051773859
-13.810000000000002,0.00507977307457276
-13.800000000000002,0.0051873519673319305
-13.790000000000003,0.004997356306669495
-13.780000000000001,0.00504449290894224
-13.770000000000001,0.004768492445666309
-13.760000000000002,0.004907242160939099
-13.750000000000002,0.0051320814446762855
-13.740000000000002,0.004916949744808069
-13.730000000000002,0.004962303133426798
-13.720000000000002,0.004943590615850561
-13.71,0.005047554706987307
-13.700000000000001,0.0052722338627750635
-13.690000000000001,0.005040580141605479
-13.680000000000001,0.0050358140690392
-13.670000000000002,0.005032733878231281
-13.660000000000002,0.004985444337769666
-13.650000000000002,0.005048169115388998
-13.640000000000002,0.0053086057340326585
-13.630000000000003,0.005021392682685909
-13.620000000000001,0.005288675122186208
-13.610000000000001,0.00516936527333682
-13.600000000000001,0.005287667213928263
-13.590000000000002,0.005421435926676536
-13.580000000000002,0.005245912538481599
-13.570000000000002,0.005168980164215358
-13.560000000000002,0.005306670443878752
-13.550000000000002,0.005358825405882056
-13.540000000000003,0.005337331893332538
-13.530000000000001,0.005176608019484413
-13.520000000000001,0.005204072845647663
-13.510000000000002,0.005371944621017477
-13.500000000000002,0.005179356101653833
-13.490000000000002,0.005308426622011538
-13.480000000000002,0.005290477998947921
-13.470000000000002,0.005221438854558787
-13.46,0.005641574777981145
