i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,15.0,8.1526,17.4391,0.9109,-0.8613,0.1477,0.5023,0.0897,0.2603
2.0,14.2857,8.1526,17.4578,0.9084,-0.8621,0.1476,0.5024,0.0896,0.2604
3.0,13.6054,8.1526,17.0409,0.905,-0.8637,0.1461,0.5039,0.0913,0.2587
4.0,12.9576,8.1526,15.2042,0.9049,-0.8648,0.1453,0.5047,0.0921,0.2579
5.0,12.3405,7.3915,15.5906,0.9048,-0.862,0.1455,0.5045,0.0918,0.2582
6.0,11.7529,6.9595,14.7367,0.9025,-0.8626,0.1451,0.5049,0.0922,0.2578
7.0,11.1932,6.9595,14.8898,0.9051,-0.864,0.1457,0.5043,0.0917,0.2583
8.0,10.6602,6.6005,14.0305,0.9049,-0.8644,0.1447,0.5053,0.0926,0.2574
9.0,10.1526,6.5622,12.1622,0.9018,-0.8622,0.1438,0.5062,0.0935,0.2565
10.0,9.6691,5.8362,13.0588,0.9016,-0.8624,0.1434,0.5066,0.0938,0.2562
11.0,9.2087,5.3135,10.5107,0.8961,-0.865,0.1413,0.5087,0.0959,0.2541
12.0,8.7702,4.8292,10.6731,0.8963,-0.8639,0.1412,0.5088,0.0961,0.2539
13.0,8.3526,3.941,8.8238,0.8898,-0.8666,0.1388,0.5112,0.0985,0.2515
14.0,7.9548,3.941,8.3286,0.8921,-0.8662,0.1381,0.5119,0.099,0.251
15.0,7.576,3.4958,8.3281,0.8894,-0.8638,0.1368,0.5132,0.1004,0.2496
16.0,7.2153,3.4958,8.5429,0.8884,-0.8667,0.1351,0.5149,0.102,0.248
17.0,6.8717,3.4958,7.4067,0.889,-0.8657,0.1339,0.5161,0.1033,0.2467
18.0,6.5445,3.4081,7.7697,0.8876,-0.8679,0.1336,0.5164,0.1037,0.2463
19.0,6.2328,3.2328,7.0238,0.8847,-0.8638,0.1333,0.5167,0.1039,0.2461
20.0,5.936,3.0462,6.8,0.8879,-0.8653,0.1326,0.5174,0.1046,0.2454
21.0,5.6533,3.0462,6.3791,0.8815,-0.8663,0.1317,0.5183,0.1055,0.2445
22.0,5.3841,3.0462,6.0734,0.8819,-0.8665,0.1325,0.5175,0.1048,0.2452
23.0,5.1277,2.8464,6.1898,0.8852,-0.8643,0.1328,0.5172,0.1046,0.2454
24.0,4.8836,2.8464,6.0235,0.8871,-0.8644,0.1329,0.5171,0.1043,0.2457
25.0,4.651,2.8464,5.6931,0.885,-0.8682,0.1311,0.5189,0.1061,0.2439
26.0,4.4295,2.8464,5.3507,0.8831,-0.866,0.131,0.519,0.1062,0.2438
27.0,4.2186,2.4727,4.8127,0.8826,-0.8649,0.1302,0.5198,0.1071,0.2429
28.0,4.0177,2.4727,5.2328,0.8849,-0.866,0.1301,0.5199,0.1072,0.2428
29.0,3.8264,2.4727,4.7427,0.8865,-0.8659,0.13,0.52,0.1072,0.2428
30.0,3.6442,2.2542,4.6792,0.8912,-0.8657,0.1296,0.5204,0.1076,0.2424
31.0,3.4707,2.2542,5.0186,0.8843,-0.8686,0.1305,0.5195,0.1067,0.2433
32.0,3.3054,2.0138,3.6579,0.8849,-0.8662,0.1302,0.5198,0.1069,0.2431
33.0,3.148,1.8016,3.7277,0.8825,-0.8662,0.1296,0.5204,0.1076,0.2424
34.0,2.9981,1.8016,3.674,0.8846,-0.8664,0.1285,0.5215,0.1086,0.2414
35.0,2.8553,1.8016,3.2935,0.8766,-0.8686,0.128,0.522,0.1092,0.2408
36.0,2.7194,1.8016,3.54,0.8796,-0.8684,0.1282,0.5218,0.109,0.241
37.0,2.5899,1.782,3.2045,0.8797,-0.8681,0.1287,0.5213,0.1085,0.2415
38.0,2.4665,1.782,3.1841,0.8781,-0.866,0.1285,0.5215,0.1088,0.2412
39.0,2.3491,1.782,3.1313,0.8781,-0.8684,0.1285,0.5215,0.1087,0.2413
40.0,2.2372,1.6788,2.7825,0.8798,-0.8678,0.128,0.522,0.1092,0.2408
41.0,2.1307,1.6788,2.7052,0.878,-0.8665,0.1277,0.5223,0.1094,0.2406
42.0,2.0292,1.47,2.4067,0.8765,-0.867,0.1274,0.5226,0.1097,0.2403
43.0,1.9326,1.47,2.5308,0.8738,-0.868,0.1267,0.5233,0.1104,0.2396
44.0,1.8406,1.47,2.5338,0.8753,-0.8679,0.1262,0.5238,0.1109,0.2391
45.0,1.7529,1.47,2.466,0.876,-0.8676,0.1258,0.5242,0.1114,0.2386
46.0,1.6694,1.47,2.475,0.875,-0.8678,0.1256,0.5244,0.1116,0.2384
47.0,1.59,1.47,2.3409,0.8773,-0.867,0.1261,0.5239,0.1111,0.2389
48.0,1.5142,1.47,2.3039,0.8796,-0.8677,0.1258,0.5242,0.1114,0.2386
49.0,1.4421,1.4045,2.1425,0.8783,-0.8665,0.126,0.524,0.1112,0.2388
50.0,1.3735,1.3521,1.9212,0.8771,-0.868,0.1252,0.5248,0.112,0.238
51.0,1.3081,1.2122,1.8823,0.8749,-0.8675,0.125,0.525,0.1121,0.2379
