i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
1.0,0.5218,0.5398,0.4337,0.4815,0.507,0.194,6.39188905,9.20432024,2.14063071,3.08250822,0.5398,0.485,0.00145644,0.00048776,0.4646,0.5242,0.4688,1.23879092,0.00040647,0.00101142
2.0,0.5447,0.4845,0.4548,0.4892,0.5163,0.1917,6.39188905,11.04518428,2.14063071,3.08250822,0.5256,0.54,0.00145644,0.00040647,0.4698,0.5268,0.4601,1.23879092,0.00040647,0.00101142
3.0,0.5074,0.4996,0.4626,0.4968,0.5222,0.1829,7.67026686,11.04518428,2.14063071,3.08250822,0.468,0.498,0.00174773,0.00040647,0.476,0.495,0.5306,1.23879092,0.00040647,0.00084285
4.0,0.5131,0.5112,0.4599,0.503,0.5247,0.1841,7.67026686,11.04518428,2.14063071,3.08250822,0.4552,0.5132,0.00174773,0.00040647,0.4752,0.4962,0.5327,1.23879092,0.00040647,0.00084285
5.0,0.5271,0.5332,0.479,0.4969,0.5271,0.1854,7.67026686,11.04518428,2.14063071,3.08250822,0.5262,0.4812,0.00145644,0.00040647,0.4741,0.5464,0.5011,1.23879092,0.00033872,0.00084285
6.0,0.5265,0.5333,0.4797,0.4827,0.5024,0.1793,7.67026686,11.04518428,2.14063071,3.08250822,0.5024,0.4984,0.00145644,0.00040647,0.4626,0.4752,0.5012,1.23879092,0.00040647,0.00084285
7.0,0.5382,0.5506,0.5001,0.4732,0.4924,0.1846,7.67026686,11.04518428,2.14063071,3.08250822,0.5032,0.4874,0.00145644,0.00040647,0.4593,0.4806,0.4946,1.23879092,0.00040647,0.00084285
8.0,0.4915,0.4654,0.4992,0.4587,0.476,0.1819,9.20432024,13.25422114,2.14063071,3.08250822,0.4782,0.474,0.00145644,0.00040647,0.4793,0.4582,0.4763,1.03232577,0.00040647,0.00084285
9.0,0.5061,0.4821,0.522,0.4549,0.4821,0.1908,9.20432024,13.25422114,2.14063071,3.08250822,0.4858,0.5366,0.00145644,0.00033872,0.4782,0.5112,0.4573,1.03232577,0.00033872,0.00084285
10.0,0.5244,0.5121,0.5383,0.4799,0.4686,0.1897,9.20432024,13.25422114,1.78385893,3.08250822,0.5564,0.5222,0.0012137,0.00033872,0.4643,0.5134,0.4497,1.03232577,0.00033872,0.00084285
11.0,0.5198,0.4947,0.524,0.4785,0.532,0.1927,9.20432024,13.25422114,1.78385893,2.56875685,0.5378,0.5146,0.0012137,0.00033872,0.4586,0.5028,0.5228,1.03232577,0.00033872,0.00070237
12.0,0.5182,0.5075,0.5236,0.4756,0.526,0.1884,9.20432024,13.25422114,1.78385893,2.56875685,0.5114,0.5248,0.0012137,0.00033872,0.4937,0.493,0.5236,0.86027147,0.00033872,0.00070237
13.0,0.5182,0.4973,0.5196,0.4724,0.5262,0.1846,9.20432024,13.25422114,1.78385893,2.56875685,0.582,0.4994,0.00101142,0.00033872,0.4918,0.4838,0.4986,0.86027147,0.00033872,0.00070237
14.0,0.5183,0.4965,0.5237,0.4682,0.5227,0.1853,9.20432024,13.25422114,1.78385893,2.56875685,0.4516,0.4828,0.00145644,0.00033872,0.4921,0.4636,0.473,0.86027147,0.00033872,0.00070237
15.0,0.5103,0.4876,0.5166,0.4646,0.5155,0.1898,9.20432024,13.25422114,1.78385893,2.56875685,0.4916,0.4772,0.0012137,0.00033872,0.4909,0.5192,0.47,0.86027147,0.00028227,0.00070237
16.0,0.5027,0.4757,0.5064,0.4609,0.5123,0.1848,9.20432024,13.25422114,1.78385893,2.56875685,0.4904,0.5384,0.0012137,0.00028227,0.4874,0.5058,0.5414,0.86027147,0.00028227,0.00058531
17.0,0.4946,0.4693,0.5037,0.4609,0.5049,0.1797,9.20432024,13.25422114,1.78385893,2.56875685,0.4946,0.5124,0.0012137,0.00028227,0.4905,0.4908,0.5347,0.86027147,0.00028227,0.00058531
18.0,0.4943,0.4687,0.5002,0.46,0.5002,0.175,9.20432024,13.25422114,1.78385893,2.56875685,0.5422,0.5158,0.00101142,0.00028227,0.4905,0.4984,0.5301,0.86027147,0.00028227,0.00058531
19.0,0.4984,0.4703,0.503,0.4919,0.4943,0.1731,9.20432024,13.25422114,1.4865491,2.56875685,0.4866,0.5112,0.0012137,0.00028227,0.4818,0.4752,0.5099,0.86027147,0.00028227,0.00058531
20.0,0.4953,0.4764,0.5056,0.4912,0.4917,0.1728,9.20432024,13.25422114,1.4865491,2.56875685,0.466,0.4884,0.0012137,0.00028227,0.4857,0.545,0.4991,0.86027147,0.00023522,0.00058531
21.0,0.4876,0.4654,0.4956,0.4853,0.4802,0.1677,9.20432024,13.25422114,1.4865491,2.56875685,0.4726,0.4816,0.0012137,0.00028227,0.4807,0.5192,0.4773,0.86027147,0.00023522,0.00058531
22.0,0.4891,0.4598,0.4923,0.476,0.4718,0.1681,9.20432024,13.25422114,1.4865491,2.56875685,0.4552,0.543,0.0012137,0.00023522,0.473,0.5144,0.466,0.86027147,0.00023522,0.00058531
23.0,0.4952,0.4749,0.5049,0.4702,0.4558,0.1625,9.20432024,13.25422114,1.4865491,2.56875685,0.508,0.5468,0.00101142,0.00023522,0.4669,0.5134,0.4604,0.86027147,0.00023522,0.00058531
24.0,0.4994,0.4819,0.5113,0.4639,0.5094,0.1566,9.20432024,13.25422114,1.4865491,2.14063071,0.5034,0.447,0.00101142,0.00028227,0.463,0.5018,0.5233,0.86027147,0.00023522,0.00048776
25.0,0.4894,0.4656,0.4935,0.4639,0.5182,0.1633,9.20432024,13.25422114,1.4865491,2.14063071,0.497,0.51,0.00101142,0.00023522,0.5024,0.4978,0.513,0.71689289,0.00023522,0.00048776
26.0,0.4927,0.4727,0.4839,0.4913,0.5063,0.1562,9.20432024,13.25422114,1.23879092,2.14063071,0.4864,0.4976,0.00101142,0.00023522,0.4898,0.4806,0.5088,0.71689289,0.00023522,0.00048776
27.0,0.4822,0.5405,0.4783,0.4889,0.5026,0.16,9.20432024,11.04518428,1.23879092,2.14063071,0.4838,0.4818,0.00101142,0.00023522,0.4885,0.4636,0.4872,0.71689289,0.00023522,0.00048776
