omega,S
0.0,0.0006765695800765696
0.01,0.0006372823327524252
0.02,0.0005992269412792498
0.03,0.0005395553191325932
0.04,0.0005438254391531551
0.05,0.0004948759558593741
0.06,0.0004365406266686401
0.07,0.0003904914814751808
0.08,0.00035066836320608917
0.09,0.0003315660657733901
0.1,0.0002302951540303545
0.11,0.00020407753888651353
0.12,0.000177189963947714
0.13,0.00013915497391661739
0.14,0.00012335267970355884
0.15,9.28993328359327e-5
0.16,7.920636522680476e-5
0.17,6.562912497549747e-5
0.18,6.347731619071218e-5
0.19,5.9182989047344855e-5
0.2,5.89376667984881e-5
0.21,5.7320810125103245e-5
0.22,5.7560021773746446e-5
0.23,4.716647212330763e-5
0.24,3.813659997131478e-5
0.25,3.7768271709060384e-5
0.26,3.304523422151661e-5
0.27,2.9849582387801716e-5
0.28,2.51302683920162e-5
0.29,2.6628452787271957e-5
0.3,2.6880424282937068e-5
0.31,2.364127325484693e-5
0.32,2.2762875387212615e-5
0.33,2.386628295399635e-5
0.34,2.0948930299854496e-5
0.35000000000000003,2.13264735474701e-5
0.36,2.288978643497853e-5
0.37,2.2658186852406654e-5
0.38,2.3517705568468186e-5
0.39,2.3414690888532443e-5
0.4,2.2647274298129476e-5
0.41000000000000003,2.2403800151048035e-5
0.42,2.3934205832998047e-5
0.43,2.536851287350586e-5
0.44,2.156108839930486e-5
0.45,2.4423443892176844e-5
0.46,2.4812298130285167e-5
0.47000000000000003,2.5998700919550764e-5
0.48,2.8802875069389945e-5
0.49,3.364715229818764e-5
0.5,3.319983620611572e-5
0.51,3.192445816334087e-5
0.52,3.3315117448049105e-5
0.53,3.1521850478221585e-5
0.54,3.458798600907834e-5
0.55,3.430865180423487e-5
0.56,3.881944429759873e-5
0.5700000000000001,3.920547137773464e-5
0.58,4.340749089816335e-5
0.59,4.3729869553128945e-5
0.6,4.6349033322014594e-5
0.61,4.735612167920242e-5
0.62,5.468453291706604e-5
0.63,5.8184823263162425e-5
0.64,5.697356020194209e-5
0.65,6.45921530045153e-5
0.66,7.053227758114154e-5
0.67,7.091509573344917e-5
0.68,7.787805405229529e-5
0.6900000000000001,7.386924050183133e-5
0.7000000000000001,7.96021728728342e-5
0.71,9.020289680663004e-5
0.72,9.427157018307729e-5
0.73,0.00010443755876216523
0.74,0.00010690134728044603
0.75,0.00012017474301332069
0.76,0.00013003344958505158
0.77,0.00013451478672973425
0.78,0.00014066354321228225
0.79,0.00016792525955241063
0.8,0.00017714608377428044
0.81,0.0001852476668133393
0.8200000000000001,0.00019534659098864018
0.8300000000000001,0.00021559795551263775
0.84,0.00024657792841116207
0.85,0.00026343716296611103
0.86,0.0002647455122940623
0.87,0.0002876619659994844
0.88,0.00032435436528183327
0.89,0.0003589890569158092
0.9,0.000399794793353675
0.91,0.0004442345830731866
0.92,0.0004727342860489573
0.93,0.0005492517492032353
0.9400000000000001,0.0005877003903859351
0.9500000000000001,0.0006594405994946073
0.96,0.0006846404304508318
0.97,0.0008133953657101717
0.98,0.0008714543360950801
0.99,0.0009711710318515975
1.0,0.001075307504648276
1.01,0.001164235034306966
1.02,0.0013665629471819084
1.03,0.0014902610023053294
1.04,0.0017724231071126033
1.05,0.001972621956578662
1.06,0.0022928252596213774
1.07,0.002424962635260166
1.08,0.002719571275914214
1.09,0.0031738840766950757
1.1,0.003402438014990758
1.11,0.004076892039838135
1.12,0.004665940019529122
1.1300000000000001,0.005525531387137949
1.1400000000000001,0.006466285879426245
1.1500000000000001,0.007283689247486441
1.16,0.008253694213424851
1.17,0.009558498778550775
1.18,0.010930518297349015
1.19,0.013634245757272371
1.2,0.015463848503626657
1.21,0.01792039936492376
1.22,0.020935121622611613
1.23,0.02444473927300861
1.24,0.028806000073024293
1.25,0.03498880488742806
1.26,0.04307512907491563
1.27,0.052665826560462696
1.28,0.0633465356270024
1.29,0.08040256906895044
1.3,0.10537620111581311
1.31,0.13098880269385607
1.32,0.15599461793090383
1.33,0.20249642107755014
1.34,0.2530683413515037
1.35,0.3076478971224796
1.36,0.3733027729875867
1.37,0.48541662713559935
1.3800000000000001,0.6180170312600844
1.3900000000000001,0.7684501709286969
1.4000000000000001,0.9174402181830181
1.41,1.165038671905524
1.42,1.424765116820139
1.43,1.7034334115506162
1.44,1.993356955736128
1.45,2.144221914597035
1.46,2.509641527609473
1.47,2.499327461557371
1.48,2.5838618655559085
1.49,2.8114249572793195
1.5,2.6183886280254316
1.51,2.513565596260631
1.52,2.47631814780444
1.53,2.022499933547824
1.54,1.9830967637674741
1.55,1.7546738655910838
1.56,1.5150552546800025
1.57,1.3638587514283644
1.58,1.1499795247795435
1.59,0.9608589600012859
1.6,0.8578173389080207
1.61,0.7534239641337724
1.62,0.6936623394050503
1.6300000000000001,0.651245423535154
1.6400000000000001,0.6143466450618944
1.6500000000000001,0.5492479296868028
1.6600000000000001,0.4708324412893314
1.67,0.4164442044700948
1.68,0.3922486426603653
1.69,0.34788475341334707
1.7,0.3446713230460711
1.71,0.3006133750391691
1.72,0.27523411337093057
1.73,0.27856105712682133
1.74,0.25849898666876425
1.75,0.2415586538792181
1.76,0.23970108611813576
1.77,0.22878472764947802
1.78,0.21728718550585194
1.79,0.20924426367016363
1.8,0.19537318763726017
1.81,0.19215467730540997
1.82,0.1796245461339529
1.83,0.17324977473459816
1.84,0.17320662893793165
1.85,0.16836315077758754
1.86,0.15725846319507877
1.87,0.1512280914748305
1.8800000000000001,0.1549729424021561
1.8900000000000001,0.15461483230770826
1.9000000000000001,0.15477329698242503
1.9100000000000001,0.14984960799960914
1.92,0.14681273829604738
1.93,0.1414670280325094
1.94,0.14554441624306058
1.95,0.14558945748782706
