i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,15.0,11.2013,21.3986,0.8183,-0.8154,0.0761,0.2739,0.1612,0.4888
2.0,14.2857,10.2677,21.2514,0.8165,-0.8183,0.0755,0.2745,0.1618,0.4882
3.0,13.6054,9.2732,17.9787,0.827,-0.8204,0.0764,0.2736,0.1607,0.4893
4.0,12.9576,8.7345,17.2608,0.836,-0.8194,0.0764,0.2736,0.1607,0.4893
5.0,12.3405,8.7345,17.727,0.8316,-0.8166,0.0782,0.2718,0.1591,0.4909
6.0,11.7529,7.1629,14.4038,0.8276,-0.8212,0.0789,0.2711,0.1584,0.4916
7.0,11.1932,7.1629,14.6691,0.8357,-0.8188,0.0798,0.2702,0.1575,0.4925
8.0,10.6602,7.1629,14.7753,0.8292,-0.822,0.0801,0.2699,0.1569,0.4931
9.0,10.1526,7.1629,13.8784,0.8367,-0.825,0.0809,0.2691,0.1564,0.4936
10.0,9.6691,6.8047,12.8338,0.8446,-0.8214,0.08,0.27,0.1574,0.4926
11.0,9.2087,5.7138,11.6634,0.8239,-0.8247,0.0809,0.2691,0.1563,0.4937
12.0,8.7702,5.7012,11.8125,0.8398,-0.8167,0.081,0.269,0.1561,0.4939
13.0,8.3526,5.7012,12.1027,0.8306,-0.8228,0.0811,0.2689,0.1561,0.4939
14.0,7.9548,5.5258,10.6572,0.8345,-0.8208,0.081,0.269,0.1562,0.4938
15.0,7.576,5.1785,9.6904,0.8513,-0.8238,0.0822,0.2678,0.155,0.495
16.0,7.2153,5.1785,9.73,0.8434,-0.8235,0.0826,0.2674,0.1544,0.4956
17.0,6.8717,5.1785,9.5533,0.8284,-0.8214,0.0826,0.2674,0.1546,0.4954
18.0,6.5445,5.1785,9.1895,0.8391,-0.8221,0.0821,0.2679,0.1551,0.4949
19.0,6.2328,4.5693,9.1425,0.8325,-0.823,0.0812,0.2688,0.1559,0.4941
20.0,5.936,4.5693,8.7268,0.8443,-0.8214,0.0821,0.2679,0.1552,0.4948
21.0,5.6533,4.5693,8.2425,0.8414,-0.8247,0.0817,0.2683,0.1555,0.4945
22.0,5.3841,4.5693,7.9109,0.8371,-0.823,0.0815,0.2685,0.1557,0.4943
23.0,5.1277,4.5693,7.9447,0.8372,-0.8229,0.0822,0.2678,0.1551,0.4949
24.0,4.8836,4.3628,7.4682,0.8396,-0.825,0.083,0.267,0.1541,0.4959
25.0,4.651,4.1849,6.7335,0.8502,-0.824,0.0837,0.2663,0.1535,0.4965
26.0,4.4295,4.1131,6.6165,0.8496,-0.8189,0.0826,0.2674,0.1546,0.4954
27.0,4.2186,4.1131,6.6373,0.8505,-0.8225,0.0827,0.2673,0.1544,0.4956
28.0,4.0177,3.8378,6.3233,0.8393,-0.8255,0.0831,0.2669,0.154,0.496
29.0,3.8264,3.482,5.85,0.8436,-0.8247,0.0832,0.2668,0.1539,0.4961
30.0,3.6442,3.482,5.7231,0.8373,-0.8278,0.0836,0.2664,0.1534,0.4966
31.0,3.4707,3.3987,5.6003,0.8413,-0.8272,0.0841,0.2659,0.153,0.497
32.0,3.3054,3.3987,5.3227,0.8428,-0.8288,0.0842,0.2658,0.153,0.497
33.0,3.148,3.1753,5.482,0.8427,-0.8275,0.0849,0.2651,0.1525,0.4975
34.0,2.9981,3.0892,4.9994,0.8441,-0.8304,0.0848,0.2652,0.1522,0.4978
35.0,2.8553,2.9451,4.8573,0.8522,-0.8313,0.0852,0.2648,0.152,0.498
36.0,2.7194,2.7393,4.6059,0.8517,-0.8262,0.0861,0.2639,0.151,0.499
37.0,2.5899,2.7393,5.1988,0.8428,-0.8273,0.0859,0.2641,0.1513,0.4987
38.0,2.4665,2.7393,4.6547,0.8422,-0.8265,0.0859,0.2641,0.1512,0.4988
39.0,2.3491,2.7393,4.3236,0.8402,-0.8295,0.0854,0.2646,0.1517,0.4983
40.0,2.2372,2.7393,4.0052,0.848,-0.8302,0.0852,0.2648,0.1519,0.4981
41.0,2.1307,2.6796,4.2491,0.8427,-0.8263,0.0862,0.2638,0.1509,0.4991
42.0,2.0292,2.5359,3.7076,0.8513,-0.8315,0.0862,0.2638,0.151,0.499
43.0,1.9326,2.4029,3.7466,0.8522,-0.8269,0.0863,0.2637,0.1508,0.4992
44.0,1.8406,2.3519,3.4391,0.8499,-0.8315,0.0865,0.2635,0.1507,0.4993
45.0,1.7529,2.3232,3.3838,0.8501,-0.8325,0.0864,0.2636,0.1506,0.4994
46.0,1.6694,2.3001,3.5837,0.8484,-0.8284,0.0865,0.2635,0.1506,0.4994
47.0,1.59,2.2083,3.3902,0.8537,-0.8287,0.0869,0.2631,0.1503,0.4997
48.0,1.5142,2.2083,3.3307,0.8587,-0.827,0.0869,0.2631,0.1501,0.4999
49.0,1.4421,2.2083,3.0562,0.8539,-0.8316,0.0868,0.2632,0.1504,0.4996
50.0,1.3735,1.8075,2.6132,0.8542,-0.833,0.0866,0.2634,0.1504,0.4996
51.0,1.3081,1.8075,2.6639,0.844,-0.8345,0.0866,0.2634,0.1504,0.4996
52.0,1.2458,1.8075,2.6262,0.8481,-0.8335,0.0867,0.2633,0.1504,0.4996
53.0,1.1864,1.7945,2.9962,0.8471,-0.832,0.0868,0.2632,0.1503,0.4997
54.0,1.1299,1.7945,2.8385,0.8576,-0.8307,0.0876,0.2624,0.1495,0.5005
55.0,1.0761,1.7945,2.5362,0.8512,-0.8334,0.088,0.262,0.1492,0.5008
56.0,1.0249,1.6499,2.1421,0.8535,-0.8356,0.0881,0.2619,0.149,0.501
57.0,0.9761,1.6499,2.2954,0.8458,-0.8349,0.0884,0.2616,0.1487,0.5013
58.0,0.9296,1.5242,2.1775,0.8442,-0.8349,0.0883,0.2617,0.1488,0.5012
59.0,0.8853,1.5242,2.1686,0.8475,-0.8328,0.0883,0.2617,0.1487,0.5013
60.0,0.8432,1.5242,2.1716,0.8453,-0.8366,0.0883,0.2617,0.1487,0.5013
61.0,0.803,1.3966,1.9053,0.8552,-0.8354,0.0885,0.2615,0.1486,0.5014
62.0,0.7648,1.2596,1.6768,0.8562,-0.836,0.0887,0.2613,0.1484,0.5016
63.0,0.7284,1.2448,1.7636,0.8561,-0.8368,0.0889,0.2611,0.1482,0.5018
64.0,0.6937,1.2139,1.9859,0.8551,-0.8353,0.089,0.261,0.1481,0.5019
65.0,0.6607,1.2139,1.8086,0.8535,-0.8372,0.0888,0.2612,0.1482,0.5018
66.0,0.6292,1.2139,1.6483,0.8568,-0.8364,0.0891,0.2609,0.148,0.502
67.0,0.5992,1.1953,1.7594,0.8546,-0.8377,0.0889,0.2611,0.1481,0.5019
68.0,0.5707,1.1686,1.6969,0.8529,-0.8384,0.0887,0.2613,0.1483,0.5017
69.0,0.5435,1.1442,1.5086,0.8545,-0.8379,0.0888,0.2612,0.1483,0.5017
70.0,0.5176,1.135,1.4342,0.8544,-0.8395,0.0886,0.2614,0.1484,0.5016
71.0,0.493,1.1179,1.3884,0.855,-0.8396,0.0886,0.2614,0.1485,0.5015
72.0,0.4695,1.1179,1.4374,0.8489,-0.8399,0.0884,0.2616,0.1487,0.5013
73.0,0.4472,1.1179,1.5481,0.8536,-0.836,0.0887,0.2613,0.1484,0.5016
74.0,0.4259,1.101,1.3301,0.8533,-0.8384,0.0884,0.2616,0.1487,0.5013
75.0,0.4056,1.024,1.2749,0.8513,-0.8371,0.0887,0.2613,0.1483,0.5017
76.0,0.3863,1.024,1.4061,0.8556,-0.8371,0.0889,0.2611,0.1481,0.5019
77.0,0.3679,0.9904,1.1933,0.8526,-0.8395,0.0887,0.2613,0.1483,0.5017
78.0,0.3504,0.9904,1.2477,0.8499,-0.8384,0.089,0.261,0.1481,0.5019
79.0,0.3337,0.9904,1.2063,0.8528,-0.8388,0.0889,0.2611,0.1481,0.5019
80.0,0.3178,0.9901,1.1455,0.8526,-0.8395,0.0888,0.2612,0.1482,0.5018
81.0,0.3027,0.9901,1.1689,0.8545,-0.8396,0.0886,0.2614,0.1485,0.5015
82.0,0.2882,0.8715,1.0729,0.8556,-0.8413,0.0887,0.2613,0.1484,0.5016
83.0,0.2745,0.8615,1.0502,0.8566,-0.8409,0.0888,0.2612,0.1483,0.5017
84.0,0.2614,0.8615,1.0307,0.857,-0.8412,0.0888,0.2612,0.1482,0.5018
85.0,0.249,0.8615,1.0576,0.8531,-0.8398,0.0888,0.2612,0.1482,0.5018
86.0,0.2371,0.8605,0.9969,0.8597,-0.8403,0.0888,0.2612,0.1482,0.5018
87.0,0.2258,0.8124,0.935,0.8589,-0.8402,0.0887,0.2613,0.1483,0.5017
88.0,0.2151,0.8013,0.9249,0.8628,-0.8386,0.0888,0.2612,0.1483,0.5017
89.0,0.2048,0.8013,0.9558,0.8627,-0.8399,0.0887,0.2613,0.1484,0.5016
90.0,0.1951,0.8013,0.9179,0.8607,-0.8415,0.0887,0.2613,0.1483,0.5017
91.0,0.1858,0.7985,0.89,0.8625,-0.8421,0.0888,0.2612,0.1482,0.5018
92.0,0.177,0.7662,0.8653,0.8663,-0.8408,0.089,0.261,0.1481,0.5019
93.0,0.1685,0.7647,0.9033,0.8605,-0.8403,0.089,0.261,0.1481,0.5019
94.0,0.1605,0.7647,0.8962,0.859,-0.8432,0.0887,0.2613,0.1483,0.5017
95.0,0.1529,0.7359,0.829,0.8626,-0.8452,0.0889,0.2611,0.1482,0.5018
96.0,0.1456,0.7297,0.8035,0.8621,-0.8449,0.0888,0.2612,0.1483,0.5017
97.0,0.1386,0.7236,0.851,0.8609,-0.8438,0.089,0.261,0.148,0.502
98.0,0.132,0.7236,0.7987,0.8611,-0.8436,0.0889,0.2611,0.1481,0.5019
99.0,0.1258,0.7236,0.8408,0.8598,-0.8462,0.0888,0.2612,0.1483,0.5017
100.0,0.1198,0.719,0.7801,0.8617,-0.844,0.0891,0.2609,0.148,0.502
101.0,0.1141,0.719,0.7882,0.8607,-0.8441,0.0891,0.2609,0.1479,0.5021
102.0,0.1086,0.712,0.7639,0.8619,-0.8422,0.0892,0.2608,0.1479,0.5021
103.0,0.1035,0.712,0.7891,0.8597,-0.8415,0.0892,0.2608,0.1478,0.5022
104.0,0.0985,0.712,0.7928,0.8582,-0.8416,0.0892,0.2608,0.1479,0.5021
105.0,0.0938,0.712,0.7715,0.8576,-0.8441,0.0892,0.2608,0.1478,0.5022
106.0,0.0894,0.7075,0.7584,0.8601,-0.8432,0.0893,0.2607,0.1477,0.5023
107.0,0.0851,0.7075,0.7535,0.86,-0.8431,0.0893,0.2607,0.1477,0.5023
108.0,0.0811,0.7075,0.7735,0.8579,-0.8419,0.0894,0.2606,0.1477,0.5023
109.0,0.0772,0.7075,0.7503,0.8605,-0.8413,0.0893,0.2607,0.1478,0.5022
110.0,0.0735,0.7075,0.75,0.8615,-0.842,0.0892,0.2608,0.1478,0.5022
111.0,0.07,0.707,0.7393,0.8625,-0.8416,0.0892,0.2608,0.1478,0.5022
112.0,0.0667,0.707,0.7421,0.8616,-0.8423,0.0892,0.2608,0.1478,0.5022
113.0,0.0635,0.7032,0.7373,0.8628,-0.8415,0.0893,0.2607,0.1477,0.5023
114.0,0.0605,0.6984,0.7253,0.8619,-0.8427,0.0893,0.2607,0.1477,0.5023
115.0,0.0576,0.6929,0.7224,0.8607,-0.8437,0.0893,0.2607,0.1478,0.5022
116.0,0.0549,0.6756,0.7037,0.8642,-0.8435,0.0894,0.2606,0.1477,0.5023
117.0,0.0523,0.6756,0.7041,0.8648,-0.8433,0.0895,0.2605,0.1476,0.5024
118.0,0.0498,0.6756,0.7068,0.8672,-0.8425,0.0895,0.2605,0.1475,0.5025
119.0,0.0474,0.6756,0.701,0.8662,-0.8431,0.0894,0.2606,0.1476,0.5024
120.0,0.0451,0.6756,0.6998,0.866,-0.8454,0.0893,0.2607,0.1478,0.5022
121.0,0.043,0.6702,0.7036,0.8678,-0.8456,0.0892,0.2608,0.1478,0.5022
122.0,0.0409,0.6679,0.6883,0.867,-0.8452,0.0892,0.2608,0.1478,0.5022
123.0,0.039,0.6669,0.6922,0.8672,-0.8457,0.0892,0.2608,0.1479,0.5021
124.0,0.0371,0.6669,0.6847,0.8662,-0.8451,0.0893,0.2607,0.1478,0.5022
125.0,0.0354,0.6669,0.6867,0.8657,-0.8452,0.0893,0.2607,0.1477,0.5023
126.0,0.0337,0.6666,0.6807,0.8642,-0.8455,0.0893,0.2607,0.1477,0.5023
127.0,0.0321,0.6666,0.6869,0.8652,-0.8451,0.0893,0.2607,0.1477,0.5023
128.0,0.0306,0.6666,0.6813,0.867,-0.8455,0.0893,0.2607,0.1477,0.5023
129.0,0.0291,0.6666,0.6839,0.8663,-0.8446,0.0893,0.2607,0.1477,0.5023
130.0,0.0277,0.6666,0.6864,0.8659,-0.8452,0.0892,0.2608,0.1478,0.5022
131.0,0.0264,0.6633,0.676,0.8658,-0.8457,0.0893,0.2607,0.1477,0.5023
132.0,0.0251,0.6585,0.6716,0.8655,-0.8458,0.0894,0.2606,0.1476,0.5024
133.0,0.0239,0.6579,0.6706,0.8651,-0.8474,0.0894,0.2606,0.1476,0.5024
134.0,0.0228,0.6558,0.6656,0.8655,-0.8466,0.0894,0.2606,0.1476,0.5024
135.0,0.0217,0.6558,0.6702,0.867,-0.8459,0.0895,0.2605,0.1475,0.5025
136.0,0.0207,0.6558,0.6696,0.8667,-0.8458,0.0895,0.2605,0.1475,0.5025
137.0,0.0197,0.6558,0.6649,0.865,-0.846,0.0895,0.2605,0.1475,0.5025
138.0,0.0188,0.6543,0.6689,0.8643,-0.8457,0.0895,0.2605,0.1475,0.5025
139.0,0.0179,0.6543,0.6669,0.8638,-0.8466,0.0894,0.2606,0.1476,0.5024
140.0,0.017,0.6543,0.667,0.8635,-0.8459,0.0894,0.2606,0.1476,0.5024
141.0,0.0162,0.6543,0.6652,0.8634,-0.8462,0.0894,0.2606,0.1477,0.5023
142.0,0.0154,0.654,0.6601,0.8633,-0.8463,0.0894,0.2606,0.1476,0.5024
143.0,0.0147,0.654,0.6612,0.864,-0.8459,0.0894,0.2606,0.1476,0.5024
144.0,0.014,0.6513,0.6573,0.863,-0.8465,0.0894,0.2606,0.1476,0.5024
145.0,0.0133,0.6507,0.6573,0.863,-0.8451,0.0894,0.2606,0.1476,0.5024
146.0,0.0127,0.6507,0.66,0.8624,-0.8453,0.0894,0.2606,0.1476,0.5024
147.0,0.0121,0.6507,0.6566,0.8637,-0.8459,0.0894,0.2606,0.1476,0.5024
148.0,0.0115,0.6507,0.6585,0.8635,-0.8461,0.0893,0.2607,0.1476,0.5024
149.0,0.011,0.6497,0.6541,0.8629,-0.8464,0.0894,0.2606,0.1476,0.5024
150.0,0.0104,0.6497,0.6553,0.8636,-0.8472,0.0893,0.2607,0.1477,0.5023
151.0,0.0099,0.6487,0.6517,0.8642,-0.8467,0.0894,0.2606,0.1476,0.5024
152.0,0.0095,0.6487,0.6545,0.8657,-0.8473,0.0894,0.2606,0.1476,0.5024
153.0,0.009,0.6487,0.6535,0.866,-0.8468,0.0894,0.2606,0.1476,0.5024
154.0,0.0086,0.6474,0.6508,0.8657,-0.8463,0.0894,0.2606,0.1476,0.5024
155.0,0.0082,0.6459,0.649,0.8649,-0.8464,0.0894,0.2606,0.1476,0.5024
156.0,0.0078,0.6459,0.6493,0.8641,-0.846,0.0894,0.2606,0.1476,0.5024
157.0,0.0074,0.6459,0.6483,0.8637,-0.8461,0.0894,0.2606,0.1475,0.5025
158.0,0.0071,0.6441,0.647,0.8638,-0.8462,0.0894,0.2606,0.1476,0.5024
159.0,0.0067,0.6441,0.6483,0.864,-0.847,0.0894,0.2606,0.1476,0.5024
160.0,0.0064,0.6433,0.6468,0.8654,-0.8467,0.0894,0.2606,0.1476,0.5024
161.0,0.0061,0.6413,0.6438,0.8645,-0.847,0.0894,0.2606,0.1476,0.5024
162.0,0.0058,0.6408,0.6432,0.8645,-0.8465,0.0894,0.2606,0.1476,0.5024
163.0,0.0055,0.6406,0.6428,0.8642,-0.8462,0.0894,0.2606,0.1476,0.5024
164.0,0.0053,0.6406,0.6439,0.8643,-0.8459,0.0894,0.2606,0.1475,0.5025
165.0,0.005,0.6406,0.6441,0.8654,-0.8455,0.0895,0.2605,0.1475,0.5025
166.0,0.0048,0.6406,0.6426,0.8648,-0.8458,0.0895,0.2605,0.1475,0.5025
167.0,0.0046,0.6399,0.6418,0.8644,-0.8459,0.0895,0.2605,0.1475,0.5025
168.0,0.0043,0.6395,0.6416,0.864,-0.8457,0.0895,0.2605,0.1475,0.5025
