j,ar_cont,∆w_cont,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,NaN,NaN,0.0,0.02520833333333334,0.0016178587619133929,0.49367532467532454,15.584415584415584,0.5221756133897222
1,NaN,NaN,0.0,0.18590561224489796,8.542322708217121e-5,0.4841637953882851,13.662337662337663,0.42611445002107406
2,NaN,NaN,0.0,0.4351739130434783,4.939324462527096e-5,0.47037831733483915,13.051948051948052,0.5034358221232923
3,NaN,NaN,0.0,0.5106127886323268,6.154596066689126e-5,0.47057737999123433,13.415584415584416,0.48757609461239193
4,NaN,NaN,0.0,0.5192727272727272,5.933290139036089e-5,0.4540968122786305,14.272727272727273,0.4627322583268257
5,NaN,NaN,0.0,0.4693540892193309,6.201644083467303e-5,0.44546902911215175,14.077922077922079,0.5751458899732835
6,NaN,NaN,0.0,0.45285714285714285,5.9368108040303535e-5,0.48244897959183675,15.597402597402597,0.4752345017778367
7,NaN,NaN,0.0,0.4849658869395711,5.7338371803836293e-5,0.4911521227310701,16.649350649350648,0.5291978863823771
8,NaN,NaN,0.0,0.500425,5.853789112375627e-5,0.47688311688311685,16.272727272727273,0.5090621075612012
9,NaN,NaN,0.0,0.5030993852459016,6.0365034345445225e-5,0.4465350223546945,16.350649350649352,0.5195028841964122
10,NaN,NaN,0.0,0.494921052631579,5.606736620704994e-5,0.48626110731373895,16.233766233766232,0.4956962027091865
11,NaN,NaN,0.0,0.5034827213822894,5.837051613995484e-5,0.49813469467897115,16.77922077922078,0.536772990283926
12,NaN,NaN,0.0,0.48986111111111114,5.302145202406252e-5,0.5068398268398269,16.571428571428573,0.4832369323822857
13,NaN,NaN,0.0,0.49840182648401815,4.996072926012365e-5,0.4921425606357113,16.649350649350648,0.45314143006964464
14,NaN,NaN,0.0,0.48967647058823527,5.5179142301834e-5,0.47614973262032095,16.5974025974026,0.481148372749061
15,NaN,NaN,0.0,0.49164648910411624,4.767463614724109e-5,0.5167133109021728,17.103896103896105,0.5555609647850829
16,NaN,NaN,0.0,0.49290625000000005,5.059365610568589e-5,0.48512987012987,16.662337662337663,0.5038344600181134
