omega,S,S_edge,S_cont
-1.348651621731245,0,0,0
-1.3315338563744241,0.2867628115534813,0.2867628115534813,0.0
-1.2972974544541935,0.2867482175377699,0.2867482175377699,0.0
-1.2630597210453913,0.28674050772461895,0.28674050772461895,0.0
-1.228821232357085,0.28673556667648065,0.28673556667648065,0.0
-1.1945822320930095,0.2867319392169664,0.2867319392169664,0.0
-1.1603428514229095,0.28672919533371954,0.28672919533371954,0.0
-1.1261031778046002,0.2867270327863522,0.2867270327863522,0.0
-1.091863267869034,0.2867252374468638,0.2867252374468638,0.0
-1.057623160463857,0.28672372556972175,0.28672372556972175,0.0
-1.023382884822249,0.2867224198573484,0.2867224198573484,0.0
-0.9891424636066972,0.2867212875494212,0.2867212875494212,0.0
-0.9549019149720475,0.28672028590507237,0.28672028590507237,0.0
-0.9206612533506258,0.28671939531598506,0.28671939531598506,0.0
-0.8864204904000265,0.2867185889166052,0.2867185889166052,0.0
-0.8521796359711803,0.28671786331248367,0.28671786331248367,0.0
-0.8179386986951946,0.2867172014669956,0.2867172014669956,0.0
-0.7836976852729851,0.28671658808975753,0.28671658808975753,0.0
-0.7494566012381655,0.286716018920916,0.286716018920916,0.0
-0.715215452067296,0.2867154972636912,0.2867154972636912,0.0
-0.6809742423962964,0.2867150057358277,0.2867150057358277,0.0
-0.6467329760274054,0.28671454775726757,0.28671454775726757,0.0
-0.6124916566568752,0.28671411813253567,0.28671411813253567,0.0
-0.5782502873547641,0.2867137115698855,0.2867137115698855,0.0
-0.5440088706725432,0.286713324676041,0.286713324676041,0.0
-0.5097674089077435,0.28671295659129764,0.28671295659129764,0.0
-0.47552590435474645,0.28671260812231386,0.28671260812231386,0.0
-0.44128435898818863,0.2867122731075524,0.2867122731075524,0.0
-0.407042774646497,0.28671195542727745,0.28671195542727745,0.0
-0.37280115299446637,0.28671164829331386,0.28671164829331386,0.0
-0.33855949521958506,0.2867113505005036,0.2867113505005036,0.0
-0.30431780263902786,0.2867110654256462,0.2867110654256462,0.0
-0.2700760765450132,0.2867107892738897,0.2867107892738897,0.0
-0.23583431784932218,0.2867105194690514,0.2867105194690514,0.0
-0.2015925274633572,0.2867102585808847,0.2867102585808847,0.0
-0.16735070629592608,0.28671000399610463,0.28671000399610463,0.0
-0.1331088551272972,0.28670975617536837,0.28670975617536837,0.0
-0.0988669745913153,0.2867095122059241,0.2867095122059241,0.0
-0.06462506513555981,0.2867092718812446,0.2867092718812446,0.0
-0.030383127266330953,0.28670903639116313,0.28670903639116313,0.0
0.003858838570802315,0.28670880352879713,0.28670880352879713,0.0
0.03810083194804251,0.2867085752033878,0.2867085752033878,0.0
0.07234285243052567,0.2867083496239973,0.2867083496239973,0.0
0.10658489979661412,0.28670812501084747,0.28670812501084747,0.0
0.14082697396076058,0.28670790086473424,0.28670790086473424,0.0
0.17506907487062762,0.2867076771287254,0.2867076771287254,0.0
0.2093112024055358,0.2867074550041963,0.2867074550041963,0.0
0.243553356648675,0.2867072298757981,0.2867072298757981,0.0
0.27779553769340903,0.2867070061885062,0.2867070061885062,0.0
0.3120377457265109,0.28670677793315047,0.28670677793315047,0.0
0.34627998098664536,0.28670655024993386,0.28670655024993386,0.0
0.38052224351123964,0.2867063213685594,0.2867063213685594,0.0
0.41476453366727406,0.2867060875407168,0.2867060875407168,0.0
0.4490068520567643,0.28670584857890624,0.28670584857890624,0.0
0.48324919938654687,0.28670560291538905,0.28670560291538905,0.0
0.5174915763608141,0.28670535216223336,0.28670535216223336,0.0
0.5517339837606913,0.2867050934191482,0.2867050934191482,0.0
0.5859764225829163,0.2867048259759339,0.2867048259759339,0.0
0.6202188937201595,0.286704552285545,0.286704552285545,0.0
0.6544613984255891,0.28670426385839626,0.28670426385839626,0.0
0.6887039383353961,0.2867039627702836,0.2867039627702836,0.0
0.7229465151894214,0.28670364520991537,0.28670364520991537,0.0
0.757189131409957,0.2867033035608548,0.2867033035608548,0.0
0.7914317897145827,0.28670294049509404,0.28670294049509404,0.0
0.8256744933220395,0.2867025449488883,0.2867025449488883,0.0
0.8599172463996836,0.2867021121015678,0.2867021121015678,0.0
0.8941600538691534,0.28670163414378735,0.28670163414378735,0.0
0.9284029222209949,0.28670109261407367,0.28670109261407367,0.0
0.9626458601523884,0.28670046902473967,0.28670046902473967,0.0
0.9968888793386262,0.2866997319967411,0.2866997319967411,0.0
1.0311319970541042,0.2866988191554376,0.2866988191554376,0.0
1.0653752397390677,0.28669763940027804,0.28669763940027804,0.0
1.099618656578031,0.2866959029981403,0.2866959029981403,0.0
1.1338623193696953,0.28669352104610085,0.28669352104610085,0.0
1.1681063289178417,0.28669009683990454,0.28669009683990454,0.0
1.2023508651329662,0.2866847026705825,0.2866847026705825,0.0
1.2365962401233,0.28667605319643097,0.28667605319643097,0.0
1.270843153138406,0.2866589534870607,0.2866589534870607,0.0
1.3050939996026405,0.28661021366692707,0.28661021366692707,0.0
1.3596287951265968,0.13122191798282062,0.13122191798282062,0.0
1.3970367114007467,0,0,0
