i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
28.0,0.4815,0.496,0.173,0.4723,0.4767,0.2194,0.70116257,1.00967411,0.48691845,0.84139509,0.506,0.446,9.246e-5,0.00011095,0.4763,0.544,0.4917,0.16306801,5.35e-5,0.00013314
29.0,0.4752,0.4867,0.1721,0.4655,0.475,0.2146,0.70116257,1.00967411,0.48691845,0.84139509,0.532,0.552,7.705e-5,7.705e-5,0.4705,0.477,0.4645,0.16306801,5.35e-5,0.00013314
30.0,0.4684,0.4753,0.1697,0.4614,0.5405,0.215,0.70116257,1.00967411,0.48691845,0.70116257,0.491,0.473,7.705e-5,9.246e-5,0.5084,0.464,0.5252,0.13589,5.35e-5,0.00011095
31.0,0.4674,0.4715,0.1589,0.487,0.5129,0.21,0.70116257,1.00967411,0.40576538,0.70116257,0.454,0.496,9.246e-5,7.705e-5,0.497,0.478,0.4885,0.13589,5.35e-5,0.00011095
32.0,0.4667,0.5312,0.1576,0.4817,0.507,0.2015,0.70116257,0.84139509,0.40576538,0.70116257,0.481,0.555,7.705e-5,6.421e-5,0.4884,0.433,0.4627,0.13589,5.35e-5,0.00011095
33.0,0.4884,0.5158,0.149,0.4762,0.4996,0.1947,0.58430214,0.84139509,0.40576538,0.70116257,0.46,0.515,7.705e-5,6.421e-5,0.4784,0.478,0.5205,0.13589,4.459e-5,9.246e-5
34.0,0.4845,0.5026,0.1417,0.4629,0.4852,0.1897,0.58430214,0.84139509,0.40576538,0.70116257,0.46,0.51,7.705e-5,6.421e-5,0.4648,0.47,0.5113,0.13589,4.459e-5,9.246e-5
35.0,0.4801,0.4987,0.1462,0.4947,0.4756,0.1925,0.58430214,0.84139509,0.33813782,0.70116257,0.432,0.469,7.705e-5,6.421e-5,0.5029,0.475,0.464,0.11324167,3.716e-5,9.246e-5
36.0,0.476,0.4848,0.1394,0.4835,0.4539,0.1851,0.58430214,0.84139509,0.33813782,0.70116257,0.467,0.511,6.421e-5,6.421e-5,0.4955,0.545,0.5426,0.11324167,3.096e-5,7.705e-5
37.0,0.4683,0.4798,0.1431,0.4756,0.5151,0.1861,0.58430214,0.84139509,0.33813782,0.58430214,0.494,0.465,5.35e-5,6.421e-5,0.4857,0.508,0.4927,0.11324167,2.58e-5,7.705e-5
38.0,0.4628,0.4782,0.1394,0.4678,0.5121,0.1806,0.58430214,0.84139509,0.33813782,0.58430214,0.447,0.531,6.421e-5,4.459e-5,0.4715,0.487,0.47,0.11324167,3.096e-5,7.705e-5
39.0,0.457,0.5103,0.1345,0.4592,0.4964,0.1722,0.58430214,0.70116257,0.33813782,0.58430214,0.469,0.588,5.35e-5,3.716e-5,0.4672,0.541,0.5402,0.11324167,2.58e-5,6.421e-5
40.0,0.4877,0.5086,0.1263,0.4886,0.4772,0.1647,0.48691845,0.70116257,0.28178151,0.58430214,0.467,0.529,5.35e-5,4.459e-5,0.4912,0.481,0.5155,0.09436806,3.096e-5,6.421e-5
41.0,0.4776,0.498,0.1254,0.4798,0.4666,0.1633,0.48691845,0.70116257,0.28178151,0.58430214,0.495,0.495,4.459e-5,4.459e-5,0.4872,0.489,0.4843,0.09436806,2.58e-5,6.421e-5
42.0,0.4737,0.4908,0.1222,0.47,0.5219,0.1582,0.48691845,0.70116257,0.28178151,0.48691845,0.493,0.498,4.459e-5,3.716e-5,0.4765,0.492,0.5161,0.09436806,2.15e-5,5.35e-5
43.0,0.4696,0.478,0.1177,0.4627,0.5045,0.1575,0.48691845,0.70116257,0.28178151,0.48691845,0.481,0.564,4.459e-5,3.096e-5,0.4665,0.516,0.501,0.09436806,1.792e-5,5.35e-5
44.0,0.4612,0.5334,0.1183,0.4909,0.4913,0.1521,0.48691845,0.58430214,0.23481793,0.48691845,0.525,0.471,3.716e-5,4.459e-5,0.4586,0.529,0.5646,0.09436806,1.792e-5,4.459e-5
45.0,0.4837,0.5164,0.1189,0.4849,0.4936,0.15,0.40576538,0.58430214,0.23481793,0.48691845,0.502,0.479,3.096e-5,3.716e-5,0.4938,0.501,0.4437,0.07864005,1.792e-5,5.35e-5
46.0,0.4792,0.5,0.1143,0.4715,0.5393,0.1429,0.40576538,0.58430214,0.23481793,0.40576538,0.443,0.5,3.716e-5,3.716e-5,0.4812,0.51,0.5094,0.07864005,1.493e-5,4.459e-5
47.0,0.4759,0.4959,0.1121,0.4613,0.5218,0.1418,0.40576538,0.58430214,0.23481793,0.40576538,0.435,0.492,3.716e-5,3.096e-5,0.47,0.483,0.4596,0.07864005,1.493e-5,4.459e-5
48.0,0.47,0.4884,0.1045,0.4912,0.5148,0.1366,0.40576538,0.58430214,0.19568161,0.40576538,0.523,0.478,2.58e-5,3.096e-5,0.5048,0.494,0.5272,0.06553337,1.493e-5,3.716e-5
49.0,0.4641,0.4752,0.1016,0.4852,0.4932,0.1324,0.40576538,0.58430214,0.19568161,0.40576538,0.511,0.509,2.58e-5,2.58e-5,0.492,0.502,0.4952,0.06553337,1.244e-5,3.716e-5
50.0,0.4822,0.5124,0.105,0.4739,0.4837,0.1259,0.33813782,0.48691845,0.19568161,0.40576538,0.455,0.569,2.58e-5,2.15e-5,0.4869,0.484,0.4568,0.06553337,1.244e-5,3.716e-5
51.0,0.4771,0.5066,0.0971,0.464,0.4702,0.128,0.33813782,0.48691845,0.19568161,0.40576538,0.462,0.529,2.58e-5,2.15e-5,0.4746,0.527,0.5122,0.06553337,1.037e-5,3.096e-5
52.0,0.4726,0.501,0.0944,0.4921,0.5092,0.1231,0.33813782,0.48691845,0.16306801,0.33813782,0.481,0.482,2.15e-5,2.15e-5,0.5085,0.496,0.4854,0.05461114,8.64e-6,3.096e-5
53.0,0.4675,0.4922,0.0914,0.4846,0.5035,0.1174,0.33813782,0.48691845,0.16306801,0.33813782,0.508,0.554,1.792e-5,1.792e-5,0.4983,0.495,0.5271,0.05461114,7.2e-6,2.58e-5
54.0,0.4613,0.4749,0.0896,0.4754,0.4866,0.1149,0.33813782,0.48691845,0.16306801,0.33813782,0.54,0.539,1.493e-5,1.493e-5,0.4859,0.455,0.4985,0.05461114,2.89e-6,2.58e-5
55.0,0.4837,0.5118,0.0874,0.4644,0.4727,0.1129,0.28178151,0.40576538,0.16306801,0.33813782,0.443,0.493,2.15e-5,1.792e-5,0.4768,0.43,0.5359,0.05461114,1.16e-6,2.15e-5
56.0,0.4754,0.5047,0.083,0.4964,0.5261,0.1055,0.28178151,0.40576538,0.13589,0.28178151,0.514,0.518,1.493e-5,1.493e-5,0.4687,0.419,0.5017,0.05461114,4.7e-7,2.15e-5
57.0,0.4702,0.4965,0.0811,0.485,0.5086,0.1,0.28178151,0.40576538,0.13589,0.28178151,0.479,0.546,1.493e-5,1.244e-5,0.4953,0.427,0.5188,0.04550929,8.0e-8,1.792e-5
58.0,0.4642,0.4849,0.0803,0.4771,0.4986,0.0953,0.28178151,0.40576538,0.13589,0.28178151,0.479,0.52,1.244e-5,1.244e-5,0.4856,0.377,0.4946,0.04550929,1.0e-8,1.792e-5
59.0,0.4575,0.481,0.0808,0.4669,0.4821,0.0941,0.28178151,0.40576538,0.13589,0.28178151,0.542,0.521,1.037e-5,1.037e-5,0.4746,0.331,0.5105,0.04550929,0.0,1.493e-5
60.0,0.4771,0.4678,0.0779,0.4944,0.465,0.0921,0.23481793,0.40576538,0.11324167,0.28178151,0.419,0.495,1.493e-5,8.64e-6,0.4666,0.334,0.4764,0.04550929,0.0,1.493e-5
61.0,0.4748,0.5007,0.0783,0.4815,0.5182,0.0909,0.23481793,0.33813782,0.11324167,0.23481793,0.493,0.489,1.037e-5,1.037e-5,0.4974,0.31,0.5242,0.03792441,0.0,1.244e-5
62.0,0.4645,0.4933,0.0738,0.4753,0.5052,0.0917,0.23481793,0.33813782,0.11324167,0.23481793,0.486,0.485,1.037e-5,5.0e-6,0.486,0.303,0.5871,0.03792441,0.0,1.037e-5
63.0,0.4569,0.4799,0.0729,0.4652,0.486,0.085,0.23481793,0.33813782,0.11324167,0.23481793,0.464,0.436,4.17e-6,2.41e-6,0.4789,0.271,0.509,0.03792441,0.0,1.037e-5
64.0,0.4792,0.4725,0.069,0.4943,0.4709,0.0825,0.19568161,0.33813782,0.09436806,0.23481793,0.425,0.436,1.67e-6,5.6e-7,0.4705,0.208,0.4075,0.03792441,0.0,1.037e-5
65.0,0.4727,0.5119,0.0669,0.4847,0.463,0.081,0.19568161,0.28178151,0.09436806,0.23481793,0.42,0.424,4.7e-7,1.3e-7,0.5023,0.248,0.4445,0.03160367,0.0,2.41e-6
66.0,0.467,0.4983,0.0639,0.4765,0.5029,0.078,0.19568161,0.28178151,0.09436806,0.19568161,0.415,0.4,8.0e-8,4.0e-8,0.4897,0.194,0.3936,0.03160367,0.0,6.7e-7
67.0,0.4621,0.4934,0.0647,0.4653,0.482,0.0724,0.19568161,0.28178151,0.09436806,0.19568161,0.362,0.375,2.0e-8,1.0e-8,0.4768,0.19,0.3799,0.03160367,0.0,1.3e-7
