i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
70.0,0.0139,0.8218,0.832,0.999,-0.9989,0.35,0.35,0.15,0.15
71.0,0.0127,0.8169,0.8256,0.999,-0.9988,0.35,0.35,0.15,0.15
72.0,0.0115,0.816,0.8215,0.9991,-0.9988,0.35,0.35,0.15,0.15
73.0,0.0105,0.8115,0.8175,0.9991,-0.9988,0.35,0.35,0.15,0.15
74.0,0.0095,0.8115,0.8174,0.9989,-0.999,0.35,0.35,0.15,0.15
75.0,0.0086,0.8115,0.8191,0.999,-0.9989,0.35,0.35,0.15,0.15
76.0,0.0079,0.8115,0.8207,0.9988,-0.9989,0.35,0.35,0.15,0.15
77.0,0.0071,0.8112,0.8159,0.9988,-0.9988,0.35,0.35,0.15,0.15
78.0,0.0065,0.8093,0.8151,0.9988,-0.9989,0.35,0.35,0.15,0.15
79.0,0.0059,0.8093,0.8136,0.9988,-0.9988,0.35,0.35,0.15,0.15
80.0,0.0054,0.8061,0.8086,0.9988,-0.9987,0.35,0.35,0.15,0.15
81.0,0.0049,0.8057,0.8092,0.9988,-0.9987,0.35,0.35,0.15,0.15
82.0,0.0044,0.8034,0.8065,0.9989,-0.9987,0.35,0.35,0.15,0.15
83.0,0.004,0.8032,0.8062,0.9989,-0.9986,0.35,0.35,0.15,0.15
84.0,0.0037,0.8032,0.8073,0.999,-0.9986,0.35,0.35,0.15,0.15
85.0,0.0033,0.8029,0.8046,0.999,-0.9986,0.35,0.35,0.15,0.15
86.0,0.003,0.8025,0.8043,0.999,-0.9987,0.35,0.35,0.15,0.15
87.0,0.0028,0.8009,0.8025,0.999,-0.9986,0.35,0.35,0.15,0.15
88.0,0.0025,0.8009,0.8026,0.999,-0.9986,0.35,0.35,0.15,0.15
89.0,0.0023,0.8009,0.8027,0.999,-0.9986,0.35,0.35,0.15,0.15
90.0,0.0021,0.7997,0.8006,0.999,-0.9986,0.35,0.35,0.15,0.15
