i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,15.0,3.96150266,14.45201634,1.00107,-0.49968,0.21441114,0.48558886,0.09587276,0.20412724
2.0,14.5631068,3.96150266,14.53442572,1.00152,-0.49998,0.21441856,0.48558144,0.09587217,0.20412783
3.0,14.13893864,3.96150266,14.74896488,1.00106,-0.49986,0.21440882,0.48559118,0.09587313,0.20412687
4.0,13.72712489,3.75198692,14.51738898,1.00059,-0.49949,0.21440911,0.48559089,0.09587401,0.20412599
5.0,13.32730572,3.02374392,13.06833376,1.0007,-0.50012,0.21441371,0.48558629,0.09587423,0.20412577
6.0,12.93913177,3.02374392,12.93423259,1.00115,-0.4999,0.21441377,0.48558623,0.09587284,0.20412716
7.0,12.56226385,3.02374392,12.35689531,1.00113,-0.49957,0.2144092,0.4855908,0.09587365,0.20412635
8.0,12.19637267,3.02374392,11.80074518,1.00087,-0.49946,0.21440724,0.48559276,0.09587405,0.20412595
9.0,11.84113851,3.02374392,11.44686156,1.00095,-0.49984,0.21440995,0.48559005,0.09587541,0.20412459
10.0,11.49625099,2.9703558,11.55055611,1.00104,-0.49975,0.21441329,0.48558671,0.09587603,0.20412397
11.0,11.16140872,2.93084501,10.70748451,1.00131,-0.49992,0.21441206,0.48558794,0.09587538,0.20412462
12.0,10.83631915,2.93084501,10.7313541,1.00088,-0.49962,0.2144117,0.4855883,0.09587618,0.20412382
13.0,10.5206982,2.93084501,10.02020364,1.0012,-0.49959,0.21441206,0.48558794,0.09587587,0.20412413
14.0,10.2142701,2.93084501,9.82431511,1.00097,-0.49951,0.21441178,0.48558822,0.09587558,0.20412442
15.0,9.91676709,2.93084501,9.34088448,1.00121,-0.4998,0.21441591,0.48558409,0.09587619,0.20412381
16.0,9.62792921,2.93084501,9.6216366,1.00044,-0.4997,0.21440815,0.48559185,0.09587681,0.20412319
17.0,9.34750409,2.93084501,8.15874566,1.00077,-0.49964,0.21440663,0.48559337,0.0958768,0.2041232
18.0,9.07524669,2.93084501,9.04337297,1.00051,-0.49988,0.2144095,0.4855905,0.09587746,0.20412254
19.0,8.81091911,2.93084501,8.27922277,1.00088,-0.49965,0.21440784,0.48559216,0.09587697,0.20412303
20.0,8.5542904,2.93084501,8.44860009,1.00035,-0.49979,0.2144086,0.4855914,0.09587676,0.20412324
21.0,8.30513631,2.46701339,7.48744984,1.00089,-0.49966,0.21441035,0.48558965,0.09587673,0.20412327
22.0,8.06323914,2.46701339,7.58992743,1.0005,-0.49992,0.21440935,0.48559065,0.09587762,0.20412238
23.0,7.82838751,2.46701339,7.27964207,1.00096,-0.49987,0.2144129,0.4855871,0.09587698,0.20412302
24.0,7.60037623,2.12673749,6.68474044,1.00104,-0.49979,0.21440843,0.48559157,0.09587746,0.20412254
25.0,7.37900605,2.12673749,6.59162005,1.00143,-0.49976,0.21441,0.48559,0.09587694,0.20412306
26.0,7.16408354,2.12673749,6.97118358,1.00064,-0.49976,0.21440839,0.48559161,0.09587742,0.20412258
27.0,6.95542091,2.04471197,6.74512645,1.00035,-0.49977,0.21440952,0.48559048,0.0958777,0.2041223
28.0,6.75283584,2.04471197,6.16466101,1.00065,-0.4998,0.2144115,0.4855885,0.09587805,0.20412195
29.0,6.5561513,2.04471197,6.18767037,1.00094,-0.49974,0.21440732,0.48559268,0.09587733,0.20412267
30.0,6.36519543,1.93653274,5.71659664,1.00172,-0.49987,0.21441251,0.48558749,0.09587673,0.20412327
31.0,6.17980139,1.93653274,5.59423369,1.00117,-0.49988,0.21441326,0.48558674,0.09587585,0.20412415
32.0,5.99980718,1.87561482,5.42151602,1.00014,-0.49962,0.21441071,0.48558929,0.09587465,0.20412535
33.0,5.82505551,1.83266262,5.44064673,1.00039,-0.49959,0.21441453,0.48558547,0.09587426,0.20412574
34.0,5.6553937,1.44721958,5.25564035,1.00091,-0.49963,0.21440846,0.48559154,0.09587433,0.20412567
35.0,5.4906735,1.44721958,5.01193636,1.00043,-0.49968,0.21441753,0.48558247,0.09587457,0.20412543
36.0,5.33075097,1.44721958,4.77298794,1.0013,-0.49958,0.21441107,0.48558893,0.09587445,0.20412555
37.0,5.17548638,1.44721958,4.69466188,1.00107,-0.4999,0.21441437,0.48558563,0.09587391,0.20412609
38.0,5.02474405,1.44721958,4.74645343,1.0008,-0.49985,0.2144131,0.4855869,0.09587409,0.20412591
39.0,4.87839229,1.44721958,4.56068255,1.00115,-0.49968,0.21441425,0.48558575,0.09587405,0.20412595
40.0,4.73630319,1.44721958,4.30744953,1.00029,-0.49984,0.21441596,0.48558404,0.0958738,0.2041262
41.0,4.59835261,1.44721958,4.18354747,1.00116,-0.49963,0.21441297,0.48558703,0.09587406,0.20412594
42.0,4.46442001,1.44721958,3.65653159,1.00095,-0.49967,0.21441214,0.48558786,0.09587335,0.20412665
43.0,4.33438836,1.44721958,3.9979864,1.00133,-0.49962,0.21441554,0.48558446,0.0958737,0.2041263
44.0,4.20814404,1.30163902,3.54339594,1.00128,-0.49983,0.2144144,0.4855856,0.09587371,0.20412629
