a,theta
0.8914348226237309,15.0
0.7901759222031279,13.636363636363635
0.7137528442437774,12.396694214876032
0.6515901777139166,11.269722013523664
0.590028824634933,10.245201830476057
0.5363506471199585,9.313819845887325
0.4881508188978553,8.467108950806658
0.4437757892636212,7.697371773460596
0.40393797626687217,6.997610703145996
0.3696861757100974,6.361464275587268
0.3396476342673448,5.783149341442971
0.31239264961430296,5.257408492220883
0.2888549908015515,4.779462265655347
0.26769961901440187,4.344965696050315
0.24860422080789724,3.9499688145911955
0.22773945290772976,3.5908807405374503
0.2121954021330138,3.2644370368522275
0.19853370336541495,2.9676700335020243
0.18713488675678167,2.697881848638204
0.17566927463829468,2.452619862398367
0.16656080733182313,2.229654420362152
0.15697842534273446,2.0269585639655925
0.14886364759886622,1.8426896036050837
0.14119302492779626,1.6751723669137124
0.1339257999630527,1.5228839699215566
0.1273682214912616,1.3844399726559604
0.12083387057560387,1.2585817933236003
0.11564560476867303,1.1441652666578184
0.11086463652383945,1.0401502424161984
0.10655116514157092,0.9455911294692713
0.1015859921375321,0.8596282995175193
0.09748193204591851,0.7814802722886538
0.09241624648846877,0.7104366111715034
0.08744175679969643,0.6458514647013667
0.08292282814495502,0.5871376951830605
0.078646003502148,0.5337615410755095
0.07512062018637375,0.4852377646140995
0.07125980002745846,0.4411252405582723
0.06784653186912397,0.40102294596206567
0.06447229328215406,0.36456631451096877
0.06099341707212894,0.33142392228269885
0.057744565987413836,0.30129447480245347
0.05379002733335632,0.27390406800223044
0.0512462498692145,0.2490036981838458
0.049055392598879026,0.2263669983489507
0.0469328102202,0.2057881803172279
0.044804749785925406,0.18708016392475263
0.042546555381624024,0.17007287629522966
0.040380378424102276,0.154611705722936
0.03834171385022795,0.14055609611176
0.03622070706663195,0.1277782691925091
0.03425652740283494,0.11616206290228098
0.032441759260548035,0.10560187536570997
0.03109537271124585,0.09600170487791816
0.02994970167950405,0.08727427716174377
0.028805473218584923,0.07934025196522161
0.02760063702964424,0.07212750178656509
0.026319295897688704,0.06557045616960462
0.025172010564604816,0.05960950560873147
0.02387698035956662,0.054190459644301324
0.022687435869321322,0.04926405422209212
0.021520035666714635,0.04478550383826556
0.020446764677355046,0.040714094398423224
0.019498736804451168,0.037012813089475655
0.018949295365749668,0.03364801189952332
0.018541380094730855,0.03058910172683938
0.018204321906296436,0.02780827429712671
0.01787894102831546,0.025280249361024278
0.017586923921996955,0.022982044873658434
0.01726381755109664,0.020892768066962213
0.01693146522889617,0.01899342551542019
0.01659453514915895,0.017266750468563807
0.016206371735858534,0.01569704588051255
0.015804649314262727,0.014270041709556864
0.015384705670365342,0.012972765190506238
0.014941198499195035,0.011793422900460216
0.014566948004601206,0.010721293545872923
0.014371842725676657,0.00974663049624811
0.014145135088594687,0.008860573178407372
0.01392557145733653,0.008055066525824883
0.013685888588292243,0.007322787750749893
0.013434704953525252,0.006657079773408993
0.013150462626201363,0.006051890703099085
0.012864493882154972,0.005501718820999168
0.012561331096206043,0.005001562564544698
0.01223179020247412,0.004546875058676997
0.011891565590695506,0.004133522780615451
0.0116087005534887,0.003757747982377683
0.011315031311194672,0.0034161345294342568
0.011017867620399417,0.0031055768449402333
0.01070780402231254,0.002823251677218394
0.010381905804114801,0.0025665924338349033
0.010045520206611046,0.0023332658489408206
0.009701331806335166,0.0021211507717643825
0.009343631627710807,0.0019283188834221658
0.008961696618050942,0.001753017166747423
0.008583851772469469,0.0015936519697703846
0.00818939270859765,0.0014487745179730769
0.00784492050296267,0.0013170677436118879
0.007549375056095198,0.0011973343123744436
0.0072496295797792685,0.0010884857385222214
0.006953674894543477,0.0009895324895656556
0.006652011689814513,0.0008995749905142323
0.006349855327412418,0.0008177954459220293
0.006051793000728139,0.0007434504053836629
0.005750718852761934,0.000675864004894239
0.0054364585292958475,0.0006144218226311263
0.00523520429642041,0.0005585652933010238
0.005119975965881332,0.000507786630273658
0.005006274845067645,0.000461624209339689
0.004891261491868465,0.00041965837212699003
0.004777737199570605,0.00038150761102453637
0.004656162775660603,0.00034682510093139664
0.004537197218476886,0.0003152955463012697
0.004421645099286743,0.00028663231481933606
0.004300498552344281,0.0002605748316539418
0.004179492195235654,0.00023688621059449254
0.004056755863955736,0.00021535110054044776
0.003931657153569463,0.00019577372776404342
0.0038071529628089075,0.00017797611614913034
0.0036880824862238126,0.0001617964692264821
0.0035673160491373475,0.00014708769929680193
0.0034421030341714046,0.00013371609026981992
0.003318624939345442,0.00012156008206347263
0.0031955342415711484,0.00011050916551224785
0.003075626021268926,0.00010046287773840712
0.0029530559880510065,9.132988885309737e-5
0.0028317438221037226,8.302717168463397e-5
0.0027046767783419847,7.547924698603088e-5
0.0025864748665616892,6.861749726002806e-5
0.0024616028801909516,6.237954296366187e-5
0.0023375946038729604,5.670867542151079e-5
0.002216163977921493,5.155334129228253e-5
0.0020948565755096273,4.686667390207503e-5
0.001967930826316534,4.260606718370456e-5
0.0018461763813084568,3.873278834882233e-5
0.00171949919744755,3.521162577165666e-5
0.0015925242115415613,3.201056888332423e-5
0.001464123357592406,2.910051716665839e-5
0.0013370000939775533,2.645501560605308e-5
0.0012096177852525944,2.405001418732098e-5
0.001081063312353798,2.186364926120089e-5
0.0009508775008724092,1.9876044782909898e-5
0.0008233482117418491,1.806913162082718e-5
0.0006951726628827859,1.642648329166107e-5
0.0005596184888778,1.4933166628782789e-5
0.0004290127869520828,1.3575606026166171e-5
0.00029196593378589685,1.2341460023787429e-5
0.00016299276639421734,1.1219509112534024e-5
3.425474535409987e-5,1.0199553738667294e-5
