omega,S,S_edge,S_cont
-1.8497122909966448,0,0,0
-1.84971204911322,1623.505545904101,1623.505545904101,0.0
-1.8497113412362096,842.7134920320872,842.7134920320872,0.0
-1.8497101835516652,567.7377687463666,567.7377687463666,0.0
-1.8497085751033424,428.3566156159523,428.3566156159523,0.0
-1.849706516679393,343.97002299169276,343.97002299169276,0.0
-1.8497040052956755,286.7008614943866,286.7008614943866,0.0
-1.8497010394679783,246.03501172676482,246.03501172676482,0.0
-1.8496976212533305,215.51956635897614,215.51956635897614,0.0
-1.849693752690401,191.89200030321092,191.89200030321092,0.0
-1.8496894337589889,172.8069626646162,172.8069626646162,0.0
-1.8496846613080313,157.08099032198297,157.08099032198297,0.0
-1.8496794336289408,143.96707161503915,143.96707161503915,0.0
-1.849673751140499,132.9026365738438,132.9026365738438,0.0
-1.8496676117740574,123.31272641384322,123.31272641384322,0.0
-1.8496610118447947,114.9806071909196,114.9806071909196,0.0
-1.8496539518354034,107.74645868231913,107.74645868231913,0.0
-1.8496464305196108,101.29838290486718,101.29838290486718,0.0
-1.849638444821695,95.5695225385846,95.5695225385846,0.0
-1.8496299941397683,90.44945996752745,90.44945996752745,0.0
-1.8496210760025964,85.8078025058261,85.8078025058261,0.0
-1.8496116883770193,81.62305573945623,81.62305573945623,0.0
-1.8496018280878512,77.77513454139088,77.77513454139088,0.0
-1.849591494370444,74.31068215320228,74.31068215320228,0.0
-1.849580686819854,71.10258584809863,71.10258584809863,0.0
-1.8495694026902556,68.16347310185338,68.16347310185338,0.0
-1.8495576401972895,65.43505495939633,65.43505495939633,0.0
-1.8495453945583713,62.88938345461302,62.88938345461302,0.0
-1.8495326630369284,60.534087017143506,60.534087017143506,0.0
-1.8495194436106894,58.331573325140745,58.331573325140745,0.0
-1.8495057329135396,56.2726276187013,56.2726276187013,0.0
-1.8494915277995516,54.34074842550053,54.34074842550053,0.0
-1.849476825009559,52.52666178266977,52.52666178266977,0.0
-1.8494616218346067,50.82174605870966,50.82174605870966,0.0
-1.8494459172031361,49.22495484249652,49.22495484249652,0.0
-1.849429706336271,47.696874818369025,47.696874818369025,0.0
-1.8494129842871971,46.260713902136715,46.260713902136715,0.0
-1.8493957487377533,44.896699547245895,44.896699547245895,0.0
-1.849377994039418,43.59460940973914,43.59460940973914,0.0
-1.8493597150217789,42.35758899767716,42.35758899767716,0.0
-1.849340906012038,41.17220615445142,41.17220615445142,0.0
-1.849321561787915,40.0457602271777,40.0457602271777,0.0
-1.8493016779023614,38.967416094875375,38.967416094875375,0.0
-1.849281248166496,37.93421070179776,37.93421070179776,0.0
-1.849260268654343,36.95155568963899,36.95155568963899,0.0
-1.8492387361349916,36.01053640779675,36.01053640779675,0.0
-1.8492166447156957,35.10534947429158,35.10534947429158,0.0
-1.8491939876172256,34.23468652548361,34.23468652548361,0.0
-1.8491707620253424,33.40756084614382,33.40756084614382,0.0
-1.8491469615753415,32.60089492097061,32.60089492097061,0.0
-1.8491225785655003,31.8300832511992,31.8300832511992,0.0
-1.8490976061963806,31.0802284726653,31.0802284726653,0.0
-1.8490720357774124,30.358465267686206,30.358465267686206,0.0
-1.8490458598094355,29.65879319326584,29.65879319326584,0.0
-1.8490190694154731,28.981840849348764,28.981840849348764,0.0
-1.8489916555198467,28.3249629591409,28.3249629591409,0.0
-1.848963610614987,27.6922270268685,27.6922270268685,0.0
-1.8489349273869733,27.07823852252759,27.07823852252759,0.0
-1.8489055936382168,26.477613842436252,26.477613842436252,0.0
-1.8488755983999656,25.89701214726369,25.89701214726369,0.0
-1.848844932902714,25.33277494222248,25.33277494222248,0.0
-1.8488135893492632,24.78858488143186,24.78858488143186,0.0
-1.848781558968855,24.257981821891644,24.257981821891644,0.0
-1.8487488275271082,23.738090698883124,23.738090698883124,0.0
-1.8487153819177564,23.233036038474634,23.233036038474634,0.0
-1.848681211471967,22.741657847001985,22.741657847001985,0.0
