i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
100.0,0.4728,0.5131,0.07,0.4653,0.4651,0.0266,0.71689289,1.03232577,0.13893865,0.20007165,0.4966,0.4862,0.00033872,9.453e-5,0.4634,0.46,0.4883,0.06700359,9.453e-5,0.00019602
101.0,0.475,0.5193,0.0702,0.4672,0.4641,0.0257,0.71689289,1.03232577,0.13893865,0.20007165,0.4862,0.4844,0.00033872,9.453e-5,0.4892,0.5314,0.4934,0.05583633,7.878e-5,0.00019602
102.0,0.4705,0.5064,0.0723,0.4651,0.4604,0.0248,0.71689289,1.03232577,0.13893865,0.20007165,0.5068,0.5384,0.00033872,7.878e-5,0.483,0.4458,0.4785,0.05583633,9.453e-5,0.00019602
103.0,0.46,0.4942,0.0663,0.463,0.5037,0.0239,0.71689289,1.03232577,0.13893865,0.16672637,0.4814,0.4612,0.00033872,9.453e-5,0.4801,0.5,0.4671,0.05583633,7.878e-5,0.00019602
104.0,0.4505,0.4762,0.0615,0.463,0.4982,0.0238,0.71689289,1.03232577,0.13893865,0.16672637,0.5536,0.5118,0.00028227,7.878e-5,0.4801,0.503,0.5498,0.05583633,7.878e-5,0.00016335
105.0,0.4567,0.4829,0.068,0.4622,0.4938,0.0227,0.71689289,1.03232577,0.13893865,0.16672637,0.5286,0.5038,0.00028227,7.878e-5,0.4756,0.4982,0.5368,0.05583633,7.878e-5,0.00016335
106.0,0.4832,0.4776,0.0633,0.4578,0.4892,0.0214,0.59741074,1.03232577,0.13893865,0.16672637,0.5252,0.4974,0.00028227,7.878e-5,0.4676,0.4976,0.522,0.05583633,7.878e-5,0.00016335
107.0,0.4742,0.4556,0.059,0.475,0.4826,0.0216,0.59741074,1.03232577,0.1157822,0.16672637,0.5118,0.4922,0.00028227,7.878e-5,0.4697,0.4808,0.5161,0.05583633,7.878e-5,0.00016335
108.0,0.4767,0.4626,0.0609,0.4711,0.4835,0.0217,0.59741074,1.03232577,0.1157822,0.16672637,0.4984,0.4832,0.00028227,7.878e-5,0.4623,0.5316,0.4965,0.05583633,6.565e-5,0.00016335
109.0,0.4707,0.5097,0.0596,0.4672,0.4636,0.0208,0.59741074,0.86027147,0.1157822,0.16672637,0.494,0.5386,0.00028227,6.565e-5,0.4831,0.4508,0.4809,0.04653027,7.878e-5,0.00016335
110.0,0.4735,0.5107,0.0616,0.4612,0.5008,0.0205,0.59741074,0.86027147,0.1157822,0.13893865,0.4886,0.5262,0.00028227,6.565e-5,0.4808,0.5258,0.476,0.04653027,6.565e-5,0.00016335
111.0,0.4713,0.5096,0.0613,0.4597,0.4971,0.0205,0.59741074,0.86027147,0.1157822,0.13893865,0.4724,0.5104,0.00028227,6.565e-5,0.4803,0.4954,0.4545,0.04653027,6.565e-5,0.00016335
112.0,0.46,0.4873,0.0538,0.4613,0.4966,0.0202,0.59741074,0.86027147,0.1157822,0.13893865,0.4616,0.4508,0.00028227,7.878e-5,0.4772,0.489,0.5398,0.04653027,6.565e-5,0.00013612
113.0,0.4865,0.4852,0.0543,0.4572,0.4913,0.0193,0.49784229,0.86027147,0.1157822,0.13893865,0.4634,0.4438,0.00028227,7.878e-5,0.4739,0.4762,0.5245,0.04653027,6.565e-5,0.00013612
114.0,0.4766,0.4711,0.0532,0.4554,0.4861,0.0201,0.49784229,0.86027147,0.1157822,0.13893865,0.497,0.483,0.00023522,6.565e-5,0.4679,0.471,0.5048,0.04653027,6.565e-5,0.00013612
115.0,0.4777,0.4752,0.0565,0.4563,0.4822,0.0209,0.49784229,0.86027147,0.1157822,0.13893865,0.5096,0.483,0.00023522,6.565e-5,0.4687,0.462,0.4884,0.04653027,6.565e-5,0.00013612
116.0,0.4786,0.4738,0.0554,0.4518,0.4835,0.0194,0.49784229,0.86027147,0.1157822,0.13893865,0.4926,0.5126,0.00023522,5.471e-5,0.4634,0.4966,0.469,0.04653027,5.471e-5,0.00013612
117.0,0.4714,0.5157,0.052,0.4669,0.465,0.0193,0.49784229,0.71689289,0.09648517,0.13893865,0.497,0.5042,0.00023522,5.471e-5,0.459,0.5202,0.4721,0.04653027,5.471e-5,0.00013612
118.0,0.4681,0.5112,0.0534,0.466,0.4692,0.0196,0.49784229,0.71689289,0.09648517,0.13893865,0.4694,0.509,0.00023522,5.471e-5,0.4556,0.485,0.4468,0.04653027,5.471e-5,0.00013612
