i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
68.0,0.5707,1.1292,1.5501,0.8316,-0.8288,0.0554,0.1946,0.1816,0.5684
69.0,0.5435,1.1292,1.7156,0.8299,-0.8294,0.0552,0.1948,0.1818,0.5682
70.0,0.5176,1.1292,1.5475,0.8316,-0.8294,0.0552,0.1948,0.1818,0.5682
71.0,0.493,1.1292,1.3714,0.828,-0.8315,0.0551,0.1949,0.182,0.568
72.0,0.4695,1.0931,1.4148,0.8329,-0.8342,0.055,0.195,0.1821,0.5679
73.0,0.4472,1.0931,1.4302,0.8375,-0.8308,0.0552,0.1948,0.1818,0.5682
74.0,0.4259,1.0931,1.3648,0.8396,-0.8267,0.0557,0.1943,0.1814,0.5686
75.0,0.4056,1.0931,1.3716,0.8395,-0.8233,0.0559,0.1941,0.1811,0.5689
76.0,0.3863,1.0652,1.3988,0.837,-0.8263,0.0559,0.1941,0.1811,0.5689
77.0,0.3679,1.0652,1.3395,0.835,-0.8255,0.056,0.194,0.181,0.569
78.0,0.3504,1.0652,1.2842,0.8397,-0.8285,0.0558,0.1942,0.1813,0.5687
79.0,0.3337,0.9897,1.2006,0.8348,-0.8333,0.0557,0.1943,0.1814,0.5686
80.0,0.3178,0.9336,1.1569,0.8329,-0.8319,0.0559,0.1941,0.1811,0.5689
81.0,0.3027,0.9336,1.1733,0.8345,-0.8306,0.0561,0.1939,0.1809,0.5691
82.0,0.2882,0.9336,1.1299,0.8377,-0.8318,0.0562,0.1938,0.1809,0.5691
83.0,0.2745,0.9336,1.0912,0.8401,-0.8317,0.0562,0.1938,0.1808,0.5692
84.0,0.2614,0.8987,1.0158,0.8387,-0.8345,0.0562,0.1938,0.1809,0.5691
85.0,0.249,0.8763,1.01,0.8389,-0.8347,0.056,0.194,0.181,0.569
86.0,0.2371,0.8264,0.9699,0.8479,-0.8327,0.056,0.194,0.181,0.569
87.0,0.2258,0.8264,0.9596,0.8402,-0.8353,0.056,0.194,0.1811,0.5689
88.0,0.2151,0.8264,1.0297,0.8429,-0.8309,0.0561,0.1939,0.1809,0.5691
89.0,0.2048,0.8264,0.9928,0.8401,-0.8313,0.0562,0.1938,0.1809,0.5691
90.0,0.1951,0.8264,0.9701,0.8397,-0.8322,0.0561,0.1939,0.1809,0.5691
91.0,0.1858,0.8264,0.9762,0.8403,-0.8326,0.0562,0.1938,0.1809,0.5691
92.0,0.177,0.823,0.9043,0.8365,-0.8382,0.056,0.194,0.1811,0.5689
93.0,0.1685,0.8089,0.8874,0.8396,-0.836,0.0561,0.1939,0.181,0.569
