i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,10.0,13.0965,24.1119,0.8657,-0.7526,0.5312,0.0288,0.2318,0.2082
2.0,9.0909,11.3683,21.641,0.8692,-0.7374,0.5326,0.0274,0.2305,0.2095
3.0,8.2645,9.926,18.5883,0.8665,-0.738,0.5318,0.0282,0.2311,0.2089
4.0,7.5131,8.5605,16.97,0.867,-0.7439,0.5327,0.0273,0.2304,0.2096
5.0,6.8301,7.7447,14.6371,0.8682,-0.7451,0.5332,0.0268,0.2299,0.2101
6.0,6.2092,7.4449,13.7464,0.8698,-0.7475,0.5336,0.0264,0.2295,0.2105
7.0,5.6447,5.6984,11.7579,0.8674,-0.7504,0.532,0.028,0.231,0.209
8.0,5.1316,5.6984,10.7918,0.867,-0.7645,0.5326,0.0274,0.2305,0.2095
9.0,4.6651,5.1588,9.6419,0.8678,-0.7586,0.5321,0.0279,0.2309,0.2091
10.0,4.241,4.5063,8.6649,0.8694,-0.7655,0.532,0.028,0.2311,0.2089
11.0,3.8554,4.4357,7.9313,0.8665,-0.7647,0.5314,0.0286,0.2316,0.2084
12.0,3.5049,3.8364,7.4633,0.8691,-0.7609,0.5327,0.0273,0.2304,0.2096
13.0,3.1863,3.4831,6.4248,0.8678,-0.7656,0.5328,0.0272,0.2303,0.2097
14.0,2.8966,3.4831,6.255,0.8677,-0.7571,0.5337,0.0263,0.2293,0.2107
15.0,2.6333,3.1208,5.7394,0.8674,-0.7546,0.534,0.026,0.2291,0.2109
16.0,2.3939,3.1087,5.4022,0.8671,-0.7681,0.5364,0.0236,0.2268,0.2132
17.0,2.1763,3.0096,4.9511,0.8688,-0.7614,0.5366,0.0234,0.2264,0.2136
18.0,1.9784,2.8128,4.5996,0.8693,-0.7599,0.5366,0.0234,0.2265,0.2135
19.0,1.7986,2.4369,4.2308,0.8682,-0.763,0.5375,0.0225,0.2255,0.2145
20.0,1.6351,2.4369,3.8706,0.8685,-0.7602,0.5385,0.0215,0.2246,0.2154
21.0,1.4864,2.4369,3.8965,0.8689,-0.7568,0.5396,0.0204,0.2234,0.2166
22.0,1.3513,2.3961,3.5777,0.87,-0.7515,0.5412,0.0188,0.2219,0.2181
23.0,1.2285,2.2447,3.2159,0.8701,-0.7446,0.5426,0.0174,0.2204,0.2196
24.0,1.1168,2.1541,3.1192,0.8703,-0.7429,0.5431,0.0169,0.22,0.22
25.0,1.0153,2.0343,2.9219,0.8703,-0.7549,0.544,0.016,0.219,0.221
26.0,0.923,2.0343,2.8444,0.8697,-0.7532,0.5446,0.0154,0.2185,0.2215
27.0,0.8391,1.9275,2.7101,0.8706,-0.7537,0.545,0.015,0.218,0.222
