j,ar_cont_s,∆w_cont_s,ar_cont_d,∆w_cont_d,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,NaN,NaN,0.0,-3.5595423976923216e-7,0.0,0.0,0.3742166666666666,2.944450704692366e-6,0.6426903553299492,4.710659898477157,0.0
1,NaN,NaN,0.0,-1.647762012347447e-13,0.0,0.0,0.4642942176870748,1.2701556815516643e-6,0.5069753789840808,8.081218274111675,0.0
2,NaN,NaN,0.0,-7.627721055087143e-20,0.0,0.0,0.4008695652173913,9.441056196204785e-7,0.5451246965349813,11.756345177664974,0.0
3,NaN,NaN,0.0,-3.530978870627794e-26,0.0,0.0,0.38535523978685615,5.822944514393325e-7,0.5321203487480953,16.467005076142133,0.0
4,NaN,NaN,0.0,-1.6345395557569312e-32,0.0,0.0,0.11599999999999999,4.713304479233085e-8,0.5455560682971851,70.83756345177665,0.0
5,NaN,NaN,0.0,-7.566512452279404e-39,0.0,0.0,0.49773234200743494,3.047015168178064e-8,0.5462136508595475,71.60913705583756,0.0
6,NaN,NaN,0.0,-3.5026445514184373e-45,0.0,0.0,0.5004666666666666,3.750254695749037e-8,0.5423156876963983,71.04568527918782,0.0
7,NaN,NaN,0.0,-1.621423202691669e-51,0.0,0.0,0.5058284600389864,4.049609750064029e-8,0.5502716181316235,72.0761421319797,0.0
8,NaN,NaN,0.0,-7.505795017545412e-58,0.0,0.0,0.49263000000000007,4.944589209558216e-8,0.5501624365482234,72.77157360406092,0.0
9,NaN,NaN,0.0,-3.4745376007871634e-64,0.0,0.0,0.6267622950819672,4.3252520082842996e-7,0.5453316135474744,84.24365482233503,0.0
10,NaN,NaN,0.0,-1.608412101724543e-70,0.0,0.0,0.5253473684210527,1.0003130956301018e-6,0.5320010686615015,72.95939086294416,0.0
11,NaN,NaN,0.0,-7.445564809509828e-77,0.0,0.0,0.4968898488120951,3.1348070979086604e-6,0.5092368245058162,51.26903553299493,0.0
12,NaN,NaN,0.0,-3.446656194216151e-83,0.0,0.0,0.48638888888888887,3.7854808704826405e-6,0.5096559503666103,42.49238578680203,0.0
13,NaN,NaN,0.0,-1.5955054082607116e-89,0.0,0.0,0.4875456621004566,4.700043754787277e-6,0.5062466680573905,39.431472081218274,0.0
14,NaN,NaN,0.0,-7.385817918424896e-96,0.0,0.0,0.4840941176470588,4.567040980693178e-6,0.49010450880859957,37.96954314720812,0.0
15,NaN,NaN,0.0,-3.418998521828419e-102,0.0,0.0,0.49842615012106534,4.629802864522729e-6,0.5132557367780631,37.243654822335024,0.0
16,NaN,NaN,0.0,-1.5827022844827794e-108,0.0,0.0,0.49822500000000003,3.963610882951478e-6,0.49940355329949243,37.49746192893401,0.0
17,NaN,NaN,0.0,-7.3265504659165665e-115,0.0,0.0,0.49358247422680407,3.8416810557042744e-6,0.48550421267465593,37.52791878172589,0.0
18,NaN,NaN,0.0,-3.391562788270326e-121,0.0,0.0,0.49123999999999995,3.51708242260119e-6,0.4960676818950929,38.578680203045685,0.0
19,NaN,NaN,0.0,-1.5700018992964072e-127,0.0,0.0,0.4961570247933884,3.119225755765295e-6,0.48409335626686806,38.70558375634518,0.0
20,NaN,NaN,0.0,-7.267758604732811e-134,0.0,0.0,0.4957428571428571,2.9791871995624494e-6,0.48877447425670767,39.03045685279188,0.0
21,NaN,NaN,0.0,-3.364347212595036e-140,0.0,0.0,0.4920562130177516,2.6240015928376347e-6,0.4887814255248852,39.6497461928934,0.0
22,NaN,NaN,0.0,-1.5574034282763719e-146,0.0,0.0,0.4988307692307692,2.76865947666746e-6,0.4553221397891449,39.89340101522843,0.0
23,NaN,NaN,0.0,-7.20943851849382e-153,0.0,0.0,0.5057987220447284,2.478956928799929e-6,0.49248309304098215,39.67005076142132,0.0
24,NaN,NaN,0.0,-3.3373500281469066e-159,0.0,0.0,0.4992833333333332,2.54581013864768e-6,0.4738071065989848,41.0,0.0
25,NaN,NaN,0.0,-1.544906053613043e-165,0.0,0.0,0.49074652777777783,2.4619031515817246e-6,0.472733361534123,41.19796954314721,0.0
26,NaN,NaN,0.0,-7.151586421444333e-172,0.0,0.0,0.5021090909090908,1.5992126965140267e-5,0.47387171204430084,41.045685279187815,0.0
27,NaN,NaN,0.0,-3.310569482446825e-178,0.0,0.0,0.4971863117870721,1.6673238181774293e-5,0.4972882206481249,42.23857868020305,0.0
28,NaN,NaN,0.0,-1.5325089640593028e-184,0.0,0.0,0.5047400000000001,1.8860084145822802e-5,0.4614619289340101,42.34517766497462,0.0
29,NaN,NaN,0.0,-7.094198558207849e-191,0.0,0.0,0.4927310924369749,1.3751298762996856e-5,0.5003199249242845,42.87309644670051,0.0
30,NaN,NaN,0.0,-3.2840038370784253e-197,0.0,0.0,0.5003333333333333,1.3638544818651144e-5,0.4802932882120699,42.71573604060914,0.0
31,NaN,NaN,0.0,-1.520211354877875e-203,0.0,0.0,0.5002347417840377,1.5905881509006463e-5,0.4524915993422464,42.30964467005076,0.0
32,NaN,NaN,0.0,-7.037271203542854e-210,0.0,0.0,0.47772500000000007,1.2861433081995817e-5,0.4861928934010153,43.223350253807105,0.0
33,NaN,NaN,0.0,-3.257651367575259e-216,0.0,0.0,0.49356382978723395,1.4848739542875778e-5,0.48307052597472727,43.51776649746193,0.0
34,NaN,NaN,0.0,-1.5080124277890974e-222,0.0,0.0,0.4984571428571427,1.5539989421039892e-5,0.45580855692530814,43.192893401015226,0.0
35,NaN,NaN,0.0,-6.980800662101022e-229,0.0,0.0,0.4951226993865031,1.5355722912087266e-5,0.47908816293481976,43.63959390862944,0.0
36,NaN,NaN,0.0,-3.231510363308852e-235,0.0,0.0,0.4885000000000001,1.2516158137771641e-5,0.4753637901861252,43.59390862944162,0.0
37,NaN,NaN,0.0,-1.4959113909190987e-241,0.0,0.0,0.4857971014492753,1.3053741195710224e-5,0.4784815713970426,43.77157360406091,0.0
38,NaN,NaN,0.0,-6.924783268187333e-248,0.0,0.0,0.48124,1.596603093727749e-5,0.4714314720812183,43.878172588832484,0.0
39,NaN,NaN,0.0,-3.2055791273776467e-254,0.0,0.0,0.49057522123893804,1.0947864443774102e-5,0.49099321683662006,44.619289340101524,0.0
40,NaN,NaN,0.0,-1.4839074587483906e-260,0.0,0.0,0.48544999999999994,9.916835813275823e-6,0.5115736040609137,44.15228426395939,0.0
41,NaN,NaN,0.0,-6.86921538552211e-267,0.0,0.0,0.4956000000000001,1.225903064519532e-5,0.48629441624365494,44.065989847715734,0.0
42,NaN,NaN,0.0,-3.1798559764968785e-273,0.0,0.0,0.48335,1.8745011144827504e-5,0.4930456852791878,44.263959390862944,0.0
43,NaN,NaN,0.0,-1.4719998520608884e-279,0.0,0.0,0.47540000000000004,1.1628647586999263e-5,0.4978172588832488,44.41624365482234,0.0
44,NaN,NaN,0.0,-6.814093407004978e-286,0.0,0.0,0.4984999999999999,9.644540200783085e-6,0.4642639593908629,43.598984771573605,0.0
45,NaN,NaN,0.0,-3.154339240889275e-292,0.0,0.0,0.50585,7.247169728421232e-6,0.46370558375634524,44.142131979695435,0.0
46,NaN,NaN,0.0,-1.460187797893312e-298,0.0,0.0,0.48,1.1920486242510324e-5,0.4736040609137055,44.63451776649746,0.0
47,NaN,NaN,0.0,-6.759413754480705e-305,0.0,0.0,0.4902,9.705169718475614e-6,0.49903553299492387,44.52284263959391,0.0
48,NaN,NaN,0.0,-3.129027264177e-311,0.0,0.0,0.4784999999999999,9.65156119135348e-6,0.4845177664974619,45.04060913705584,0.0
49,NaN,NaN,0.0,-1.448471e-317,0.0,0.0,0.48325,9.683728776522892e-6,0.5051269035532995,44.441624365482234,0.0
50,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49329999999999996,9.017549048913376e-6,0.5096954314720812,43.994923857868024,0.0
51,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49115000000000003,1.1117606644702055e-5,0.48411167512690356,44.51269035532995,0.0
52,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4996,8.346724933354187e-6,0.48832487309644673,44.36040609137056,0.0
53,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4977499999999999,8.010063534558509e-6,0.4983248730964468,45.025380710659896,0.0
54,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49815,7.06503091484241e-6,0.45614213197969544,43.65989847715736,0.0
55,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49175000000000013,7.591972876953745e-6,0.4868527918781726,44.35532994923858,0.0
56,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49835,7.5857199947217885e-6,0.43675126903553296,44.11675126903553,0.0
57,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49219999999999997,6.680237533490617e-6,0.48857868020304573,44.736040609137056,0.0
58,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48590000000000005,7.55635362886285e-6,0.5024873096446699,44.72081218274111,0.0
59,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48339999999999994,6.355356260374104e-6,0.4619289340101522,44.18781725888325,0.0
60,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48945000000000005,7.887150326319863e-6,0.47284263959390865,44.93908629441624,0.0
61,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49755000000000005,7.3357322957821e-6,0.4875126903553299,44.09137055837564,0.0
62,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49595000000000006,8.696720444062736e-6,0.5042639593908629,44.6497461928934,0.0
63,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4950499999999999,6.889826354652647e-6,0.48345177664974615,45.101522842639596,0.0
64,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.47659999999999997,6.238391083233784e-6,0.4911167512690355,44.98984771573604,0.0
65,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4897000000000001,5.238535868590013e-6,0.4877157360406091,44.401015228426395,0.0
66,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49204999999999993,5.236695329700154e-6,0.470253807106599,45.025380710659896,0.0
67,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.5092500000000001,7.331635316422295e-6,0.47868020304568526,44.786802030456855,0.0
68,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49150000000000005,7.107731501203163e-6,0.4761421319796954,45.38578680203046,0.0
69,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48665000000000014,4.586016658643147e-6,0.4526903553299493,44.13705583756345,0.0
70,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4836,5.456778175639755e-6,0.49152284263959384,46.4263959390863,0.0
71,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49875,5.503937787027279e-6,0.46299492385786806,44.411167512690355,0.0
72,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4918499999999999,5.315928322524872e-6,0.47248730964467006,44.53807106598985,0.0
73,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49700000000000005,5.581027592190515e-6,0.4669035532994924,44.588832487309645,0.0
74,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48335,5.090384620532712e-6,0.5062944162436548,44.80203045685279,0.0
75,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48435,6.3635595446162115e-6,0.4958883248730964,45.45177664974619,0.0
76,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49620000000000003,4.520419222184227e-6,0.466243654822335,43.944162436548226,0.0
77,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48540000000000005,4.629735669426096e-6,0.48421319796954315,45.81725888324873,0.0
78,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48985,6.014694982860958e-6,0.480253807106599,45.19796954314721,0.0
79,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4939,3.90394505598932e-6,0.46756345177664976,45.0,0.0
80,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.5003000000000001,4.059351408955293e-6,0.4616243654822335,43.84263959390863,0.0
81,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49215000000000003,3.9172813535725335e-6,0.4822842639593909,45.02030456852792,0.0
82,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49895,4.233878836150339e-6,0.4818274111675127,43.83248730964467,0.0
83,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49704999999999994,3.42828942455617e-6,0.46401015228426384,44.192893401015226,0.0
84,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49544999999999995,3.913381464383742e-6,0.4763451776649746,44.85279187817259,0.0
85,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4932000000000001,4.1629279879955e-6,0.4587309644670051,44.81218274111675,0.0
86,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49375,4.41817491433881e-6,0.48360406091370556,45.131979695431475,0.0
87,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48335,2.9783498262269435e-6,0.4914213197969544,45.30456852791878,0.0
88,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4930999999999999,2.982281509078498e-6,0.47233502538071065,44.75126903553299,0.0
89,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48685,2.515531301126367e-6,0.5071573604060915,44.79187817258883,0.0
90,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.5037499999999999,3.1197611640963194e-6,0.4831472081218274,44.68527918781726,0.0
91,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.5086,4.115933320245526e-6,0.4747208121827411,44.36040609137056,0.0
92,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48660000000000003,4.4686004669627636e-6,0.5055837563451776,44.766497461928935,0.0
93,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.5013000000000001,2.9984063629544227e-6,0.4665482233502538,44.370558375634516,0.0
94,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.5035,3.13449802985888e-6,0.47020304568527926,44.380710659898476,0.0
95,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4909500000000001,2.8991610547623996e-6,0.48482233502538075,45.18781725888325,0.0
96,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.48365,2.9077704306298376e-6,0.49314720812182744,45.19796954314721,0.0
97,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4864,2.1119681172245435e-6,0.4827411167512691,45.71573604060914,0.0
98,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49615000000000004,3.295316015237447e-6,0.4704568527918782,44.90355329949239,0.0
99,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.49750000000000005,2.646241674917716e-6,0.4984263959390863,44.5736040609137,0.0
100,NaN,NaN,0.0,-1.5e-323,0.0,0.0,0.4998999999999999,2.2105333582314284e-6,0.4687817258883248,44.401015228426395,0.0
