omega,S
-6.0,0.002590222491997596
-5.99955,0.0025926842478006112
-5.999099999999999,0.0025951480934838607
-5.99865,0.002597614030561447
-5.9982,0.0026000820605483347
-5.99775,0.002602552184960326
-5.9973,0.002605024405314065
-5.99685,0.00260749872312704
-5.9963999999999995,0.002609975139917589
-5.99595,0.0026124536572048754
-5.9955,0.002614934276508928
-5.99505,0.0026174169993506092
-5.9946,0.002619901827251629
-5.99415,0.0026223887617345433
-5.9937,0.002624877804322754
-5.99325,0.0026273689565404963
-5.9928,0.0026298622199128676
-5.99235,0.002632357595965802
-5.9919,0.002634855086226083
-5.9914499999999995,0.002637354692221344
-5.991,0.0026398564154800504
-5.99055,0.002642360257531529
-5.9901,0.0026448662199059477
-5.98965,0.002647374304134325
-5.9892,0.002649884511748522
-5.98875,0.002652396844281256
-5.9883,0.0026549113032660766
-5.98785,0.002657427890237396
-5.9874,0.0026599466067304695
-5.98695,0.002662467454281401
-5.9864999999999995,0.0026649904344271504
-5.98605,0.0026675155487055078
-5.9856,0.002670042798655132
-5.98515,0.002672572185815522
-5.9847,0.0026751037117270287
-5.98425,0.002677637377930852
-5.9838,0.0026801731859690515
-5.98335,0.0026827111373845156
-5.9829,0.0026852512337210005
-5.98245,0.002687793476523111
-5.982,0.0026903378673363005
-5.9815499999999995,0.002692884407706879
-5.9811,0.0026954330991819948
-5.98065,0.0026979839433096597
-5.9802,0.002700536941638736
-5.97975,0.0027030920957189343
-5.9793,0.002705649407100823
-5.9788499999999996,0.0027082088773358235
-5.9784,0.0027107705079761958
-5.97795,0.0027133343005750713
-5.9775,0.002715900256686426
-5.97705,0.0027184683778650916
-5.9765999999999995,0.0027210386656667594
-5.97615,0.002723611121647956
-5.9757,0.002726185747366081
-5.97525,0.0027287625443793823
-5.9748,0.002731341514246962
-5.97435,0.002733922658528778
-5.9738999999999995,0.002736505978785649
-5.97345,0.0027390914765792296
-5.973,0.0027416791534720522
-5.97255,0.002744269011027494
-5.9721,0.002746861050809792
-5.9716499999999995,0.002749455274384042
-5.9712,0.0027520516833161837
-5.97075,0.002754650279173026
-5.9703,0.002757251063522232
-5.96985,0.0027598540379323187
-5.9694,0.0027624592039726652
-5.9689499999999995,0.0027650665632135123
-5.9685,0.0027676761172259375
-5.96805,0.0027702878675818993
-5.9676,0.0027729018158542044
-5.96715,0.002775517963616523
-5.9666999999999994,0.0027781363124433833
-5.96625,0.0027807568639101592
-5.9658,0.002783379619593103
-5.96535,0.0027860045810693137
-5.9649,0.0027886317499167586
-5.96445,0.0027912611277142577
-5.9639999999999995,0.002793892716041501
-5.96355,0.0027965265164790194
-5.9631,0.0027991625306082214
-5.96265,0.0028018007600113734
-5.9622,0.0028044412062715987
