omega,S,S_edge,S_cont
1.5475,0,0,0
1.5525,0.0,0.0,0.0
1.5575,0.002083856987580356,0.002083856987580356,0.0
1.5625,0.9485556710774415,0.9485556710774415,0.0
1.5675000000000001,8.34135892790151,8.34135892790151,0.0
1.5725,21.07039896567153,21.07039896567153,0.0
1.5775000000000001,18.487137636183125,18.487137636183125,0.0
1.5825,12.643281307897006,12.643281307897006,0.0
1.5875000000000001,9.987245280534486,9.987245280534486,0.0
1.5925,8.560684875844359,8.560684875844359,0.0
1.5975000000000001,7.773588047131545,7.773588047131545,0.0
1.6025,7.01245928241781,7.01245928241781,0.0
1.6075,6.484562203621725,6.484562203621725,0.0
1.6125,6.108185572326436,6.108185572326436,0.0
1.6175,5.666327742613719,5.666327742613719,0.0
1.6225,5.560331555456986,5.560331555456986,0.0
1.6275,5.0782793303876685,5.0782793303876685,0.0
1.6325,4.87702683439481,4.87702683439481,0.0
1.6375,4.812347119434142,4.812347119434142,0.0
1.6425,4.599633410009591,4.599633410009591,0.0
1.6475,4.407678122115166,4.407678122115166,0.0
1.6525,4.2299892397511005,4.2299892397511005,0.0
1.6575,4.089769708990643,4.089769708990643,0.0
1.6625,3.9608911691433644,3.9608911691433644,0.0
1.6675,3.809050128259863,3.809050128259863,0.0
1.6725,3.6979645211526933,3.6979645211526933,0.0
1.6775,3.587640323329449,3.587640323329449,0.0
1.6825,3.548768375676507,3.548768375676507,0.0
1.6875,3.602387618933862,3.602387618933862,0.0
1.6925000000000001,3.5137034744431834,3.5137034744431834,0.0
1.6975,3.3889525743982296,3.3889525743982296,0.0
1.7025000000000001,3.0368608918428226,3.0368608918428226,0.0
1.7075,2.892273276243016,2.892273276243016,0.0
1.7125000000000001,3.169987294010938,3.169987294010938,0.0
1.7175,3.3023923610679664,3.3023923610679664,0.0
1.7225000000000001,2.8089991450854783,2.8089991450854783,0.0
1.7275,2.661726559905518,2.661726559905518,0.0
1.7325,3.073448611643991,3.073448611643991,0.0
1.7375,2.6679380566954216,2.6679380566954216,0.0
1.7425,2.5282795643547,2.5282795643547,0.0
1.7475,2.922649499254281,2.922649499254281,0.0
1.7525,2.3959145714705086,2.3959145714705086,0.0
1.7575,2.533328910132298,2.533328910132298,0.0
1.7625,2.7076916361508,2.7076916361508,0.0
1.7675,2.185364867379217,2.185364867379217,0.0
1.7725,2.448972776308132,2.448972776308132,0.0
1.7775,2.4464481034193324,2.4464481034193324,0.0
1.7825,2.026751291286083,2.026751291286083,0.0
1.7875,2.610912508746828,2.610912508746828,0.0
1.7925,1.992808466892226,1.992808466892226,0.0
1.7975,2.2603837189321103,2.2603837189321103,0.0
1.8025,2.18091663419419,2.18091663419419,0.0
1.8075,1.9063284019076414,1.9063284019076414,0.0
1.8125,2.2789781351289804,2.2789781351289804,0.0
1.8175000000000001,1.7334484202841483,1.7334484202841483,0.0
1.8225,2.1194027788877317,2.1194027788877317,0.0
1.8275000000000001,1.8511061917367617,1.8511061917367617,0.0
1.8325,1.9236805187465316,1.9236805187465316,0.0
1.8375000000000001,1.9283291227957484,1.9283291227957484,0.0
1.8425,1.755489215345095,1.755489215345095,0.0
1.8475000000000001,1.8050208929729656,1.8050208929729656,0.0
1.8525,1.7714387361346513,1.7714387361346513,0.0
1.8575,1.6320607630037973,1.6320607630037973,0.0
1.8625,1.8396049041322318,1.8396049041322318,0.0
1.8675,1.5585647300187517,1.5585647300187517,0.0
1.8725,1.5958737849310078,1.5958737849310078,0.0
1.8775,1.5752756600922329,1.5752756600922329,0.0
1.8825,1.52995177061236,1.52995177061236,0.0
1.8875,1.4880742599965626,1.4880742599965626,0.0
1.8925,1.528108358661808,1.528108358661808,0.0
1.8975,1.404359312937806,1.404359312937806,0.0
1.9025,1.4205893529372295,1.4205893529372295,0.0
1.9075,1.4056817606414627,1.4056817606414627,0.0
1.9125,1.33066290908857,1.33066290908857,0.0
1.9175,1.3181196929902497,1.3181196929902497,0.0
1.9225,1.2628974828193706,1.2628974828193706,0.0
1.9275,1.2887853984727728,1.2887853984727728,0.0
1.9325,1.3476944325447553,1.3476944325447553,0.0
1.9375,0.8903679721165447,0.8903679721165447,0.0
1.9425000000000001,1.451887281923773,1.451887281923773,0.0
1.9475,1.3767882820252044,1.3767882820252044,0.0
1.9525000000000001,0.69472586032102,0.69472586032102,0.0
1.9575,0.9926372611993343,0.9926372611993343,0.0
