i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
70.0,0.0139,0.8509,0.8547,0.9989,-0.9989,0.35,0.35,0.15,0.15
71.0,0.0127,0.8509,0.855,0.9988,-0.9988,0.35,0.35,0.15,0.15
72.0,0.0115,0.8507,0.8542,0.9987,-0.9987,0.35,0.35,0.15,0.15
73.0,0.0105,0.8507,0.8548,0.9988,-0.9988,0.35,0.35,0.15,0.15
74.0,0.0095,0.8507,0.8536,0.9988,-0.9988,0.35,0.35,0.15,0.15
75.0,0.0086,0.8507,0.854,0.9986,-0.9986,0.35,0.35,0.15,0.15
76.0,0.0079,0.8498,0.8521,0.9986,-0.9986,0.35,0.35,0.15,0.15
77.0,0.0071,0.8498,0.8541,0.9988,-0.9988,0.35,0.35,0.15,0.15
78.0,0.0065,0.8498,0.8534,0.9989,-0.9989,0.35,0.35,0.15,0.15
79.0,0.0059,0.8498,0.8523,0.9989,-0.9989,0.35,0.35,0.15,0.15
80.0,0.0054,0.8493,0.851,0.9988,-0.9988,0.35,0.35,0.15,0.15
81.0,0.0049,0.8491,0.8512,0.9988,-0.9988,0.35,0.35,0.15,0.15
82.0,0.0044,0.8491,0.853,0.9988,-0.9988,0.35,0.35,0.15,0.15
83.0,0.004,0.8491,0.8517,0.9989,-0.9989,0.35,0.35,0.15,0.15
84.0,0.0037,0.8491,0.8528,0.9989,-0.9989,0.35,0.35,0.15,0.15
85.0,0.0033,0.849,0.8503,0.9989,-0.9989,0.35,0.35,0.15,0.15
86.0,0.003,0.8484,0.8499,0.9989,-0.9989,0.35,0.35,0.15,0.15
87.0,0.0028,0.8484,0.85,0.9989,-0.9989,0.35,0.35,0.15,0.15
88.0,0.0025,0.8482,0.8498,0.9989,-0.9989,0.35,0.35,0.15,0.15
89.0,0.0023,0.8482,0.8493,0.9989,-0.9989,0.35,0.35,0.15,0.15
90.0,0.0021,0.8482,0.8494,0.9989,-0.9989,0.35,0.35,0.15,0.15
91.0,0.0019,0.848,0.8497,0.9989,-0.9989,0.35,0.35,0.15,0.15
92.0,0.0017,0.8479,0.8491,0.9989,-0.9989,0.35,0.35,0.15,0.15
93.0,0.0016,0.8479,0.8491,0.9989,-0.9989,0.35,0.35,0.15,0.15
94.0,0.0014,0.8479,0.8491,0.9989,-0.9989,0.35,0.35,0.15,0.15
95.0,0.0013,0.8478,0.8488,0.9989,-0.9989,0.35,0.35,0.15,0.15
