omega,S,S_edge,S_cont
-1.7652971172660357,0,0,0
-1.7652967629908756,1440.995202452515,1440.995202452515,0.0
-1.7652956909825324,711.2793700784074,711.2793700784074,0.0
-1.7652938888855851,470.7910970451763,470.7910970451763,0.0
-1.7652913503970868,351.07635148928074,351.07635148928074,0.0
-1.7652880747040949,280.2578514048424,280.2578514048424,0.0
-1.7652840628404616,233.07760770195463,233.07760770195463,0.0
-1.765279315707924,199.66418423209362,199.66418423209362,0.0
-1.7652738341147876,174.54748728220403,174.54748728220403,0.0
-1.765267614055736,154.92013760140972,154.92013760140972,0.0
-1.7652606516901588,139.21464557539096,139.21464557539096,0.0
-1.765252945942434,126.40470296434967,126.40470296434967,0.0
-1.7652444940531988,115.67759047587434,115.67759047587434,0.0
-1.7652352931733322,106.62977643856335,106.62977643856335,0.0
-1.7652253436143936,98.89972284688717,98.89972284688717,0.0
-1.76521464157562,92.14701438764584,92.14701438764584,0.0
-1.765203183455764,86.26426115775769,86.26426115775769,0.0
-1.7651909688336902,81.07615397909268,81.07615397909268,0.0
-1.7651779934337208,76.43786833164015,76.43786833164015,0.0
-1.7651642517943786,72.28036679777027,72.28036679777027,0.0
-1.765149740772455,68.54192575733445,68.54192575733445,0.0
-1.7651344580767598,65.16104107255514,65.16104107255514,0.0
-1.7651183969023732,62.055843162721786,62.055843162721786,0.0
-1.765101552891593,59.24157693025161,59.24157693025161,0.0
-1.765083923214327,56.64597448393577,56.64597448393577,0.0
-1.7650654989003032,54.23994990822886,54.23994990822886,0.0
-1.7650462726643825,52.01740713735092,52.01740713735092,0.0
-1.7650262378541834,49.94891522973852,49.94891522973852,0.0
-1.765005391489927,48.04451537866967,48.04451537866967,0.0
-1.7649837296640083,46.25816408237457,46.25816408237457,0.0
-1.764961240790702,44.575048116959316,44.575048116959316,0.0
-1.764937918685614,43.01081725200599,43.01081725200599,0.0
-1.7649137580820011,41.53418690755474,41.53418690755474,0.0
-1.7648887472136607,40.13567590071099,40.13567590071099,0.0
-1.7648628782908413,38.823892823984835,38.823892823984835,0.0
-1.7648361422008074,37.57403621698791,37.57403621698791,0.0
-1.764808527514646,36.39228017663091,36.39228017663091,0.0
-1.7647800242031568,35.26741178545607,35.26741178545607,0.0
-1.7647506235761077,34.20435420682257,34.20435420682257,0.0
-1.76472031945229,33.195477960321675,33.195477960321675,0.0
-1.764689099967006,32.227831244517795,32.227831244517795,0.0
-1.7646569540463135,31.309375674975872,31.309375674975872,0.0
-1.764623866854631,30.42022065549118,30.42022065549118,0.0
-1.7645898216033111,29.57180851871399,29.57180851871399,0.0
-1.7645548091932493,28.76260044952344,28.76260044952344,0.0
-1.7645188152190703,27.98086605576724,27.98086605576724,0.0
-1.7644818256729051,27.23494943962511,27.23494943962511,0.0
-1.7644438244725282,26.510876994020965,26.510876994020965,0.0
-1.7644047890495216,25.810851979462882,25.810851979462882,0.0
-1.7643646998025737,25.13533577586321,25.13533577586321,0.0
-1.7643235455689132,24.492082160923943,24.492082160923943,0.0
-1.764281310925016,23.865796679061177,23.865796679061177,0.0
-1.7642379701199502,23.257813338367544,23.257813338367544,0.0
-1.7641935002075655,22.669209626126236,22.669209626126236,0.0
-1.7641478786780254,22.098409368862104,22.098409368862104,0.0
-1.7641010828062185,21.54567137093133,21.54567137093133,0.0
-1.7640530893024424,21.009249346148415,21.009249346148415,0.0
-1.764003871667307,20.48722709511379,20.48722709511379,0.0
-1.7639534032273372,19.980739606633914,19.980739606633914,0.0
-1.763901657883976,19.488566575692918,19.488566575692918,0.0
-1.7638486108914049,19.012163351171857,19.012163351171857,0.0
-1.7637942290877522,18.543653691868432,18.543653691868432,0.0
-1.7637384719050957,18.085785698532057,18.085785698532057,0.0
-1.7636812992478845,17.636846269654175,17.636846269654175,0.0
-1.7636226751296442,17.201280673462275,17.201280673462275,0.0
-1.763562566163949,16.776259498921068,16.776259498921068,0.0
-1.763500932203788,16.360611092733585,16.360611092733585,0.0
-1.7634377289317116,15.953528389824875,15.953528389824875,0.0
-1.7633729077313274,15.554117481068786,15.554117481068786,0.0
-1.7633064173383663,15.162606110406575,15.162606110406575,0.0
-1.7632382016397967,14.777326728634309,14.777326728634309,0.0
-1.763168200546314,14.39905368814901,14.39905368814901,0.0
-1.7630963525223113,14.027397468992852,14.027397468992852,0.0
-1.7630225950764102,13.663210343235106,13.663210343235106,0.0
-1.7629468579597232,13.303728085970878,13.303728085970878,0.0
-1.762869061683159,12.949545801052334,12.949545801052334,0.0
-1.7627891284491202,12.601943952134164,12.601943952134164,0.0
-1.762706974899383,12.259107491449898,12.259107491449898,0.0
-1.7626225062372867,11.92069187158979,11.92069187158979,0.0
-1.7625356059578836,11.582770278033932,11.582770278033932,0.0
-1.7624461510717384,11.249632984323219,11.249632984323219,0.0
-1.762354030183754,10.922112868833768,10.922112868833768,0.0
-1.762259119417124,10.598082990995085,10.598082990995085,0.0
-1.7621612686465524,10.275766151814363,10.275766151814363,0.0
-1.762060315489654,9.956813847087234,9.956813847087234,0.0
-1.761956078636496,9.63868915080584,9.63868915080584,0.0
-1.7618483754941545,9.326304495606031,9.326304495606031,0.0
-1.7617369789574546,9.010366286090477,9.010366286090477,0.0
-1.7616216184216682,8.69652887883712,8.69652887883712,0.0
-1.7615020388229614,8.385905496022245,8.385905496022245,0.0
-1.7613779236657259,8.072797571258564,8.072797571258564,0.0
-1.7612488986584096,7.76004279032518,7.76004279032518,0.0
-1.7611145702873054,7.448169105913125,7.448169105913125,0.0
-1.760974485455628,7.135660480087263,7.135660480087263,0.0
-1.7608280983432523,6.820990179861525,6.820990179861525,0.0
-1.7606747687762119,6.504476005112136,6.504476005112136,0.0
-1.760513788936662,6.188430363128189,6.188430363128189,0.0
-1.760344279653823,5.86689141201762,5.86689141201762,0.0
-1.7601651820840734,5.544045836284539,5.544045836284539,0.0
-1.7599752356899492,5.216510779633631,5.216510779633631,0.0
-1.7597727846230173,4.881186593156185,4.881186593156185,0.0
-1.7595558295055933,4.543183172687141,4.543183172687141,0.0
-1.759321698359133,4.192641120784788,4.192641120784788,0.0
-1.759066840103229,3.8356666228475826,3.8356666228475826,0.0
-1.7587864282059256,3.4653831265146917,3.4653831265146917,0.0
-1.7584734709791352,3.0820283894269425,3.0820283894269425,0.0
-1.7581172060190313,2.678086945666175,2.678086945666175,0.0
-1.7577001685945142,2.25476817097676,2.25476817097676,0.0
-1.7571901698209675,1.8001918224083615,1.8001918224083615,0.0
-1.7565133986084378,1.2983919721566237,1.2983919721566237,0.0
-1.7554264763863865,0.7358825598450315,0.7358825598450315,0.0
-1.7491336913505635,0.09117778307285393,0.09117778307285393,0.0
-1.7333116340183001,0.04993723489841187,0.04993723489841187,0.0
-1.712730929184711,0.04928787432641509,0.04928787432641509,0.0
-1.6919794504172012,0.049116746531995714,0.049116746531995714,0.0
-1.6711772495245905,0.04904768549477482,0.04904768549477482,0.0
