j,theta,chi2_min,chi2_avg,chi2_sigma,w_edge_R,w_n0_R,n0_R,eps_R,w_edge_R_sigma,w_n0_R_sigma,n0_R_sigma,w_edge_L,w_n0_L,n0_L,eps_L,w_edge_L_sigma,w_n0_L_sigma,n0_L_sigma,w_cont0,w_contf
0,10.0,545780.3809081299,2.323572926728073e6,361208.40977402776,-1.209933997491841, -1.0186902489741727,0.5100618845717881,0.07620467762192529,0.023014009973100904, 0.018104825992582597,0.024373645873553083,1.5414298155994148, 1.1274743734054244,0.4805808237661422,0.20402674863305637,0.01701959363600617, 0.04052012493024564,0.021086886542684848,0.0,0.0
1,10.0,126.75913792493557,210081.67487232503,28489.06598015917,-1.0318735135917532, -0.9204912797588877,0.5186639247644291,0.5365006304912008,0.0006975246493671256, 0.0076749135770587135,0.01876632770686058,1.152988796742262, 0.7305208274616797,0.5051972001103558,0.07606601655436523,0.01921973071327665, 0.037987744617527276,0.018059564266009492,0.0,0.0
2,9.52380952,2.6551252455235397,15.67731423013023,1.4251839819589092,-0.9954959162056335, -0.8263666141364036,0.48744784612031894,0.2669504924278661,0.002056843379211628, 0.009659447438655138,0.018169571126509625,1.4183439600243033, 0.46479893961558466,0.5223702281036122,0.11245213865770083,0.006273589060983096, 0.04205801984909576,0.017632236349386116,0.0,0.0
3,9.07029478,2.1017056891990187,5.1358357919451665,0.1525582559790845,-0.9997216234813389, -0.8045083988200344,0.4996035077643353,0.9581136830031598,0.0010940491484184992, 0.011011126659950556,0.016673461700394916,1.4667567476553247, 0.47253662072173297,0.5065752375594181,0.4856739511710903,0.00188303756846197, 0.05368343550027474,0.02128717645309802,0.0,0.0
4,8.63837599,1.9352193716717727,4.088727705099555,0.07567010635445517,-1.0050195516871814, -0.7936456115168025,0.5021249600884182,0.06478656146063416,0.00045139857647091705, 0.01798633567437111,0.026115388786851653,1.4737205233420503, 0.4748840961658692,0.5060073375322239,0.6422040561259754,0.0015471191309533326, 0.047340129559154946,0.01859636572996865,0.0,0.0
5,8.22702475,1.3749796209000196,3.35453289923839,0.07006201409487005,-1.0135167058035468, -0.7773192011217219,0.5235376109915141,0.438844093720406,0.0008306581445857071, 0.012469286255253117,0.01773194391715259,1.481494518783125, 0.5303679461562933,0.48291026444290486,0.1014035271280802,0.0014857053998177873, 0.04245723176279173,0.016442971210166368,0.0,0.0
6,7.83526166,1.3749796209000196,4.272964492597081,0.07040375407409394,-1.0006856721096764, -0.8039920679789384,0.4862278405795341,0.509857304155124,0.0004177518856124989, 0.01559512042038118,0.022134569436479238,1.4767432251608519, 0.41940579310075526,0.5277719904247723,0.4506617019939029,0.001301527904961569, 0.053576898226316345,0.020656166315811686,0.0,0.0
7,7.46215397,1.3749796209000196,4.26375351226333,0.07864448655332969,-1.0021175019744226, -0.7760200964353137,0.5327258911081814,0.028621912592196097,0.0005349275824612423, 0.015156452378880695,0.022310616403480366,1.470144145251443, 0.497191479189463,0.49686695335919034,0.8490803768433888,0.0011913575725373603, 0.05565015756176032,0.02181473800076721,0.0,0.0
8,7.1068133,1.3749796209000196,3.611857628816972,0.07216462396995295,-1.0062343493785237, -0.7984488470960062,0.495874018173781,0.5405194921879559,0.0007397100839001493, 0.012163525253984092,0.017554403779311063,1.4758409910397643, 0.47229420380295384,0.5075697707019924,0.5505416241669066,0.0014961962704410662, 0.050336282233676526,0.01945967821103563,0.0,0.0
9,6.76839362,1.3749796209000196,3.7915490142618236,0.07521431445585697,-1.002724407936243, -0.8117638327009647,0.4732868761091612,0.7315074653934573,0.0005963055456962468, 0.013288829199332448,0.020057900681952314,1.4798354499454158, 0.45529605914143423,0.510059535022277,0.8951693993968599,0.0013480110760648847, 0.05141670891658409,0.019794704151828515,0.0,0.0
10,6.44608916,1.3749796209000196,3.5949670966936114,0.08186156600338564,-1.0043060025629964, -0.8284378172287079,0.4575661545256441,0.6084426463947111,0.0007575804681721559, 0.009978522002850307,0.015189523287007048,1.477878398620289, 0.5083955375222428,0.48869924049783187,0.31848631212755063,0.0010555870598602678, 0.043093546349943244,0.016939241719241792,0.0,0.0
11,6.13913254,1.3749796209000196,3.623600853800609,0.06189380107257285,-1.0035624636760054, -0.7829646081609682,0.5183570056782385,0.8163243932853461,0.0004128352203165101, 0.015995559027682547,0.022544170173068066,1.4801360453550578, 0.5137325794494189,0.4859365037401198,0.40499225457998794,0.0012747955693219984, 0.053241079442266234,0.020868631319615187,0.0,0.0
12,5.84679289,1.3749796209000196,3.4907500093432584,0.07521106307397472,-1.0017179010914015, -0.7951342818721574,0.5050223378094406,0.24728904172763155,0.0004311071826005578, 0.01387078631841807,0.01991372700189576,1.4835941577824918, 0.5000601256950374,0.49307301748268006,0.0452580620686448,0.002035985725448448, 0.05094199110528635,0.019707089657112657,0.0,0.0
13,5.56837418,1.3749796209000196,3.462578490551439,0.0525506519247567,-1.0033834530215608, -0.79591653236665,0.5060210383699214,0.9410940322372611,0.0006401315417210153, 0.013414663329932446,0.020094153558606012,1.4840667586146163, 0.547304619329789,0.47369835858298626,0.5731497822337965,0.0014545220374797866, 0.060234950641416644,0.023597148365239264,0.0,0.0
14,5.30321351,1.3749796209000196,2.777578274222556,0.06335527834050082,-1.0066580246939396, -0.8300155246884234,0.4508435870909608,0.2891132928260835,0.000831412298005453, 0.014558546524149719,0.021848010175065123,1.4889387172218451, 0.4173072792610542,0.5241329723153942,0.6202290815035827,0.0015650632498010358, 0.050563365141106174,0.019525611445279954,0.0,0.0
15,5.05067953,1.3749796209000196,2.612927007230591,0.04394337556625692,-1.007187040416305, -0.7723099148782784,0.5233729358665943,0.9688312860303994,0.0005871829760219968, 0.015611649327099793,0.021805936281485642,1.4906163503754397, 0.520025173063986,0.4868585901628405,0.7272463258468038,0.0014079033937660936, 0.050525291540853653,0.019623163601510524,0.0,0.0
16,4.81017098,1.3749796209000196,2.5833206220139076,0.048669411907138464,-1.0082777051838676, -0.7906481190449375,0.5053886275247599,0.5948844725299467,0.0004870207805553214, 0.015590041533483038,0.020989357605162042,1.4848561372596454, 0.45033654620072766,0.5151653843516106,0.34510405185063076,0.0018113085193104705, 0.059952699926947725,0.023030172039851766,0.0,0.0
17,4.58111522,1.3749796209000196,2.5795745334873392,0.043674107512768866,-1.0097367056696989, -0.7861398374273894,0.5081207274369572,0.20527075234431685,0.0004002723859082075, 0.01810921398357369,0.025050695146254246,1.4882383403361539, 0.5047449849792813,0.49373346981388827,0.009979473005878314,0.0014067540410949118, 0.06300780454405741,0.024402152681497525,0.0,0.0
18,4.36296688,1.2794306352899238,2.196710334157655,0.02762133416459418,-1.0125355808109395, -0.8046306436954908,0.4804317846651106,0.13285575167417718,0.0005230078640096074, 0.015446269676543977,0.02204800968010079,1.488667542979358, 0.49007073905089477,0.4995016323280678,0.934933459024958,0.0016110764346842833, 0.06292041086096431,0.024120905456171356,0.0,0.0
19,4.15520655,1.2794306352899238,2.124386892941887,0.039445317786698825,-1.0094440895819674, -0.8219348931956205,0.45192867039141793,0.48346449287281346,0.000546411631460674, 0.0191902015363649,0.025930196287543228,1.499900047306259, 0.552043362149851,0.4739223488265448,0.7299962319843836,0.0011167487400380162, 0.05683011569904962,0.02225460070977319,0.0,0.0
20,3.95733957,1.2794306352899238,2.5765129101957602,0.043013122595896694,-1.0078623771327921, -0.8131958043035235,0.4743664134612658,0.40477244498032394,0.0003904608463804421, 0.01391506337608081,0.02125565153535256,1.483814520557977, 0.5097071526154772,0.49394560384237146,0.7944458604473897,0.002012206241068481, 0.06230984887742524,0.02374792570878854,0.0,0.0
21,3.76889483,1.2570241228601964,2.022017489816969,0.037154188307213155,-1.0109460553231941, -0.7945857307734998,0.49180157872885166,0.320908987578578,0.000935695179396226, 0.017947329523945243,0.023806745088831117,1.4973122677617192, 0.5239653199197674,0.48579184834373157,0.3245769135188922,0.0012539813578404046, 0.06147381255867903,0.023793398721302483,0.0,0.0
22,3.58942365,1.253049650480775,1.9908671794227566,0.02710802979653416,-1.0124707731354852, -0.8109584289959081,0.4718264786633,0.9348576187949151,0.0005576574161851001, 0.016941359751912476,0.02485175577844207,1.4989121637548475, 0.4938387981536274,0.4951640551918112,0.8388362327363718,0.0014820976442436456, 0.05853117399382518,0.022643998982525053,0.0,0.0
23,3.41849871,1.253049650480775,2.1290369674084118,0.026745969681354214,-1.0092938907439797, -0.8001904830274027,0.4908226814351669,0.49039077557984967,0.0005897390832330892, 0.01815242671429012,0.0262110656096902,1.498079032435082, 0.56454414823463,0.4690043245192893,0.6533570573675948,0.0016652716205863601, 0.06468877695182244,0.025183387472093418,0.0,0.0
24,3.25571306,1.253049650480775,2.3665263696889425,0.03467160816443789,-1.0078171555803768, -0.815620256934754,0.47648995193656346,0.8885268067836938,0.0006468474116276485, 0.01513777470845354,0.022088737786476943,1.490548180363033, 0.5239353140374508,0.4858345845208717,0.9137194231744679,0.0015562050235743718, 0.06864628878114035,0.026979984939016235,0.0,0.0
25,3.1006791,1.253049650480775,2.1305202371264427,0.03687161457644728,-1.0088546541019903, -0.7787682503269722,0.5145281539785077,0.07235761382595951,0.00047408204717724385, 0.018167495390041727,0.02637045434314142,1.495365009341446, 0.5323744140329768,0.481762242148793,0.4790676460022904,0.0017967667732682099, 0.06643150612964406,0.02597806769037623,0.0,0.0
26,2.95302772,1.253049650480775,1.957116265159166,0.025107997299013272,-1.01112535204678, -0.8454166689244156,0.4186786763965692,0.5374771401072208,0.0007851272645936979, 0.01731864905021195,0.02599981253058954,1.4999560796159124, 0.5702952012377688,0.46689792724491985,0.4545580945868726,0.0017690155802964325, 0.06038349436895729,0.0235255299683939,0.0,0.0
27,2.81240735,1.253049650480775,1.9968646558518657,0.03694427114069257,-1.0090317377570763, -0.7826042130417585,0.5101281671612374,0.8432612214361012,0.0003816910901350133, 0.018995109108855063,0.026356797964514046,1.504648102153621, 0.5023256069923143,0.4910979969833494,0.5402077262047844,0.001310780953819249, 0.07071494627820704,0.027235880367510765,0.0,0.0
28,2.67848319,1.253049650480775,2.0053078218189717,0.03425342102235262,-1.0098825029185419, -0.7737647486703383,0.5310839980216572,0.5962184152095561,0.00034905173368977936, 0.016717495898720673,0.023088009368196237,1.4932257085153045, 0.5280814724732322,0.4852915077689512,0.2689783611451058,0.0012898038424403243, 0.06716882360536863,0.02632600960062322,0.0,0.0
29,2.55093637,1.253049650480775,2.3301174458447558,0.04590041233496878,-1.0067307805806904, -0.7776726197707046,0.5297516362463732,0.9104830173690734,0.0005162129227861763, 0.017594676068692104,0.02420184180087557,1.493015901498732, 0.7016308042249595,0.41784540955628174,0.9786278500202954,0.001610902144180909, 0.05406716525430645,0.0213092455618811,0.0,0.0
30,2.42946321,1.253049650480775,1.8156956549727077,0.030863471229441226,-1.0098749960902356, -0.766587636580138,0.5276365361845196,0.350435950281711,0.00041633707697990555, 0.021526812941614508,0.030305726816771805,1.4995630071366306, 0.5824488152105146,0.46142660354756393,0.29399050923683057,0.0016400633218349046, 0.07479457026311054,0.028933036234661202,0.0,0.0
31,2.31377449,1.253049650480775,1.8793056745342909,0.03548526385474089,-1.0133656906676087, -0.7654810293614283,0.535868763437985,0.9217825610067227,0.0004319628682348068, 0.02095846590507926,0.02912277026847611,1.4965667856865978, 0.5856241036236638,0.46189015682697904,0.7593602875893825,0.001680873976797051, 0.06873903519798465,0.026852002406332124,0.0,0.0
32,2.20359475,1.253049650480775,1.8180541608238012,0.018842119761958483,-1.008796154445362, -0.774217985006969,0.5293073220096522,0.8769339599234847,0.00035000377351984766, 0.01948456465475853,0.027493605721181844,1.5011476232866463, 0.3611870581092735,0.5453452002301257,0.4335197254664922,0.001261898817884061, 0.0892330031205181,0.03438686145542484,0.0,0.0
33,2.09866167,1.230495993856193,1.5797943241805605,0.01967440923532385,-1.0111034975555429, -0.7694614254701777,0.514877319767421,0.9636812342784314,0.0005823896361740501, 0.024317306178705134,0.03195733685370669,1.5061817462609037, 0.46832974107337566,0.5044815314956093,0.5252144234637537,0.0014811217147670302, 0.07216703734854567,0.027366519497645615,0.0,0.0
34,1.9987254,1.230495993856193,1.6074604469493212,0.021025342433402008,-1.0173945161786855, -0.7543159096343935,0.5410462491334499,0.15351042012051141,0.00041812890615526555, 0.023047061734403504,0.030259302717714362,1.499958660428692, 0.37528197537465635,0.5408100333183301,0.9284217637924573,0.0020272477394865157, 0.07906845679372991,0.030009247715449466,0.0,0.0
35,1.903548,1.230495993856193,1.6557772184035473,0.01746979746186911,-1.0160527101451955, -0.8008491803213644,0.4881878109095144,0.5203075805174228,0.0004978038724051303, 0.020427414386778635,0.02936134565867124,1.4938526706688025, 0.4735756290627566,0.5039049062453679,0.6188278445702275,0.0017255677745248593, 0.08165610919705492,0.03141515760028644,0.0,0.0
36,1.81290285,1.230495993856193,1.567041720367087,0.01710142475246944,-1.0122976287764913, -0.7619025602881727,0.5260272715719005,0.33476808126984303,0.00027049527878524754, 0.025687629746087282,0.035132342707703594,1.5091591468721868, 0.5293314894830203,0.4786312133633131,0.03100323742695688,0.0013937667147230254, 0.08564100882984868,0.03304074997945707,0.0,0.0
37,1.72657415,1.230495993856193,1.6526576165600058,0.026200715257954536,-1.0137633564709176, -0.7848270279851104,0.5200917878956525,0.048080410891571224,0.00033593400705511086, 0.01998696039936562,0.02892811932892849,1.504949218902643, 0.5152094752793219,0.4871409433070662,0.7108253911712049,0.0018581704454960176, 0.07953364720618587,0.03038103187663256,0.0,0.0
38,1.64435633,1.230495993856193,1.5349399340398877,0.012365340551369857,-1.0114745233784725, -0.8386586531543889,0.43639987268681885,0.3989316814051045,0.0004149777914665589, 0.019587108026715844,0.027851951846055736,1.5063067654635338, 0.391497648921359,0.5345785138198178,0.2762831420670593,0.001514137126759038, 0.07650374648940264,0.029010948418874513,0.0,0.0
39,1.56605365,1.230495993856193,1.4172673363926331,0.010908459575987864,-1.0131275304439038, -0.7775335496220346,0.5166696212466367,0.6741216117941444,0.0002987266261852906, 0.024525440249104673,0.03322026520615668,1.521255580391522, 0.5775322891060959,0.46153653618799106,0.17684021164331898,0.0012715932043166212, 0.08996504451121011,0.03479420985027394,0.0,0.0
40,1.49147966,1.2292793153415151,1.4641439039549355,0.016913477660849014,-1.0129937449231483, -0.7758082527372545,0.5320458354477713,0.30472967844542787,0.0005025576434391308, 0.021779680994601387,0.028996015057272246,1.5089491762259308, 0.47208968671107615,0.504023461231055,0.2694456778114363,0.0016731647347374328, 0.08699542870176465,0.03307228469509253,0.0,0.0
41,1.42045682,1.1933752683914745,1.3989945329578581,0.011812744209194008,-1.0181534879043943, -0.7774757442338454,0.5195020987378751,0.6731902160098112,0.0003083782581651895, 0.021873719352324773,0.03212418249476333,1.4934258738399788, 0.44936492176972126,0.5119341388780195,0.4199113947559271,0.0012563101839020553, 0.08875776777968747,0.03377069106607068,0.0,0.0
42,1.35281602,1.1933752683914745,1.5850023262819766,0.014423206185850255,-1.0123476232289166, -0.7542205701622817,0.5451777822541006,0.36460221088262956,0.0005545022203092889, 0.023860744094705354,0.0331017900047856,1.5046058763427372, 0.48526971148401304,0.4978105768416591,0.692488624947631,0.002205235807586548, 0.09593605091266569,0.03715422039365622,0.0,0.0
43,1.28839621,1.1933752683914745,1.5532034611257224,0.01925321857111371,-1.009293444570448, -0.8009513138324695,0.49402335967916866,0.8606949703844234,0.00041149376814807415, 0.022411238038572662,0.03349756240495379,1.5144781621343884, 0.4640620673491719,0.5027046457219355,0.15781607155902688,0.0011182271736116377, 0.09572762160823745,0.037352611202536704,0.0,0.0
44,1.22704401,1.1933752683914745,1.4465337706783363,0.014504337892497757,-1.0140858595883118, -0.7442903188478791,0.5628060223800773,0.8470493478543744,0.00042878660592456975, 0.02407408421674549,0.03238681839559969,1.5167966181711787, 0.4875073475749443,0.4975527883277556,0.9712925185929263,0.0014051489839126095, 0.08110103143384692,0.031339096646049495,0.0,0.0
45,1.16861334,1.1933752683914745,1.4648345803549732,0.008312601997402547,-1.0111743145764662, -0.8197458144151721,0.45455465729421585,0.9080096163543343,0.0004046346870135948, 0.024448177228159455,0.03637632168586656,1.5129972499764535, 0.5664896637892871,0.467378014325456,0.020523861358844528,0.002423788476532832, 0.08018780845492898,0.03109462754042685,0.0,0.0
46,1.11296509,1.1933752683914745,1.4557235780804012,0.011273242595223944,-1.0166633604872746, -0.8295147659370883,0.4371894585127064,0.5780576972998435,0.00036895474502019956, 0.023407165516332127,0.03453118381481865,1.5047550675955617, 0.4003578827512214,0.5299826708477227,0.23169546098649646,0.001953972725654925, 0.08589538454869726,0.033242214736300464,0.0,0.0
