omega,S,S_edge,S_cont
-2.0769743004607384,0,0,0
-2.0769742013651715,1585.1327894816743,1585.1327894816743,0.0
-2.076973903451802,790.0682480348587,790.0682480348587,0.0
-2.076973407483856,528.6204161230197,528.6204161230197,0.0
-2.0769727141292798,396.46106891437177,396.46106891437177,0.0
-2.076971822004701,316.74380169092143,316.74380169092143,0.0
-2.076970731033038,263.97652723872807,263.97652723872807,0.0
-2.076969442252356,226.42789196776295,226.42789196776295,0.0
-2.076967955442412,198.062589593528,198.062589593528,0.0
-2.0769662694380617,175.91610029238967,175.91610029238967,0.0
-2.0769643836116867,158.2024265227149,158.2024265227149,0.0
-2.0769622979875635,143.75086281831418,143.75086281831418,0.0
-2.076960013317777,131.78391281061417,131.78391281061417,0.0
-2.0769575299528333,121.63359797947851,121.63359797947851,0.0
-2.076954847203294,112.89865599690239,112.89865599690239,0.0
-2.0769519646510903,105.33638431406516,105.33638431406516,0.0
-2.076948882219149,98.716923840869,98.716923840869,0.0
-2.07694559946548,92.86186073421678,92.86186073421678,0.0
-2.0769421154055747,87.6306636389975,87.6306636389975,0.0
-2.076938429667071,82.96958450432564,82.96958450432564,0.0
-2.0769345417720975,78.74946692025033,78.74946692025033,0.0
-2.0769304503132657,74.91457541619027,74.91457541619027,0.0
-2.076926154713595,71.43826864661384,71.43826864661384,0.0
-2.076921654698575,68.25991788476107,68.25991788476107,0.0
-2.0769169500232847,65.35517416579188,65.35517416579188,0.0
-2.0769120395996885,62.657740172090534,62.657740172090534,0.0
-2.076906923012883,60.192073764690164,60.192073764690164,0.0
-2.076901599810667,57.886869676180424,57.886869676180424,0.0
-2.0768960692807843,55.761961520506404,55.761961520506404,0.0
-2.0768903309997206,53.770205977683865,53.770205977683865,0.0
-2.0768843842871254,51.920302632947326,51.920302632947326,0.0
-2.0768782289537335,50.18623842595707,50.18623842595707,0.0
-2.0768718639655184,48.555492524037724,48.555492524037724,0.0
-2.076865287481967,47.00970733908857,47.00970733908857,0.0
-2.076858498860215,45.567415651049245,45.567415651049245,0.0
-2.0768514980015507,44.2021296433051,44.2021296433051,0.0
-2.0768442838974552,42.91280311348423,42.91280311348423,0.0
-2.0768368558684625,41.69232039952539,41.69232039952539,0.0
-2.076829212572082,40.52930711680849,40.52930711680849,0.0
-2.076821353012144,39.42905294389611,39.42905294389611,0.0
-2.0768132760807556,38.37691277918997,38.37691277918997,0.0
-2.0768049809139937,37.381306900666694,37.381306900666694,0.0
-2.0767964678297126,36.43698849305126,36.43698849305126,0.0
-2.0767877360839275,35.53233349775823,35.53233349775823,0.0
-2.0767787839353598,34.66472834226114,34.66472834226114,0.0
