omega,S,S_p,S_c
-14.995,0.02470595354290095,0.0,0.02470595354290095
-14.99,0.02501873680834417,0.0,0.02501873680834417
-14.985,0.024684351998557463,0.0,0.024684351998557463
-14.98,0.025302169142902647,0.0,0.025302169142902647
-14.975,0.024843086897020594,0.0,0.024843086897020594
-14.97,0.024642509267367083,0.0,0.024642509267367083
-14.965,0.024474262290375248,0.0,0.024474262290375248
-14.96,0.02478871506651174,0.0,0.02478871506651174
-14.955,0.025236115209887083,0.0,0.025236115209887083
-14.95,0.02522820392824516,0.0,0.02522820392824516
-14.945,0.025017092083479242,0.0,0.025017092083479242
-14.94,0.025478880720652144,0.0,0.025478880720652144
-14.935,0.025277899530553885,0.0,0.025277899530553885
-14.93,0.024440003873095133,0.0,0.024440003873095133
-14.925,0.025454042687897468,0.0,0.025454042687897468
-14.92,0.025326285922899407,0.0,0.025326285922899407
-14.915,0.025207589741954275,0.0,0.025207589741954275
-14.91,0.02526399747561007,0.0,0.02526399747561007
-14.905,0.025113487322748304,0.0,0.025113487322748304
-14.9,0.025368791216512504,0.0,0.025368791216512504
-14.895,0.025690555666899925,0.0,0.025690555666899925
-14.89,0.024873065023149222,0.0,0.024873065023149222
-14.885,0.02534923764464425,0.0,0.02534923764464425
-14.88,0.02585552552347292,0.0,0.02585552552347292
-14.875,0.025824553643712674,0.0,0.025824553643712674
-14.87,0.025676997107985624,0.0,0.025676997107985624
-14.865,0.02549519043244654,0.0,0.02549519043244654
-14.86,0.025438886467656335,0.0,0.025438886467656335
-14.855,0.02524306756889771,0.0,0.02524306756889771
-14.85,0.02547538625228229,0.0,0.02547538625228229
-14.845,0.0253172264649623,0.0,0.0253172264649623
-14.84,0.025661682330004973,0.0,0.025661682330004973
-14.835,0.025642254628127754,0.0,0.025642254628127754
-14.83,0.026011374701317414,0.0,0.026011374701317414
-14.825,0.02628830892575938,0.0,0.02628830892575938
-14.82,0.026041675290471408,0.0,0.026041675290471408
-14.815,0.02596751042560076,0.0,0.02596751042560076
-14.81,0.026016067832188326,0.0,0.026016067832188326
-14.805,0.02601384586421814,0.0,0.02601384586421814
-14.8,0.026243296331556674,0.0,0.026243296331556674
-14.795,0.02607176373288933,0.0,0.02607176373288933
-14.79,0.02643215305908679,0.0,0.02643215305908679
-14.785,0.02606431320849893,0.0,0.02606431320849893
-14.78,0.026438819065042876,0.0,0.026438819065042876
-14.775,0.026447108866320533,0.0,0.026447108866320533
-14.77,0.026182283881054345,0.0,0.026182283881054345
-14.765,0.02641247929358587,0.0,0.02641247929358587
-14.76,0.026146383634670617,0.0,0.026146383634670617
-14.755,0.026435921576365144,0.0,0.026435921576365144
-14.75,0.02637861147904713,0.0,0.02637861147904713
-14.745,0.025950984277998183,0.0,0.025950984277998183
-14.74,0.026017792790907834,0.0,0.026017792790907834
-14.735,0.02663568502312998,0.0,0.02663568502312998
-14.73,0.026415107018679402,0.0,0.026415107018679402
-14.725,0.026604075966700762,0.0,0.026604075966700762
-14.72,0.02667073033627202,0.0,0.02667073033627202
-14.715,0.02659290108711062,0.0,0.02659290108711062
-14.71,0.026639145544506332,0.0,0.026639145544506332
-14.705,0.027058861810687205,0.0,0.027058861810687205
-14.7,0.027080646603796252,0.0,0.027080646603796252
-14.695,0.02655932065404564,0.0,0.02655932065404564
-14.69,0.02705070524584595,0.0,0.02705070524584595
-14.685,0.027504123491234975,0.0,0.027504123491234975
-14.68,0.026752532966692454,0.0,0.026752532966692454
-14.675,0.027235667090508415,0.0,0.027235667090508415
-14.67,0.027529923383113615,0.0,0.027529923383113615
-14.665,0.027728690471462043,0.0,0.027728690471462043
-14.66,0.027914960208623982,0.0,0.027914960208623982
-14.655,0.02723130458416351,0.0,0.02723130458416351
-14.65,0.02751032570452161,0.0,0.02751032570452161
-14.645,0.027392358706126427,0.0,0.027392358706126427
-14.64,0.027040906323968092,0.0,0.027040906323968092
-14.635,0.027253220333416553,0.0,0.027253220333416553
-14.63,0.027296946010716833,0.0,0.027296946010716833
-14.625,0.027713875842861682,0.0,0.027713875842861682
-14.62,0.027521822998150407,0.0,0.027521822998150407
-14.615,0.026936681496070092,0.0,0.026936681496070092
-14.61,0.02691930375604408,0.0,0.02691930375604408
-14.605,0.027294754593658755,0.0,0.027294754593658755
-14.6,0.027312203027081577,0.0,0.027312203027081577
-14.595,0.028155544736283764,0.0,0.028155544736283764
-14.59,0.027495399279227995,0.0,0.027495399279227995
-14.585,0.02757181722981142,0.0,0.02757181722981142
-14.58,0.027817405869099098,0.0,0.027817405869099098
-14.575,0.028503308061962756,0.0,0.028503308061962756
-14.57,0.027688104595923763,0.0,0.027688104595923763
-14.565,0.027693278566165828,0.0,0.027693278566165828
-14.56,0.02791494667906247,0.0,0.02791494667906247
-14.555,0.02774089989045525,0.0,0.02774089989045525
-14.55,0.02794426656626535,0.0,0.02794426656626535
-14.545,0.02765501149034626,0.0,0.02765501149034626
-14.54,0.028540891491794663,0.0,0.028540891491794663
-14.535,0.028549835690787624,0.0,0.028549835690787624
-14.53,0.028408987198288004,0.0,0.028408987198288004
-14.525,0.028136663668861965,0.0,0.028136663668861965
-14.52,0.0286056493718998,0.0,0.0286056493718998
-14.515,0.028360907774361135,0.0,0.028360907774361135
-14.51,0.028200255417825094,0.0,0.028200255417825094
-14.505,0.028103631969508318,0.0,0.028103631969508318
-14.5,0.02819266984890274,0.0,0.02819266984890274
-14.495,0.028365475797288982,0.0,0.028365475797288982
-14.49,0.028082619326982142,0.0,0.028082619326982142
-14.485,0.02855993815528554,0.0,0.02855993815528554
-14.48,0.0286469718095143,0.0,0.0286469718095143
-14.475,0.029002778419825768,0.0,0.029002778419825768
-14.47,0.028616911482164626,0.0,0.028616911482164626
-14.465,0.02923475078497412,0.0,0.02923475078497412
-14.46,0.028694016958403522,0.0,0.028694016958403522
-14.455,0.028534186703508244,0.0,0.028534186703508244
-14.45,0.02938173298161558,0.0,0.02938173298161558
-14.445,0.029121502842179126,0.0,0.029121502842179126
-14.44,0.028985111023183383,0.0,0.028985111023183383
-14.435,0.029463947218425098,0.0,0.029463947218425098
-14.43,0.028786703034429865,0.0,0.028786703034429865
-14.425,0.028982366919971473,0.0,0.028982366919971473
-14.42,0.029219571459366607,0.0,0.029219571459366607
-14.415,0.029233035956637184,0.0,0.029233035956637184
-14.41,0.029467105238648393,0.0,0.029467105238648393
-14.405,0.0292629592680258,0.0,0.0292629592680258
-14.4,0.02925049118450372,0.0,0.02925049118450372
-14.395,0.02904941246704692,0.0,0.02904941246704692
-14.39,0.02912963323597666,0.0,0.02912963323597666
-14.385,0.029741724981999573,0.0,0.029741724981999573
-14.38,0.02962575765091793,0.0,0.02962575765091793
-14.375,0.029628575614995586,0.0,0.029628575614995586
-14.37,0.030094321608141985,0.0,0.030094321608141985
-14.365,0.030332872993572544,0.0,0.030332872993572544
-14.36,0.02944087176799633,0.0,0.02944087176799633
-14.355,0.030323635252755284,0.0,0.030323635252755284
-14.35,0.02936448120243342,0.0,0.02936448120243342
-14.345,0.03004633656284131,0.0,0.03004633656284131
-14.34,0.02990458997763404,0.0,0.02990458997763404
-14.335,0.02999662643149597,0.0,0.02999662643149597
-14.33,0.030092703016499522,0.0,0.030092703016499522
-14.325,0.030214326871272772,0.0,0.030214326871272772
-14.32,0.030049871741282486,0.0,0.030049871741282486
-14.315,0.029422193814328614,0.0,0.029422193814328614
-14.31,0.02959819675871833,0.0,0.02959819675871833
-14.305,0.0299893254527388,0.0,0.0299893254527388
-14.3,0.030538920117821746,0.0,0.030538920117821746
-14.295,0.03019705364597652,0.0,0.03019705364597652
-14.29,0.030267019153602106,0.0,0.030267019153602106
-14.285,0.03065305228598867,0.0,0.03065305228598867
-14.28,0.030705098180288732,0.0,0.030705098180288732
-14.275,0.030887298958884736,0.0,0.030887298958884736
-14.27,0.030216693190054718,0.0,0.030216693190054718
-14.265,0.030840387746367888,0.0,0.030840387746367888
-14.26,0.030943917042012294,0.0,0.030943917042012294
-14.255,0.03058082455063866,0.0,0.03058082455063866
-14.25,0.030536349365363823,0.0,0.030536349365363823
-14.245,0.030596459781954133,0.0,0.030596459781954133
-14.24,0.03122970676113885,0.0,0.03122970676113885
-14.235,0.030506344452861867,0.0,0.030506344452861867
-14.23,0.03135229559741874,0.0,0.03135229559741874
-14.225,0.030804898879099877,0.0,0.030804898879099877
-14.22,0.03053489015785215,0.0,0.03053489015785215
-14.215,0.031461578222702014,0.0,0.031461578222702014
-14.21,0.030889621016435092,0.0,0.030889621016435092
-14.205,0.030861822073020777,0.0,0.030861822073020777
-14.2,0.03124910727812419,0.0,0.03124910727812419
