j,ar_cont_s,∆w_cont_s,ar_cont_d,∆w_cont_d,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,0.0,0.0,0.0,-0.0005231714211108675,0.0,0.0,0.0009166666666666665,0.00040467575211829604,0.3038528138528139,25.896103896103895,0.0
1,0.0,0.0,0.0,-3.5595423976923216e-7,0.0,0.0,0.0385204081632653,1.0755752278070315e-5,0.36080925876844244,25.77922077922078,0.0
2,0.0,0.0,0.0,-2.4218337565278005e-10,0.0,0.0,0.15464409722222222,1.0350164250593552e-6,0.37193362193362195,26.181818181818183,0.0
3,0.0,0.0,0.0,-1.647762012347447e-13,0.0,0.0,0.4625886524822696,7.805151175387802e-7,0.40577507598784196,26.493506493506494,0.0
4,0.0,0.0,0.0,-1.1211007535166223e-16,0.0,0.0,0.4919999999999999,8.785335312586484e-7,0.32722550177095633,25.83116883116883,0.0
5,0.0,0.0,0.0,-7.627721055087143e-20,0.0,0.0,0.4605018587360594,5.836127749084307e-7,0.3423453869550524,25.571428571428573,0.0
6,0.0,0.0,0.0,-5.1897323511483186e-23,0.0,0.0,0.49039923954372633,3.090063739728063e-7,0.32270011357463824,26.01298701298701,0.0
7,0.0,0.0,0.0,-3.530978870627794e-26,0.0,0.0,0.4647859922178988,3.1460326078105685e-7,0.33387235332760623,26.181818181818183,0.0
8,0.0,0.0,0.0,-2.4023997657723555e-29,0.0,0.0,0.4687,1.0763887312734617e-7,0.32846753246753246,25.74025974025974,0.0
9,0.0,0.0,0.0,-1.6345395557569312e-32,0.0,0.0,0.4706967213114752,1.0441148511373591e-7,0.294496487119438,25.31168831168831,0.0
10,0.0,0.0,0.0,-1.1121044871044293e-35,0.0,0.0,0.4895483193277309,1.0562103101438676e-7,0.38955582232893154,26.61038961038961,0.0
11,0.0,0.0,0.0,-7.566512452279404e-39,0.0,0.0,0.4845905172413792,1.0888684721514061e-7,0.3658755038065383,25.883116883116884,0.0
12,0.0,0.0,0.0,-5.1480873743766445e-42,0.0,0.0,0.4668333333333331,1.0111708394540712e-7,0.4135642135642136,25.98701298701299,0.0
13,0.0,0.0,0.0,-3.5026445514184373e-45,0.0,0.0,0.4811643835616439,9.365265313957946e-8,0.346676154895333,25.98701298701299,0.0
14,0.0,0.0,0.0,-2.383121722961588e-48,0.0,0.0,0.478286384976526,7.92192019487201e-8,0.32077312359002497,25.662337662337663,0.0
15,0.0,0.0,0.0,-1.621423202691669e-51,0.0,0.0,0.4794685990338164,7.439653404118366e-8,0.33163937511763597,26.25974025974026,0.0
16,0.0,0.0,0.0,-1.1031804111792258e-54,0.0,0.0,0.48200000000000004,1.0107643871156126e-7,0.3377272727272727,27.233766233766232,0.0
17,0.0,0.0,0.0,-7.505795017545412e-58,0.0,0.0,0.4709407216494845,7.925880204051528e-8,0.3250769848707993,25.5974025974026,0.0
18,0.0,0.0,0.0,-5.10677657747649e-61,0.0,0.0,0.48131648936170207,7.675810945960479e-8,0.3173528599060514,26.4025974025974,0.0
19,0.0,0.0,0.0,-3.4745376007871634e-64,0.0,0.0,0.4679258241758242,7.09455273500821e-8,0.2852147852147852,26.61038961038961,0.0
20,0.0,0.0,0.0,-2.363998376692131e-67,0.0,0.0,0.5085000000000001,5.3714701030442995e-8,0.31384044526901667,25.766233766233768,0.0
21,0.0,0.0,0.0,-1.608412101724543e-70,0.0,0.0,0.501405325443787,6.22836933756223e-8,0.34158149542764926,26.194805194805195,0.0
22,0.0,0.0,0.0,-1.0943279464488699e-73,0.0,0.0,0.4751533742331288,6.88539030826517e-8,0.3701697075930205,25.792207792207794,0.0
23,0.0,0.0,0.0,-7.445564809509828e-77,0.0,0.0,0.4820063694267517,7.211942066465605e-8,0.32632972123417986,25.25974025974026,0.0
24,0.0,0.0,0.0,-5.0657972788234285e-80,0.0,0.0,0.49574999999999997,4.667582920893547e-8,0.34415584415584416,25.883116883116884,0.0
25,0.0,0.0,0.0,-3.446656194216151e-83,0.0,0.0,0.47430555555555565,5.000529046022115e-8,0.30726911976911975,26.74025974025974,0.0
26,0.0,0.0,0.0,-2.3450284856024987e-86,0.0,0.0,0.4798913043478262,5.9061273703283707e-8,0.31648785996612083,25.883116883116884,0.0
27,0.0,0.0,0.0,-1.5955054082607116e-89,0.0,0.0,0.49422348484848494,4.9235969051039266e-8,0.31965761511216056,26.051948051948052,0.0
28,0.0,0.0,0.0,-1.0855465182697512e-92,0.0,0.0,0.4965999999999998,4.5782291938540665e-8,0.3165714285714286,26.350649350649352,0.0
