i,ar_1,ar_2,ar_3,ar_4,ar_5,ar_6,omega_range_1,omega_range_2,omega_range_4
52.0,0.454257,0.514166,0.03051802,0.513258,0.137331,0.0,0.27252331,0.36507002,0.27252331
53.0,0.480732,0.499352,0.03009159,0.496508,0.1337295,0.0,0.22710276,0.36507002,0.27252331
54.0,0.472175,0.485838,0.0294024,0.486256,0.1310015,0.0,0.22710276,0.36507002,0.27252331
55.0,0.4609825,0.466382,0.02847297,0.471016,0.1262055,0.0,0.22710276,0.36507002,0.27252331
56.0,0.4853625,0.509274,0.0267973,0.455168,0.12255,0.0,0.1892523,0.30422502,0.27252331
57.0,0.480014,0.500034,0.02659009,0.509594,0.1199415,0.0,0.1892523,0.30422502,0.22710276
58.0,0.4670385,0.477752,0.02509159,0.48885,0.1159445,0.0,0.1892523,0.30422502,0.22710276
59.0,0.461181,0.468034,0.02397147,0.481228,0.1127685,0.0,0.1892523,0.30422502,0.22710276
60.0,0.484836,0.511204,0.02393694,0.463958,0.110965,0.0,0.15771025,0.25352085,0.22710276
61.0,0.480955,0.502244,0.0227027,0.519226,0.1081415,0.0,0.15771025,0.25352085,0.1892523
62.0,0.469321,0.484718,0.02189189,0.50179,0.1035,0.0,0.15771025,0.25352085,0.1892523
63.0,0.460222,0.465472,0.02132733,0.485472,0.1010935,0.0,0.15771025,0.25352085,0.1892523
64.0,0.4841565,0.50899,0.02088288,0.470032,0.0993735,0.0,0.13142521,0.21126738,0.1892523
65.0,0.4761575,0.495518,0.0197988,0.460752,0.0952995,0.0,0.13142521,0.21126738,0.1892523
66.0,0.4677655,0.482922,0.01861562,0.51009,0.092412,0.0,0.13142521,0.21126738,0.15771025
67.0,0.491557,0.464676,0.01856306,0.494006,0.0896605,0.0,0.10952101,0.21126738,0.15771025
68.0,0.4825375,0.507972,0.0174009,0.478426,0.086512,0.0,0.10952101,0.17605615,0.15771025
69.0,0.475214,0.496818,0.01696847,0.46809,0.084138,0.0,0.10952101,0.17605615,0.15771025
70.0,0.465354,0.480544,0.01680631,0.451586,0.082207,0.0,0.10952101,0.17605615,0.15771025
71.0,0.455197,0.464046,0.01642492,0.502592,0.0803245,0.0,0.10952101,0.17605615,0.13142521
72.0,0.4837375,0.511996,0.01573724,0.489588,0.077501,0.0,0.09126751,0.14671346,0.13142521
73.0,0.474366,0.495404,0.01507958,0.475768,0.0755665,0.0,0.09126751,0.14671346,0.13142521
74.0,0.4663855,0.483714,0.01395345,0.463152,0.0726985,0.0,0.09126751,0.14671346,0.13142521
75.0,0.487883,0.459576,0.01387838,0.505558,0.070136,0.0,0.07605626,0.14671346,0.10952101
76.0,0.482185,0.509184,0.01319069,0.498032,0.067945,0.0,0.07605626,0.12226121,0.10952101
77.0,0.474159,0.495484,0.01297598,0.484702,0.066373,0.0,0.07605626,0.12226121,0.10952101
78.0,0.4627095,0.478006,0.01230631,0.469384,0.0644895,0.0,0.07605626,0.12226121,0.10952101
79.0,0.4899405,0.465282,0.01212913,0.457684,0.0624645,0.0,0.06338021,0.12226121,0.10952101
80.0,0.4836255,0.512242,0.01132132,0.508962,0.0608865,0.0,0.06338021,0.10188434,0.09126751
81.0,0.466701,0.485856,0.01113213,0.486232,0.0583065,0.0,0.06338021,0.10188434,0.09126751
82.0,0.459848,0.475982,0.01081231,0.475988,0.0568115,0.0,0.06338021,0.10188434,0.09126751
83.0,0.4841855,0.515014,0.01017868,0.457646,0.0543765,0.0,0.05281684,0.08490362,0.09126751
