i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_wApc,∆w_Ac,∆w_Ap,∆w_Apc
1.0,0.48992425,0.475841,0.36423874,0.49204175,0.504524,0.2159497,0.40907125,0.94692419,0.17044635,0.45665711,0.4828,0.49545,5.186e-5,9.33e-6,0.425718,0.37385,0.37568,8.053e-5,1.81e-6,1.81e-6
2.0,0.483402,0.471376,0.35974925,0.4861445,0.497798,0.21152628,0.40907125,0.94692419,0.17044635,0.45665711,0.4753,0.48885,5.186e-5,9.33e-6,0.4255055,0.36305,0.3606345,1.301e-5,2.9e-7,2.9e-7
3.0,0.47929625,0.465857,0.35821321,0.480612,0.489931,0.20978679,0.40907125,0.94692419,0.17044635,0.45665711,0.5212,0.4783,4.321e-5,9.33e-6,0.424242,0.35325,0.353357,2.1e-6,5.0e-8,5.0e-8
4.0,0.4741755,0.460343,0.35303453,0.47527825,0.482965,0.20594294,0.40907125,0.94692419,0.17044635,0.45665711,0.5164,0.46325,4.321e-5,7.78e-6,0.42529,0.341,0.341334,3.4e-7,1.0e-8,1.0e-8
5.0,0.468572,0.455968,0.34698498,0.468784,0.475795,0.20385661,0.40907125,0.94692419,0.17044635,0.45665711,0.5067,0.45125,4.321e-5,3.75e-6,0.4250815,0.3254,0.3273675,5.0e-8,0.0,0.0
6.0,0.4639075,0.532043,0.34660736,0.46324525,0.467861,0.19977703,0.40907125,0.78910349,0.17044635,0.45665711,0.49515,0.44475,4.321e-5,1.26e-6,0.427753,0.32465,0.3210455,1.0e-8,0.0,0.0
7.0,0.45869725,0.525117,0.34199399,0.4579,0.45846,0.19653679,0.40907125,0.78910349,0.17044635,0.45665711,0.48335,0.43235,4.321e-5,2.4e-7,0.424587,0.30715,0.3072575,0.0,0.0,0.0
8.0,0.45370925,0.520232,0.33798799,0.45182175,0.526283,0.19493168,0.40907125,0.78910349,0.17044635,0.38054759,0.5209,0.41515,3.601e-5,4.0e-8,0.423436,0.29535,0.2935625,0.0,0.0,0.0
9.0,0.4959325,0.514808,0.33390991,0.49175875,0.515272,0.19088664,0.34089271,0.78910349,0.14203863,0.38054759,0.50625,0.4052,3.601e-5,1.0e-8,0.4232435,0.2918,0.28527,0.0,0.0,0.0
10.0,0.49076075,0.509048,0.33078529,0.48600475,0.508756,0.18728378,0.34089271,0.78910349,0.14203863,0.38054759,0.51025,0.39695,3.601e-5,0.0,0.4241475,0.27655,0.269886,0.0,0.0,0.0
11.0,0.484867,0.503133,0.32552102,0.4804145,0.500267,0.18425676,0.34089271,0.78910349,0.14203863,0.38054759,0.50455,0.3832,3.601e-5,0.0,0.42598,0.2532,0.2562395,0.0,0.0,0.0
12.0,0.47949475,0.496281,0.32162688,0.475266,0.491997,0.1826952,0.34089271,0.78910349,0.14203863,0.38054759,0.49145,0.374,3.601e-5,0.0,0.4237705,0.2476,0.2499665,0.0,0.0,0.0
13.0,0.47500925,0.490651,0.32008634,0.468879,0.48365,0.1785991,0.34089271,0.78910349,0.14203863,0.38054759,0.4758,0.36315,3.601e-5,0.0,0.4258735,0.22685,0.229068,0.0,0.0,0.0
14.0,0.4688035,0.484908,0.31319294,0.462475,0.475207,0.17563739,0.34089271,0.78910349,0.14203863,0.38054759,0.474,0.35085,3.601e-5,0.0,0.4230385,0.2322,0.2292675,0.0,0.0,0.0
15.0,0.46397925,0.478364,0.31152402,0.4572535,0.466736,0.1726464,0.34089271,0.78910349,0.14203863,0.38054759,0.51725,0.33805,3.001e-5,0.0,0.423133,0.2177,0.218875,0.0,0.0,0.0
16.0,0.45894175,0.472875,0.30902177,0.45100425,0.45759,0.17048649,0.34089271,0.78910349,0.14203863,0.38054759,0.512,0.32845,3.001e-5,0.0,0.4190715,0.2064,0.2036785,0.0,0.0,0.0
17.0,0.45357325,0.467987,0.30493694,0.49090275,0.52327,0.16776426,0.34089271,0.78910349,0.11836552,0.317123,0.5041,0.3136,3.001e-5,0.0,0.4207595,0.1958,0.1911275,0.0,0.0,0.0
18.0,0.494306,0.461871,0.29938589,0.48566925,0.515915,0.16408258,0.28407726,0.78910349,0.11836552,0.317123,0.4889,0.30745,3.001e-5,0.0,0.4231565,0.1785,0.1815255,0.0,0.0,0.0
19.0,0.48854125,0.45645,0.29657057,0.479442,0.506203,0.16314865,0.28407726,0.78910349,0.11836552,0.317123,0.48505,0.29985,3.001e-5,0.0,0.422232,0.1732,0.1763905,0.0,0.0,0.0
20.0,0.4830745,0.527645,0.2937958,0.4736815,0.497326,0.15903979,0.28407726,0.65758624,0.11836552,0.317123,0.477,0.284,3.001e-5,0.0,0.423273,0.16935,0.1654125,0.0,0.0,0.0
21.0,0.478712,0.52405,0.29088889,0.467995,0.489543,0.15641892,0.28407726,0.65758624,0.11836552,0.317123,0.4561,0.27255,3.001e-5,0.0,0.4243985,0.1554,0.152305,0.0,0.0,0.0
22.0,0.4722295,0.514364,0.28443393,0.46237525,0.480859,0.15369219,0.28407726,0.65758624,0.11836552,0.317123,0.49695,0.2521,2.501e-5,0.0,0.4236355,0.13635,0.138947,0.0,0.0,0.0
23.0,0.46709625,0.507511,0.28251727,0.4560435,0.473767,0.15110811,0.28407726,0.65758624,0.11836552,0.317123,0.48715,0.24935,2.501e-5,0.0,0.4214695,0.13225,0.1326245,0.0,0.0,0.0
24.0,0.46144625,0.50182,0.27931757,0.496326,0.465439,0.1485548,0.28407726,0.65758624,0.09863794,0.317123,0.4781,0.23885,2.501e-5,0.0,0.4221,0.11825,0.122231,0.0,0.0,0.0
