i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,15.0,17.16175127,32.7354829,1.00563,-0.50035,0.22648496,0.49351504,0.08380712,0.19619288
2.0,14.28571429,16.0750181,31.36053908,1.00608,-0.50036,0.22647668,0.49352332,0.08380715,0.19619285
3.0,13.60544218,16.0750181,31.13757735,1.00619,-0.5007,0.22647759,0.49352241,0.08380677,0.19619323
4.0,12.95756398,13.98819544,28.08000652,1.00565,-0.50037,0.22648444,0.49351556,0.08380646,0.19619354
5.0,12.34053712,13.83533697,26.49042019,1.00548,-0.5004,0.22648654,0.49351346,0.08380633,0.19619367
6.0,11.7528925,12.63680611,26.23828451,1.00586,-0.50072,0.2264766,0.4935234,0.08380648,0.19619352
7.0,11.19323095,11.77232871,22.99379918,1.00556,-0.5007,0.22648685,0.49351315,0.08380652,0.19619348
8.0,10.66021995,9.66167824,20.56816101,1.00669,-0.50075,0.2264781,0.4935219,0.08380696,0.19619304
9.0,10.15259043,9.66167824,20.94322188,1.00569,-0.50059,0.22648061,0.49351939,0.08380761,0.19619239
10.0,9.66913374,9.66167824,20.58158232,1.00565,-0.5004,0.22647665,0.49352335,0.08380723,0.19619277
11.0,9.2086988,9.66167824,18.99197417,1.00558,-0.50043,0.22648211,0.49351789,0.08380775,0.19619225
12.0,8.77018934,9.3413203,18.08319391,1.00598,-0.50047,0.22648088,0.49351912,0.0838074,0.1961926
13.0,8.35256127,7.65674408,16.07255835,1.00531,-0.50029,0.22648218,0.49351782,0.08380709,0.19619291
14.0,7.95482026,7.65674408,16.49012823,1.00564,-0.50072,0.22648029,0.49351971,0.08380758,0.19619242
15.0,7.57601929,7.32653314,14.92695956,1.00579,-0.50059,0.2264805,0.4935195,0.08380758,0.19619242
16.0,7.21525647,6.87587795,13.64856209,1.00557,-0.5004,0.22648149,0.49351851,0.08380754,0.19619246
17.0,6.87167283,6.70871401,14.09621789,1.0056,-0.50041,0.22648132,0.49351868,0.08380709,0.19619291
18.0,6.54445031,5.18501588,12.48712667,1.00616,-0.50043,0.22647988,0.49352012,0.08380652,0.19619348
19.0,6.23280982,5.18501588,11.57718498,1.00585,-0.50037,0.22648224,0.49351776,0.0838069,0.1961931
20.0,5.93600936,5.18501588,11.33380991,1.00577,-0.50046,0.22648343,0.49351657,0.08380672,0.19619328
21.0,5.65334224,5.18501588,10.57421137,1.00611,-0.50034,0.22648141,0.49351859,0.08380616,0.19619384
22.0,5.38413547,5.18501588,10.19887123,1.00529,-0.50046,0.22648009,0.49351991,0.08380632,0.19619368
23.0,5.12774807,5.18501588,9.91795026,1.00553,-0.50039,0.22648076,0.49351924,0.08380633,0.19619367
24.0,4.88356959,5.16674424,9.42083174,1.0052,-0.5004,0.22648029,0.49351971,0.08380628,0.19619372
25.0,4.65101865,4.02506065,8.57704743,1.00559,-0.50043,0.22648027,0.49351973,0.08380693,0.19619307
26.0,4.42954158,4.02506065,8.30542315,1.00561,-0.50035,0.22648422,0.49351578,0.08380639,0.19619361
27.0,4.21861102,4.02506065,8.08240389,1.006,-0.50015,0.22648149,0.49351851,0.08380657,0.19619343
28.0,4.01772479,4.02506065,7.71438279,1.0057,-0.50037,0.22648247,0.49351753,0.08380651,0.19619349
29.0,3.82640456,3.9671866,6.81391822,1.00559,-0.50043,0.22648395,0.49351605,0.08380632,0.19619368
30.0,3.64419482,3.68598124,7.20271582,1.00551,-0.50024,0.22648223,0.49351777,0.08380638,0.19619362
31.0,3.47066173,3.68598124,6.3064158,1.00563,-0.50039,0.22648428,0.49351572,0.08380658,0.19619342
32.0,3.30539212,3.49666454,6.17228994,1.00586,-0.50018,0.22648149,0.49351851,0.0838066,0.1961934
