omega,S,S_edge,S_cont
-0.09493095162753967,0,0,0
-0.09439233348613583,6.415959013076809,6.415959013076809,0.0
-0.09331506754179542,6.415605707675186,6.415605707675186,0.0
-0.09223775725654243,6.415430872567652,6.415430872567652,0.0
-0.09116042259605725,6.4153153977519395,6.4153153977519395,0.0
-0.09008307089083042,6.415227877361185,6.415227877361185,0.0
-0.08900570599457755,6.415158303096302,6.415158303096302,0.0
-0.08792833036258123,6.415100026079451,6.415100026079451,0.0
-0.08685094565379957,6.415050210252018,6.415050210252018,0.0
-0.08577355308955192,6.415006479066118,6.415006479066118,0.0
-0.08469615355705613,6.414967229846643,6.414967229846643,0.0
-0.08361874776975249,6.414931995481239,6.414931995481239,0.0
-0.08254133631371476,6.41489972610557,6.41489972610557,0.0
-0.08146391964072949,6.41486987228123,6.41486987228123,0.0
-0.08038649815079271,6.41484236657633,6.41484236657633,0.0
-0.07930907219706985,6.4148167186524745,6.4148167186524745,0.0
-0.0782316420883652,6.4147928905062175,6.4147928905062175,0.0
-0.07715420807912021,6.414770272732085,6.414770272732085,0.0
-0.07607677037365215,6.414748877815917,6.414748877815917,0.0
-0.07499932916089212,6.4147285100143945,6.4147285100143945,0.0
-0.07392188460158094,6.414709029357017,6.414709029357017,0.0
-0.07284443686310255,6.414690654878435,6.414690654878435,0.0
-0.07176698610475091,6.414673071181608,6.414673071181608,0.0
-0.07068953244237217,6.414656076294794,6.414656076294794,0.0
-0.06961207597585342,6.41463968214188,6.41463968214188,0.0
-0.06853461680682255,6.41462389750783,6.41462389750783,0.0
-0.06745715503141658,6.414608648211053,6.414608648211053,0.0
-0.06637969073597183,6.414593891719896,6.414593891719896,0.0
-0.0653022240013777,6.414579605697167,6.414579605697167,0.0
-0.06422475492060817,6.414565956354408,6.414565956354408,0.0
-0.0631472835721172,6.414552604580998,6.414552604580998,0.0
-0.06206981001237734,6.414539627749948,6.414539627749948,0.0
-0.06099233429740926,6.41452694310042,6.41452694310042,0.0
-0.059914856486413134,6.4145146712413625,6.4145146712413625,0.0
-0.05883737663476428,6.414502646015604,6.414502646015604,0.0
-0.05775989478440219,6.414490873599585,6.414490873599585,0.0
-0.05668241098261333,6.414479411474046,6.414479411474046,0.0
-0.055604925277217214,6.414468208499626,6.414468208499626,0.0
-0.054527437710061875,6.41445724471054,6.41445724471054,0.0
-0.053449948313040264,6.414446421539754,6.414446421539754,0.0
-0.05237245711767351,6.41443583312299,6.41443583312299,0.0
-0.05129496416443259,6.414425491879915,6.414425491879915,0.0
-0.0502174694899594,6.414415339796111,6.414415339796111,0.0
-0.04913997312605714,6.414405377271994,6.414405377271994,0.0
-0.04806247510719115,6.414395635599058,6.414395635599058,0.0
-0.046984975459151354,6.414385980191974,6.414385980191974,0.0
-0.04590747420000118,6.414376453641649,6.414376453641649,0.0
-0.0448299713552725,6.414367102274071,6.414367102274071,0.0
-0.043752466953129156,6.414357911096845,6.414357911096845,0.0
-0.042674961017305876,6.414348842366953,6.414348842366953,0.0
-0.04159745357793456,6.414340009988699,6.414340009988699,0.0
-0.04051994465687202,6.4143312015331295,6.4143312015331295,0.0
-0.03944243426207195,6.414322463898921,6.414322463898921,0.0
-0.03836492241118576,6.4143138656449885,6.4143138656449885,0.0
-0.037287409121823364,6.414305337717493,6.414305337717493,0.0
-0.036209894412122134,6.414296955447702,6.414296955447702,0.0
-0.03513237830279592,6.414288674177736,6.414288674177736,0.0
-0.03405486081003446,6.414280484701181,6.414280484701181,0.0
-0.03297734195462504,6.414272450959219,6.414272450959219,0.0
-0.031899821751805855,6.414264442943943,6.414264442943943,0.0
-0.030822300208683914,6.414256493855119,6.414256493855119,0.0
-0.02974477733822896,6.414248640291393,6.414248640291393,0.0
-0.02866725314811619,6.414240782618948,6.414240782618948,0.0
-0.027589727652831967,6.414233101560805,6.414233101560805,0.0
-0.02651220087107397,6.414225466530657,6.414225466530657,0.0
-0.025434672818235297,6.414217968770678,6.414217968770678,0.0
-0.024357143501476067,6.41421041902047,6.41421041902047,0.0
-0.023279612930364183,6.41420303520513,6.41420303520513,0.0
-0.02220208111550801,6.41419561178634,6.41419561178634,0.0
-0.02112454806263778,6.414188296225181,6.414188296225181,0.0
-0.020047013786236377,6.414181045263511,6.414181045263511,0.0
-0.018969478288575384,6.414173756779294,6.414173756779294,0.0
-0.01789194157159181,6.414166528911049,6.414166528911049,0.0
-0.01681440364665062,6.414159375762131,6.414159375762131,0.0
-0.015736864525967134,6.414152293351796,6.414152293351796,0.0
-0.014659324217196984,6.414145231376161,6.414145231376161,0.0
-0.01358178272678843,6.414138225764404,6.414138225764404,0.0
-0.012504240064265634,6.414131277205865,6.414131277205865,0.0
-0.011426696233231285,6.414124314514914,6.414124314514914,0.0
-0.010349151236669248,6.414117401509526,6.414117401509526,0.0
-0.00927160508322205,6.4141105417382285,6.4141105417382285,0.0
-0.008194057780542252,6.414103719866249,6.414103719866249,0.0
-0.007116509335145703,6.414096937695265,6.414096937695265,0.0
-0.0060389597454937535,6.414090097534654,6.414090097534654,0.0
-0.004961409015864297,6.414083366320478,6.414083366320478,0.0
-0.0038838571514083825,6.414076587511538,6.414076587511538,0.0
-0.002806304150563803,6.414069837727842,6.414069837727842,0.0
-0.001728750019552031,6.414063133013179,6.414063133013179,0.0
