i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
64.0,0.0247,0.8114,0.8344,0.8809,-0.8684,0.5922,0.1078,0.1708,0.1292
65.0,0.0224,0.8033,0.8125,0.8809,-0.8692,0.5922,0.1078,0.1708,0.1292
66.0,0.0204,0.8017,0.8121,0.8809,-0.8693,0.5922,0.1078,0.1708,0.1292
67.0,0.0185,0.796,0.8057,0.8808,-0.8692,0.5922,0.1078,0.1708,0.1292
68.0,0.0169,0.7931,0.8032,0.8808,-0.8694,0.5923,0.1077,0.1708,0.1292
69.0,0.0153,0.7873,0.7977,0.8809,-0.8696,0.5923,0.1077,0.1707,0.1293
70.0,0.0139,0.7873,0.7988,0.8808,-0.8695,0.5923,0.1077,0.1707,0.1293
71.0,0.0127,0.7829,0.7919,0.8809,-0.8696,0.5923,0.1077,0.1708,0.1292
72.0,0.0115,0.7783,0.7839,0.8808,-0.8697,0.5923,0.1077,0.1708,0.1292
73.0,0.0105,0.774,0.7793,0.8808,-0.8699,0.5923,0.1077,0.1708,0.1292
74.0,0.0095,0.774,0.7788,0.8807,-0.8697,0.5923,0.1077,0.1708,0.1292
75.0,0.0086,0.7717,0.7791,0.8808,-0.8695,0.5922,0.1078,0.1708,0.1292
76.0,0.0079,0.7673,0.7735,0.8808,-0.8695,0.5922,0.1078,0.1708,0.1292
77.0,0.0071,0.7673,0.7728,0.8808,-0.8699,0.5922,0.1078,0.1708,0.1292
78.0,0.0065,0.766,0.7693,0.8808,-0.8701,0.5922,0.1078,0.1708,0.1292
79.0,0.0059,0.7644,0.7675,0.8808,-0.8701,0.5922,0.1078,0.1708,0.1292
80.0,0.0054,0.7625,0.7654,0.8807,-0.8701,0.5922,0.1078,0.1708,0.1292
81.0,0.0049,0.7608,0.763,0.8807,-0.8706,0.5922,0.1078,0.1708,0.1292
82.0,0.0044,0.7584,0.7601,0.8807,-0.8704,0.5922,0.1078,0.1708,0.1292
83.0,0.004,0.7574,0.7597,0.8807,-0.8704,0.5922,0.1078,0.1708,0.1292
84.0,0.0037,0.7536,0.7564,0.8807,-0.8703,0.5922,0.1078,0.1708,0.1292
85.0,0.0033,0.7536,0.7564,0.8807,-0.8702,0.5922,0.1078,0.1708,0.1292
86.0,0.003,0.7531,0.7548,0.8807,-0.8702,0.5922,0.1078,0.1708,0.1292
87.0,0.0028,0.7531,0.7554,0.8807,-0.8703,0.5922,0.1078,0.1708,0.1292
88.0,0.0025,0.7526,0.7538,0.8807,-0.8704,0.5922,0.1078,0.1708,0.1292
89.0,0.0023,0.7515,0.7538,0.8807,-0.8703,0.5922,0.1078,0.1708,0.1292
90.0,0.0021,0.7515,0.7526,0.8807,-0.8701,0.5922,0.1078,0.1708,0.1292
91.0,0.0019,0.7493,0.7504,0.8807,-0.8703,0.5922,0.1078,0.1708,0.1292
92.0,0.0017,0.7493,0.7503,0.8807,-0.8702,0.5922,0.1078,0.1708,0.1292
93.0,0.0016,0.7485,0.7491,0.8807,-0.8701,0.5922,0.1078,0.1708,0.1292
