i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
28.0,0.4909,0.5376,0.224,0.487,0.507,0.2599,4.37708932,5.25250718,3.64757443,5.25250718,0.513,0.496,7.768e-5,0.00048098,0.4966,0.581,0.5306,1.01797108,5.394e-5,0.00013423
29.0,0.4824,0.523,0.219,0.4789,0.4976,0.2465,4.37708932,5.25250718,3.64757443,5.25250718,0.499,0.475,7.768e-5,0.00048098,0.4917,0.46,0.4952,1.01797108,6.473e-5,0.00013423
30.0,0.4833,0.5118,0.2142,0.468,0.4795,0.2564,4.37708932,5.25250718,3.64757443,5.25250718,0.465,0.449,7.768e-5,0.00048098,0.4843,0.525,0.4785,1.01797108,5.394e-5,0.00013423
31.0,0.4831,0.5109,0.2157,0.4987,0.4742,0.2462,4.37708932,5.25250718,3.03964536,5.25250718,0.527,0.472,6.473e-5,0.00040081,0.4789,0.546,0.4512,1.01797108,4.495e-5,0.00013423
32.0,0.4764,0.5018,0.2099,0.4904,0.4537,0.2369,4.37708932,5.25250718,3.03964536,5.25250718,0.449,0.546,7.768e-5,0.00033401,0.4702,0.422,0.5163,1.01797108,5.394e-5,0.00011186
33.0,0.4706,0.4917,0.2033,0.4845,0.5263,0.2383,4.37708932,5.25250718,3.03964536,4.37708932,0.489,0.543,6.473e-5,0.00033401,0.4668,0.418,0.4792,1.01797108,5.394e-5,0.00011186
34.0,0.4726,0.4949,0.2061,0.4783,0.5141,0.2277,4.37708932,5.25250718,3.03964536,4.37708932,0.547,0.532,5.394e-5,0.00033401,0.458,0.488,0.46,1.01797108,4.495e-5,0.00011186
35.0,0.4661,0.4828,0.1992,0.4702,0.4983,0.222,4.37708932,5.25250718,3.03964536,4.37708932,0.463,0.51,6.473e-5,0.00033401,0.4851,0.464,0.5158,0.84830923,4.495e-5,9.322e-5
36.0,0.4635,0.4744,0.1989,0.4667,0.4966,0.2136,4.37708932,5.25250718,3.03964536,4.37708932,0.573,0.451,4.495e-5,0.00033401,0.4813,0.509,0.4954,0.84830923,3.746e-5,9.322e-5
37.0,0.491,0.4722,0.1922,0.4942,0.4827,0.208,3.64757443,5.25250718,2.5330378,4.37708932,0.494,0.446,5.394e-5,0.00033401,0.4762,0.473,0.4568,0.84830923,3.746e-5,9.322e-5
38.0,0.4861,0.5225,0.1893,0.4876,0.5323,0.2043,3.64757443,4.37708932,2.5330378,3.64757443,0.465,0.488,5.394e-5,0.00027834,0.4683,0.521,0.5125,0.84830923,3.122e-5,7.768e-5
39.0,0.4815,0.5093,0.1808,0.48,0.5144,0.1977,3.64757443,4.37708932,2.5330378,3.64757443,0.496,0.456,4.495e-5,0.00027834,0.4577,0.502,0.483,0.84830923,3.122e-5,7.768e-5
40.0,0.4758,0.5044,0.1826,0.4603,0.4934,0.189,3.64757443,4.37708932,2.5330378,3.64757443,0.453,0.548,4.495e-5,0.00023195,0.485,0.481,0.4555,0.70692436,3.122e-5,7.768e-5
41.0,0.4722,0.5009,0.1763,0.5002,0.5012,0.1937,3.64757443,4.37708932,2.11086483,3.64757443,0.48,0.563,4.495e-5,0.00019329,0.4816,0.503,0.5202,0.70692436,2.601e-5,6.473e-5
42.0,0.4653,0.486,0.1724,0.4868,0.4771,0.1886,3.64757443,4.37708932,2.11086483,3.64757443,0.524,0.493,3.122e-5,0.00023195,0.4742,0.544,0.4881,0.70692436,2.168e-5,6.473e-5
43.0,0.4684,0.4941,0.17,0.4809,0.454,0.1768,3.64757443,4.37708932,2.11086483,3.64757443,0.489,0.43,3.746e-5,0.00027834,0.4654,0.47,0.4662,0.70692436,2.601e-5,6.473e-5
44.0,0.4633,0.4738,0.1649,0.4732,0.5134,0.172,3.64757443,4.37708932,2.11086483,3.03964536,0.56,0.449,2.601e-5,0.00023195,0.4925,0.518,0.523,0.58910363,2.168e-5,5.394e-5
45.0,0.4846,0.47,0.1644,0.4679,0.5078,0.1628,3.03964536,4.37708932,2.11086483,3.03964536,0.484,0.453,3.122e-5,0.00023195,0.4793,0.455,0.4944,0.58910363,2.601e-5,5.394e-5
46.0,0.4835,0.4724,0.1601,0.4899,0.4834,0.1583,3.03964536,4.37708932,1.75905403,3.03964536,0.544,0.537,2.601e-5,0.00019329,0.4787,0.462,0.5509,0.58910363,2.168e-5,4.495e-5
47.0,0.4845,0.5169,0.1608,0.4873,0.4707,0.1577,3.03964536,3.64757443,1.75905403,3.03964536,0.499,0.481,2.601e-5,0.00019329,0.4751,0.467,0.5125,0.58910363,1.807e-5,4.495e-5
48.0,0.4766,0.5104,0.1587,0.4803,0.5278,0.1529,3.03964536,3.64757443,1.75905403,2.5330378,0.442,0.48,3.122e-5,0.00019329,0.4699,0.499,0.4888,0.58910363,1.505e-5,4.495e-5
49.0,0.4682,0.4977,0.1542,0.4724,0.5123,0.1477,3.03964536,3.64757443,1.75905403,2.5330378,0.54,0.559,2.168e-5,0.00013423,0.4906,0.533,0.536,0.4909197,1.255e-5,3.746e-5
50.0,0.4645,0.4895,0.1531,0.462,0.5042,0.1432,3.03964536,3.64757443,1.75905403,2.5330378,0.504,0.505,2.168e-5,0.00016108,0.4863,0.485,0.5162,0.4909197,1.505e-5,3.746e-5
51.0,0.4577,0.4846,0.1447,0.4946,0.5002,0.1408,3.03964536,3.64757443,1.46587836,2.5330378,0.512,0.524,1.807e-5,0.00013423,0.482,0.533,0.4732,0.4909197,1.045e-5,3.746e-5
52.0,0.4856,0.4749,0.1438,0.4861,0.4892,0.1402,2.5330378,3.64757443,1.46587836,2.5330378,0.542,0.473,1.505e-5,0.00016108,0.4742,0.49,0.4399,0.4909197,1.255e-5,3.746e-5
53.0,0.4773,0.471,0.1376,0.4749,0.4796,0.1328,2.5330378,3.64757443,1.46587836,2.5330378,0.503,0.475,1.807e-5,0.00016108,0.4683,0.524,0.4788,0.4909197,8.71e-6,3.122e-5
54.0,0.4744,0.5129,0.1341,0.4677,0.5166,0.1357,2.5330378,3.03964536,1.46587836,2.11086483,0.491,0.558,1.505e-5,0.00011186,0.4905,0.472,0.5327,0.40909975,7.26e-6,2.601e-5
55.0,0.469,0.5005,0.1353,0.4937,0.4952,0.1242,2.5330378,3.03964536,1.2215653,2.11086483,0.557,0.491,1.045e-5,0.00013423,0.4849,0.483,0.4964,0.40909975,5.04e-6,2.601e-5
56.0,0.4893,0.4878,0.1283,0.482,0.4896,0.1244,2.11086483,3.03964536,1.2215653,2.11086483,0.508,0.451,1.255e-5,0.00013423,0.4742,0.453,0.4628,0.40909975,3.5e-6,2.601e-5
57.0,0.4821,0.4832,0.1271,0.4719,0.4704,0.1167,2.11086483,3.03964536,1.2215653,2.11086483,0.436,0.511,1.255e-5,0.00011186,0.4639,0.427,0.5154,0.40909975,1.69e-6,2.168e-5
58.0,0.4771,0.5192,0.1229,0.4656,0.5109,0.1064,2.11086483,2.5330378,1.2215653,1.75905403,0.509,0.474,7.26e-6,0.00011186,0.4908,0.437,0.4748,0.34091646,4.7e-7,2.168e-5
59.0,0.4716,0.509,0.116,0.4635,0.5085,0.1095,2.11086483,2.5330378,1.2215653,1.75905403,0.478,0.453,7.26e-6,0.00011186,0.4861,0.38,0.5085,0.34091646,1.1e-7,1.807e-5
60.0,0.4696,0.5048,0.1188,0.4884,0.4858,0.1035,2.11086483,2.5330378,1.01797108,1.75905403,0.447,0.522,5.04e-6,9.322e-5,0.4789,0.353,0.4606,0.34091646,3.0e-8,1.807e-5
61.0,0.4593,0.4998,0.1162,0.481,0.4829,0.0969,2.11086483,2.5330378,1.01797108,1.75905403,0.472,0.475,2.92e-6,9.322e-5,0.471,0.327,0.4902,0.34091646,0.0,1.505e-5
62.0,0.4772,0.4867,0.1091,0.4704,0.5201,0.0963,1.75905403,2.5330378,1.01797108,1.46587836,0.434,0.465,2.43e-6,9.322e-5,0.4587,0.328,0.4594,0.34091646,0.0,1.505e-5
63.0,0.477,0.4738,0.1059,0.4623,0.503,0.0934,1.75905403,2.5330378,1.01797108,1.46587836,0.41,0.561,8.1e-7,7.768e-5,0.4568,0.31,0.52,0.34091646,0.0,1.255e-5
64.0,0.4686,0.5144,0.1044,0.4858,0.494,0.091,1.75905403,2.11086483,0.84830923,1.46587836,0.376,0.518,2.3e-7,7.768e-5,0.4837,0.275,0.469,0.28409705,0.0,1.255e-5
65.0,0.4702,0.5086,0.1039,0.4789,0.478,0.0882,1.75905403,2.11086483,0.84830923,1.46587836,0.36,0.506,4.0e-8,6.473e-5,0.4757,0.235,0.4918,0.28409705,0.0,7.26e-6
66.0,0.4672,0.4964,0.1002,0.469,0.5186,0.0846,1.75905403,2.11086483,0.84830923,1.2215653,0.335,0.515,1.0e-8,6.473e-5,0.4655,0.258,0.4906,0.28409705,0.0,7.26e-6
67.0,0.465,0.4991,0.1038,0.4912,0.5018,0.0818,1.75905403,2.11086483,0.70692436,1.2215653,0.328,0.528,0.0,6.473e-5,0.4931,0.186,0.4014,0.23674754,0.0,1.41e-6
68.0,0.4808,0.491,0.0971,0.482,0.4926,0.0782,1.46587836,2.11086483,0.70692436,1.2215653,0.307,0.568,0.0,4.495e-5,0.4851,0.195,0.3932,0.23674754,0.0,2.7e-7
69.0,0.4753,0.4842,0.0959,0.4774,0.4804,0.075,1.46587836,2.11086483,0.70692436,1.2215653,0.294,0.466,0.0,6.473e-5,0.4752,0.183,0.3447,0.23674754,0.0,4.0e-8
70.0,0.4706,0.467,0.0944,0.4724,0.4691,0.0775,1.46587836,2.11086483,0.70692436,1.2215653,0.287,0.559,0.0,4.495e-5,0.4708,0.127,0.2881,0.23674754,0.0,1.0e-8
71.0,0.4627,0.4945,0.0913,0.4608,0.5052,0.0736,1.46587836,1.75905403,0.70692436,1.01797108,0.211,0.512,0.0,5.394e-5,0.4589,0.131,0.2502,0.23674754,0.0,0.0
72.0,0.4852,0.4933,0.0883,0.4854,0.499,0.0721,1.2215653,1.75905403,0.58910363,1.01797108,0.233,0.463,0.0,5.394e-5,0.486,0.103,0.2053,0.19728962,0.0,0.0
73.0,0.4789,0.4911,0.0824,0.4809,0.4872,0.0674,1.2215653,1.75905403,0.58910363,1.01797108,0.183,0.499,0.0,4.495e-5,0.4761,0.103,0.1991,0.19728962,0.0,0.0
74.0,0.4732,0.4757,0.0793,0.4671,0.4666,0.0638,1.2215653,1.75905403,0.58910363,1.01797108,0.215,0.533,0.0,3.746e-5,0.4658,0.068,0.1553,0.19728962,0.0,0.0
75.0,0.4664,0.4966,0.0734,0.493,0.5104,0.064,1.2215653,1.46587836,0.4909197,0.84830923,0.15,0.532,0.0,3.746e-5,0.4936,0.07,0.131,0.16440801,0.0,0.0
