i,theta,chi2_min,chi2_avg
1.0,10.0,5.0403,15.0164
2.0,9.09090909,5.0403,14.3463
3.0,8.26446281,5.0403,12.8119
4.0,7.51314801,4.3414,10.9283
5.0,6.83013455,3.3681,9.7017
6.0,6.20921323,2.9507,7.9682
