j,ar_cont,∆w_cont,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,NaN,NaN,0.0,0.4465500000000001,0.002880781657828803,0.4998051948051947,6.220779220779221,0.5255107232031174
1,NaN,NaN,0.0,0.49304846938775526,0.002897549107499173,0.4916512059369202,6.298701298701299,0.4837756146496052
2,NaN,NaN,0.0,0.4874130434782609,0.0027652281118384996,0.5174929418407679,6.35064935064935,0.47394635592644857
3,NaN,NaN,0.0,0.49720248667850797,0.0028706888186027157,0.5079006251297548,6.3896103896103895,0.5000032670065642
4,NaN,NaN,0.0,0.4934772727272727,0.002695442896460524,0.5087839433293978,6.038961038961039,0.5008410906200399
5,NaN,NaN,0.0,0.4899395910780668,0.0026626744932106484,0.5201564235021484,6.1688311688311686,0.5101834874128282
6,NaN,NaN,0.0,0.4864523809523809,0.0027167098261210243,0.5057761286332714,5.961038961038961,0.5152887228744872
7,NaN,NaN,0.0,0.4935916179337232,0.0027189053796992874,0.5102149312675629,5.987012987012987,0.4922445792319935
8,NaN,NaN,0.0,0.487425,0.0026754921733352886,0.4854025974025974,5.987012987012987,0.4790661161518868
9,NaN,NaN,0.0,0.49221311475409835,0.0023075447481543023,0.4907653821588248,5.779220779220779,0.5172356845802325
10,NaN,NaN,0.0,0.4887631578947369,0.0023669410339838964,0.503485987696514,5.8441558441558445,0.5190139714010307
11,NaN,NaN,0.0,0.488390928725702,0.002456041138576015,0.5103643656559425,5.766233766233766,0.5130566335479378
12,NaN,NaN,0.0,0.4894166666666666,0.002329338742776399,0.4959884559884559,5.714285714285714,0.43678275456776583
13,NaN,NaN,0.0,0.47799657534246576,0.0023131306604967793,0.515922433730653,5.662337662337662,0.48506320024884786
14,NaN,NaN,0.0,0.4871764705882352,0.0022575962506742367,0.4918258212375859,5.441558441558442,0.5306487305073457
15,NaN,NaN,0.0,0.4907384987893463,0.002215524391161441,0.4877519574856136,5.5064935064935066,0.49512863829688486
16,NaN,NaN,0.0,0.49559375,0.002213439404895254,0.5169155844155845,5.545454545454546,0.5060898367372567
17,NaN,NaN,0.0,0.4904639175257731,0.002187313908550274,0.5064265631275939,5.3896103896103895,0.4960444063973849
18,NaN,NaN,0.0,0.4824,0.0022309451593816193,0.5012987012987014,5.376623376623376,0.5187878958776654
19,NaN,NaN,0.0,0.48891184573002755,0.002096409377417012,0.5179421129834353,5.376623376623376,0.5054718614595052
20,NaN,NaN,0.0,0.49382142857142847,0.002062623043114877,0.5004823747680892,5.246753246753247,0.4956370723866
21,NaN,NaN,0.0,0.4949334319526627,0.0020804399305455186,0.4816721739798662,5.35064935064935,0.45103896459635695
22,NaN,NaN,0.0,0.49834615384615394,0.002105223506765328,0.49050949050949055,5.012987012987013,0.5153944896842332
23,NaN,NaN,0.0,0.49193290734824285,0.0018240033952964501,0.4789012904028878,5.0,0.5254979590865385
24,NaN,NaN,0.0,0.4935833333333333,0.0020295753184470127,0.5168831168831169,5.025974025974026,0.5084499458631763
25,NaN,NaN,0.0,0.4945746527777778,0.001971603284563543,0.49819624819624814,5.025974025974026,0.5052751632929923
26,NaN,NaN,0.0,0.47363636363636363,0.0018681845748638435,0.501676505312869,5.012987012987013,0.48881269246761927
27,NaN,NaN,0.0,0.4943441064638782,0.0018809322733886631,0.5228877586292036,5.038961038961039,0.4505977212855135
28,NaN,NaN,0.0,0.48064999999999997,0.0018651289345357734,0.5094545454545455,4.935064935064935,0.5418160270238372
29,NaN,NaN,0.0,0.491859243697479,0.0018929521274137055,0.5012004801920767,4.961038961038961,0.577914046354972
30,NaN,NaN,0.0,0.48327777777777775,0.0019055078766276787,0.5060894660894661,4.766233766233766,0.522735718926131
31,NaN,NaN,0.0,0.4876760563380282,0.0017825684652766794,0.5000914578379367,4.636363636363637,0.4716776215568442
32,NaN,NaN,0.0,0.4958750000000001,0.001751301009118683,0.4905844155844157,4.584415584415584,0.41778806282664904
33,NaN,NaN,0.0,0.48537234042553185,0.001731360946667072,0.5143686101132909,4.467532467532467,0.48133686078201143
