j,ar_cont_s,∆w_cont_s,ar_cont_d,∆w_cont_d,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,NaN,NaN,0.0,-3.5595423976923216e-7,0.0,0.0,0.496425,0.0011143504511490615,0.49557529610829104,25.492385786802032,0.0
1,NaN,NaN,0.0,-1.647762012347447e-13,0.0,0.0,0.4969472789115647,0.0012121726297842,0.48298456438412923,25.076142131979694,0.0
2,NaN,NaN,0.0,-7.627721055087143e-20,0.0,0.0,0.4961478260869565,0.0011517942605837285,0.5029794747296403,24.467005076142133,0.0
3,NaN,NaN,0.0,-3.530978870627794e-26,0.0,0.0,0.49549733570159854,0.001127754633898969,0.4907899126326515,24.02030456852792,0.0
4,NaN,NaN,0.0,-1.6345395557569312e-32,0.0,0.0,0.49812727272727275,0.0011607717077161655,0.5026119058606369,24.263959390862944,0.0
5,NaN,NaN,0.0,-7.566512452279404e-39,0.0,0.0,0.4906226765799256,0.0010192127552191377,0.5002264450021701,23.918781725888326,0.0
6,NaN,NaN,0.0,-3.5026445514184373e-45,0.0,0.0,0.4961714285714286,0.0011136670639396076,0.5021223108532754,23.78680203045685,0.0
7,NaN,NaN,0.0,-1.621423202691669e-51,0.0,0.0,0.48839181286549704,0.0008864200511189996,0.4991638713252392,23.67005076142132,0.0
8,NaN,NaN,0.0,-7.505795017545412e-58,0.0,0.0,0.4961500000000001,0.0010591342221170962,0.48879187817258885,22.98477157360406,0.0
9,NaN,NaN,0.0,-3.4745376007871634e-64,0.0,0.0,0.48914959016393444,0.0009384735847911685,0.5000104019305982,22.84771573604061,0.0
10,NaN,NaN,0.0,-1.608412101724543e-70,0.0,0.0,0.4947578947368422,0.0010253534371107696,0.4931872829281325,22.98984771573604,0.0
11,NaN,NaN,0.0,-7.445564809509828e-77,0.0,0.0,0.4967278617710583,0.0011401748079136978,0.49439212375700303,22.21319796954315,0.0
12,NaN,NaN,0.0,-3.446656194216151e-83,0.0,0.0,0.49082222222222227,0.0010116025394598755,0.5038127467569091,22.6751269035533,0.0
13,NaN,NaN,0.0,-1.5955054082607116e-89,0.0,0.0,0.49184931506849316,0.0010233893245501554,0.4971374266972626,22.126903553299492,0.0
14,NaN,NaN,0.0,-7.385817918424896e-96,0.0,0.0,0.49918823529411754,0.0011214433909501377,0.49544341594505825,21.538071065989847,0.0
15,NaN,NaN,0.0,-3.418998521828419e-102,0.0,0.0,0.4952542372881355,0.001002979913230994,0.4921276778800655,21.6497461928934,0.0
16,NaN,NaN,0.0,-1.5827022844827794e-108,0.0,0.0,0.4954124999999999,0.001042290331958191,0.4974746192893402,21.573604060913706,0.0
17,NaN,NaN,0.0,-7.3265504659165665e-115,0.0,0.0,0.49034793814432986,0.0011457985348621725,0.49992150295672194,21.294416243654823,0.0
18,NaN,NaN,0.0,-3.391562788270326e-121,0.0,0.0,0.4946133333333333,0.0009080353422107661,0.4865245346869712,20.913705583756347,0.0
19,NaN,NaN,0.0,-1.5700018992964072e-127,0.0,0.0,0.49232782369145994,0.0009603174941250472,0.49170057753352636,20.741116751269036,0.0
