i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,15.0,49.9212,75.362,0.7546,-0.8659,0.0419,0.5181,0.1953,0.2447
2.0,14.2857,41.3071,64.2895,0.7626,-0.8672,0.0335,0.5265,0.2039,0.2361
3.0,13.6054,35.687,59.894,0.746,-0.869,0.0257,0.5343,0.2117,0.2283
4.0,12.9576,34.4555,55.0384,0.7198,-0.8694,0.0194,0.5406,0.2181,0.2219
5.0,12.3405,29.5197,52.3695,0.6894,-0.8717,0.0164,0.5436,0.2209,0.2191
6.0,11.7529,28.6518,48.4001,0.6236,-0.8728,0.0124,0.5476,0.225,0.215
7.0,11.1932,28.6518,46.9778,0.627,-0.8722,0.012,0.548,0.2253,0.2147
8.0,10.6602,27.12,44.9671,0.6725,-0.872,0.0111,0.5489,0.2262,0.2138
9.0,10.1526,25.1117,43.0716,0.6606,-0.8727,0.013,0.547,0.2243,0.2157
10.0,9.6691,23.3631,41.2946,0.661,-0.8717,0.0126,0.5474,0.2247,0.2153
11.0,9.2087,22.255,38.7562,0.6916,-0.8711,0.0128,0.5472,0.2244,0.2156
12.0,8.7702,22.255,40.1191,0.6357,-0.8756,0.0092,0.5508,0.2279,0.2121
13.0,8.3526,22.255,37.7236,0.664,-0.8735,0.0106,0.5494,0.2266,0.2134
14.0,7.9548,22.255,37.9145,0.6443,-0.8728,0.0103,0.5497,0.2268,0.2132
15.0,7.576,22.255,37.0823,0.639,-0.8736,0.0092,0.5508,0.228,0.212
16.0,7.2153,22.255,37.9682,0.6318,-0.8723,0.0097,0.5503,0.2275,0.2125
17.0,6.8717,22.255,35.2101,0.6556,-0.8718,0.0134,0.5466,0.2239,0.2161
18.0,6.5445,22.255,34.8659,0.7184,-0.8674,0.0238,0.5362,0.2136,0.2264
19.0,6.2328,20.7528,32.5947,0.7504,-0.8639,0.0383,0.5217,0.1988,0.2412
20.0,5.936,20.7528,32.0502,0.762,-0.8608,0.0518,0.5082,0.1856,0.2544
21.0,5.6533,19.5255,31.3439,0.8078,-0.8599,0.0653,0.4947,0.172,0.268
22.0,5.3841,19.5255,30.002,0.8075,-0.8569,0.0789,0.4811,0.1586,0.2814
23.0,5.1277,19.5255,28.7875,0.8285,-0.8548,0.0896,0.4704,0.1478,0.2922
24.0,4.8836,17.6404,25.0954,0.8308,-0.8565,0.096,0.464,0.1414,0.2986
25.0,4.651,15.4357,21.9481,0.8264,-0.8552,0.0995,0.4605,0.1379,0.3021
26.0,4.4295,14.1208,21.3081,0.8318,-0.8574,0.0987,0.4613,0.1385,0.3015
27.0,4.2186,12.8542,19.3485,0.8321,-0.8584,0.0988,0.4612,0.1385,0.3015
28.0,4.0177,11.8289,17.4554,0.8267,-0.8576,0.0978,0.4622,0.1394,0.3006
29.0,3.8264,10.8982,15.8982,0.8356,-0.8548,0.0989,0.4611,0.1383,0.3017
30.0,3.6442,9.2609,14.9824,0.8396,-0.8564,0.0996,0.4604,0.1375,0.3025
31.0,3.4707,9.0347,14.9887,0.8371,-0.8553,0.1006,0.4594,0.1366,0.3034
32.0,3.3054,8.8901,13.1489,0.8368,-0.8567,0.1027,0.4573,0.1344,0.3056
33.0,3.148,8.4139,12.0565,0.8396,-0.8564,0.1037,0.4563,0.1335,0.3065
34.0,2.9981,7.9624,11.9042,0.8442,-0.8578,0.1038,0.4562,0.1333,0.3067
35.0,2.8553,7.3575,10.8337,0.8425,-0.8558,0.1041,0.4559,0.1331,0.3069
36.0,2.7194,6.8527,10.0727,0.8414,-0.856,0.1035,0.4565,0.1336,0.3064
37.0,2.5899,6.6927,10.1251,0.8382,-0.8542,0.1038,0.4562,0.1333,0.3067
38.0,2.4665,6.6927,9.7014,0.8449,-0.8564,0.1045,0.4555,0.1326,0.3074
39.0,2.3491,6.218,9.1004,0.8458,-0.8559,0.105,0.455,0.1321,0.3079
40.0,2.2372,5.8723,8.5896,0.8463,-0.8552,0.1061,0.4539,0.131,0.309
41.0,2.1307,5.6754,8.2307,0.8504,-0.8588,0.107,0.453,0.1302,0.3098
42.0,2.0292,5.1344,7.6721,0.8509,-0.8561,0.108,0.452,0.1291,0.3109
43.0,1.9326,5.0367,7.5739,0.8513,-0.8545,0.1078,0.4522,0.1293,0.3107
44.0,1.8406,4.8059,6.9888,0.8499,-0.8572,0.1076,0.4524,0.1295,0.3105
45.0,1.7529,4.6416,6.6257,0.8495,-0.8582,0.1078,0.4522,0.1294,0.3106
46.0,1.6694,4.3519,6.4254,0.8485,-0.8578,0.108,0.452,0.1291,0.3109
47.0,1.59,4.1528,6.1324,0.851,-0.858,0.1086,0.4514,0.1286,0.3114
48.0,1.5142,4.1528,6.1118,0.848,-0.8569,0.1081,0.4519,0.129,0.311
49.0,1.4421,4.1528,5.9084,0.8495,-0.8587,0.1083,0.4517,0.1288,0.3112
50.0,1.3735,4.1528,5.8142,0.8521,-0.8568,0.1095,0.4505,0.1276,0.3124
51.0,1.3081,3.9787,5.471,0.8499,-0.8582,0.1085,0.4515,0.1286,0.3114
52.0,1.2458,3.8534,5.2622,0.8513,-0.8603,0.11,0.45,0.1271,0.3129
53.0,1.1864,3.6919,4.9915,0.852,-0.8591,0.1106,0.4494,0.1265,0.3135
54.0,1.1299,3.2701,4.6435,0.853,-0.8588,0.1112,0.4488,0.1259,0.3141
55.0,1.0761,3.2701,4.47,0.8528,-0.8596,0.1104,0.4496,0.1267,0.3133
56.0,1.0249,3.1357,4.2009,0.853,-0.8585,0.1109,0.4491,0.1261,0.3139
57.0,0.9761,3.1034,4.3041,0.8545,-0.8579,0.1116,0.4484,0.1254,0.3146
58.0,0.9296,3.1034,4.3239,0.8527,-0.8599,0.1111,0.4489,0.126,0.314
59.0,0.8853,2.9432,3.9202,0.8558,-0.8582,0.1123,0.4477,0.1248,0.3152
60.0,0.8432,2.9432,3.9836,0.8533,-0.8576,0.1118,0.4482,0.1253,0.3147
61.0,0.803,2.929,3.8275,0.8566,-0.8575,0.1123,0.4477,0.1248,0.3152
62.0,0.7648,2.7445,3.6301,0.8565,-0.859,0.1119,0.4481,0.1251,0.3149
63.0,0.7284,2.6779,3.4981,0.8589,-0.8566,0.1126,0.4474,0.1245,0.3155
64.0,0.6937,2.5256,3.4632,0.8549,-0.8582,0.1123,0.4477,0.1247,0.3153
65.0,0.6607,2.5256,3.2523,0.8557,-0.8583,0.1127,0.4473,0.1244,0.3156
66.0,0.6292,2.5256,3.2611,0.858,-0.8581,0.1129,0.4471,0.1241,0.3159
67.0,0.5992,2.3906,3.0777,0.8611,-0.858,0.1133,0.4467,0.1238,0.3162
68.0,0.5707,2.2484,2.9169,0.8588,-0.8571,0.1135,0.4465,0.1236,0.3164
69.0,0.5435,2.1625,2.8094,0.8584,-0.8584,0.1134,0.4466,0.1237,0.3163
70.0,0.5176,2.0438,2.7613,0.8608,-0.859,0.1138,0.4462,0.1233,0.3167
71.0,0.493,2.0438,2.7739,0.8586,-0.8586,0.1139,0.4461,0.1232,0.3168
72.0,0.4695,2.0438,2.6887,0.8607,-0.8579,0.1146,0.4454,0.1224,0.3176
73.0,0.4472,2.0438,2.6049,0.8609,-0.8589,0.1149,0.4451,0.1222,0.3178
74.0,0.4259,1.8151,2.4001,0.8633,-0.8599,0.1151,0.4449,0.122,0.318
75.0,0.4056,1.8151,2.3028,0.8618,-0.8607,0.115,0.445,0.1221,0.3179
76.0,0.3863,1.743,2.2031,0.862,-0.8591,0.1149,0.4451,0.1222,0.3178
77.0,0.3679,1.743,2.2143,0.8625,-0.8587,0.1148,0.4452,0.1222,0.3178
78.0,0.3504,1.6948,2.0889,0.8632,-0.8597,0.1151,0.4449,0.122,0.318
79.0,0.3337,1.58,1.9999,0.8656,-0.859,0.1151,0.4449,0.122,0.318
80.0,0.3178,1.58,2.0064,0.8639,-0.8598,0.1149,0.4451,0.1221,0.3179
81.0,0.3027,1.58,2.045,0.8647,-0.8596,0.1149,0.4451,0.1221,0.3179
82.0,0.2882,1.5168,1.949,0.8642,-0.8584,0.115,0.445,0.1221,0.3179
83.0,0.2745,1.4892,1.825,0.8639,-0.8589,0.1147,0.4453,0.1224,0.3176
84.0,0.2614,1.4397,1.7507,0.8641,-0.8596,0.1149,0.4451,0.1221,0.3179
85.0,0.249,1.3806,1.7136,0.8652,-0.8589,0.1153,0.4447,0.1218,0.3182
86.0,0.2371,1.3806,1.6833,0.8667,-0.8592,0.1152,0.4448,0.1218,0.3182
87.0,0.2258,1.3126,1.6325,0.8655,-0.86,0.1152,0.4448,0.1219,0.3181
88.0,0.2151,1.3126,1.5727,0.866,-0.8601,0.1154,0.4446,0.1216,0.3184
89.0,0.2048,1.271,1.5299,0.8658,-0.8595,0.1154,0.4446,0.1216,0.3184
90.0,0.1951,1.2272,1.4608,0.8662,-0.8601,0.1157,0.4443,0.1214,0.3186
91.0,0.1858,1.2088,1.433,0.8674,-0.8595,0.116,0.444,0.1211,0.3189
92.0,0.177,1.2032,1.3918,0.8664,-0.8607,0.1159,0.4441,0.1211,0.3189
93.0,0.1685,1.1668,1.3718,0.8661,-0.8612,0.1162,0.4438,0.1209,0.3191
94.0,0.1605,1.1041,1.3223,0.8677,-0.8613,0.1165,0.4435,0.1206,0.3194
