j,theta,chi2_min,chi2_avg,chi2_sigma,w_edge_R,w_n0_R,n0_R,eps_R,w_edge_R_sigma,w_n0_R_sigma,n0_R_sigma,w_edge_L,w_n0_L,n0_L,eps_L,w_edge_L_sigma,w_n0_L_sigma,n0_L_sigma
34,0.43056764,1.1761706254184219,1.2764001293327825,0.0013880940282675323,-1.0127772523598388, -0.651316002544311,0.75,0.5,0.00026724779582554384, 0.00038372250613382726,0.0,1.519424479282347, -0.13560629185567802,0.75,0.5,0.0015503359376938181, 0.0002471875257645092,0.0
35,0.39142513,1.1761706254184219,1.2752753753641775,0.002410748872076812,-1.0106638707960545, -0.6484011111421236,0.75,0.5,0.0003225742153622103, 0.0002518799496196477,0.0,1.523236252728007, -0.13641609437428776,0.75,0.5,0.0014781006452734325, 0.00023438526111037178,0.0
36,0.35584103,1.1761706254184219,1.2816590926922842,0.0018440502168545901,-1.0168118997891793, -0.6467745685646935,0.75,0.5,0.0004265195216946265, 0.0002872015148819266,0.0,1.528694357049191, -0.135081405207669,0.75,0.5,0.001277130658201799, 0.00030741921816104616,0.0
37,0.32349184,1.1761706254184219,1.2672783144105682,0.002582748950925636,-1.0178920090445653, -0.6518815555693812,0.75,0.5,0.00039793782882325645, 0.0003386222265297859,0.0,1.5306693026172824, -0.13314212399545314,0.75,0.5,0.0011027823925028831, 0.00019979310529970822,0.0
38,0.29408349,1.1761706254184219,1.2163347906630235,0.0019171031772934055,-1.021051683696863, -0.6468835282364117,0.75,0.5,0.00016223495034398716, 0.0003464139121923841,0.0,1.494796535750964, -0.13647530738326877,0.75,0.5,0.002699853700069874, 0.00025372398375078816,0.0
39,0.26734863,1.1659214758851761,1.1912285876900945,0.001129527194480225,-1.0258204682047545, -0.6402865023762573,0.75,0.5,0.00042943870312758, 0.00045035289048224925,0.0,1.4891043537072466, -0.13870656891782487,0.75,0.5,0.0008442461082580901, 0.00018877745221296962,0.0
40,0.24304421,1.1659214758851761,1.1978183995794787,0.001499352986562482,-1.0186526939912373, -0.635783857304376,0.75,0.5,0.0005934234649963949, 0.0003708084457694171,0.0,1.4909186345268344, -0.1367509434179987,0.75,0.5,0.0008233131836255591, 0.0002832095858602025,0.0
41,0.22094928,1.1659214758851761,1.1922484486742113,0.0008764781695654891,-1.0150674195453624, -0.6350921408215511,0.75,0.5,0.00022648338718972164, 0.00020406659686483786,0.0,1.4893504398329356, -0.1332929239996657,0.75,0.5,0.0011242889714375326, 0.00022364948350012443,0.0
42,0.20086298,1.1659214758851761,1.1863178824864715,0.0008204899006525493,-1.0167106213764816, -0.6370422963263975,0.75,0.5,0.00023752808178903367, 0.0002722941275250492,0.0,1.4871334088249317, -0.13227857266834755,0.75,0.5,0.0013644612415189491, 0.00025461475582952414,0.0
43,0.18260271,1.1659214758851761,1.1901199585478803,0.0010805623157128818,-1.01536999148389, -0.6360868459659373,0.75,0.5,0.0002545920251537916, 0.00019408534605368138,0.0,1.502902883188302, -0.13178522708148366,0.75,0.5,0.0008769121575121878, 0.00019865688524722783,0.0
44,0.16600247,1.1659214758851761,1.1890962859760819,0.0008088434443851538,-1.013924304971369, -0.6376239914635299,0.75,0.5,0.00016950091770838533, 0.00019941634507168857,0.0,1.4969352805061908, -0.13438238527409097,0.75,0.5,0.00114549466475163, 0.00028197105338539837,0.0
45,0.15091133,1.1654913727119827,1.1839543031995114,0.0009455084907203977,-1.018792982796086, -0.6351258286893938,0.75,0.5,0.00026503805131491525, 0.00025595748290059973,0.0,1.4888704470674887, -0.13623408298393555,0.75,0.5,0.0005405420359740878, 0.00018070702451837486,0.0
46,0.13719212,1.1654913727119827,1.194333469834599,0.0009880918773487548,-1.0184196052548926, -0.6368128826363015,0.75,0.5,0.00019249836093001934, 0.0001561771850502663,0.0,1.5048589682900921, -0.13229605907838787,0.75,0.5,0.0016544165827376935, 0.00029777235204592645,0.0
47,0.12472011,1.1654913727119827,1.197091037717112,0.0005787540800994577,-1.0210318432489165, -0.6400114087137718,0.75,0.5,0.00028373108549275736, 0.0003715958842865652,0.0,1.5082409364022857, -0.13169576192953564,0.75,0.5,0.0006896061994160895, 0.00020516537320206264,0.0
48,0.11338192,1.1654913727119827,1.1959138619142446,0.0005323193438935783,-1.0192293015980054, -0.6409611379229938,0.75,0.5,0.00021223599672122256, 0.0002213895079859434,0.0,1.5128019131648938, -0.13142892795109712,0.75,0.5,0.0006923892730057312, 0.00017077464451925462,0.0
49,0.10307447,1.1654913727119827,1.1881080624679141,0.0004517332133028207,-1.0204392964131481, -0.642955650758804,0.75,0.5,0.00012287649656897632, 0.00025190101735825536,0.0,1.504391897002123, -0.13138953790460567,0.75,0.5,0.000931765121567604, 0.0002766216417629813,0.0
50,0.09370406,1.1654913727119827,1.1868892354885667,0.0003370319779378585,-1.0192226512207339, -0.6433660306731556,0.75,0.5,0.00012659131859425906, 0.00014586959583026815,0.0,1.50582237973732, -0.13398102529906372,0.75,0.5,0.000843617775183312, 0.00017989891499927123,0.0
51,0.08518551,1.1654913727119827,1.185756649262828,0.0007898528677065938,-1.0242769992655194, -0.6448520534197173,0.75,0.5,0.0003788798574556435, 0.00018161714510404038,0.0,1.4937926728448736, -0.13292938812759075,0.75,0.5,0.0010507690412466947, 0.00017289204545986397,0.0
52,0.07744138,1.1654913727119827,1.1809263022715506,0.0006489829616764349,-1.0223417271185364, -0.6448693350251609,0.75,0.5,0.00018670145800279463, 0.00011428011390261413,0.0,1.488585238075303, -0.13242343499926484,0.75,0.5,0.0007371562855501045, 0.00019392426757763824,0.0
53,0.07040125,1.1654913727119827,1.1790539665097481,0.0006353247282817276,-1.022207632435609, -0.6459604684911419,0.75,0.5,0.00012907167786198884, 0.0002325885932661027,0.0,1.4746047556882094, -0.13103170672145842,0.75,0.5,0.001499787110677285, 0.00020341210210746217,0.0
54,0.06400114,1.1654913727119827,1.1794189214875228,0.0006817112792187776,-1.023990008775663, -0.6460507529054869,0.75,0.5,0.00020514067024437555, 0.00026032978296363295,0.0,1.4691776591885297, -0.13000093255525008,0.75,0.5,0.0006696237152446434, 0.00016682558294784202,0.0
55,0.05818285,1.1654913727119827,1.1740384979460594,0.00020003846724285312,-1.0243059949660736, -0.6475620169765265,0.75,0.5,0.00021040870760284438, 0.00022024081503637852,0.0,1.4682986655964476, -0.1300348751560315,0.75,0.5,0.0005220431532815888, 0.00011905998433732806,0.0
56,0.0528935,1.1654913727119827,1.1767602089035476,0.0005823591762034459,-1.0231103985537289, -0.6495073652525244,0.75,0.5,0.00020021061990845878, 0.0001236018329882341,0.0,1.4599752226045857, -0.13143016897193638,0.75,0.5,0.0005673175561410401, 0.000144777908812182,0.0
57,0.048085,1.1629839948802319,1.1712627577846666,0.0005726199541916451,-1.0222850430362753, -0.6494764337569426,0.75,0.5,0.0002453844693937203, 0.00013874133603832895,0.0,1.459657999104308, -0.13147443058999736,0.75,0.5,0.0004397297020942574, 0.00012769304124915932,0.0
58,0.04371364,1.160509988501105,1.16702633747479,0.00043349331694176945,-1.0220950055630067, -0.6468533087076404,0.75,0.5,0.00018498621236857262, 0.00020842304097354138,0.0,1.453658715941113, -0.13219092920994366,0.75,0.5,0.000261727179596987, 0.00021004722513078114,0.0
59,0.03973967,1.160509988501105,1.1668366807991044,0.00023951613086285937,-1.0214710272941143, -0.644701938493567,0.75,0.5,0.0002372271609189604, 0.00011693253644969685,0.0,1.4491201281419304, -0.13183035364622825,0.75,0.5,0.00037814946396789464, 0.00011228819236025927,0.0
60,0.03612697,1.153694929385798,1.159836840159846,0.00028397516987203474,-1.0217858253800431, -0.6459704630567934,0.75,0.5,0.00013307082575221368, 0.0001672914313265996,0.0,1.4461122563055686, -0.13371372551334812,0.75,0.5,0.00040058904846699417, 0.0002723642940834436,0.0
61,0.0328427,1.1505346728856616,1.1559423852471506,0.00021517484591018974,-1.0205812203479485, -0.6459781107211048,0.75,0.5,0.00012509297562727787, 0.00015859491951062614,0.0,1.4478091676844056, -0.1360761750551826,0.75,0.5,0.0004527491693928636, 0.00015009899847512754,0.0
62,0.029857,1.1461873988319429,1.1522126848348966,0.0002797333591051845,-1.0222166173520402, -0.6430800963841465,0.75,0.5,0.00022050608134174173, 0.00027359228284206966,0.0,1.4412565273366629, -0.13668813355492218,0.75,0.5,0.0003101423941497493, 0.0001391249946434856,0.0
63,0.02714273,1.1433678966280314,1.1470062083095858,0.00017426424652831492,-1.0236169313566603, -0.6394544576146338,0.75,0.5,0.00012005289842126193, 0.0002670253644023873,0.0,1.4424584846705018, -0.13756048233958343,0.75,0.5,0.0006815912916186848, 0.00010602642299647594,0.0
64,0.02467521,1.1427516803738929,1.1455470566070418,0.00012305385347483695,-1.0242253751177197, -0.6389042434979526,0.75,0.5,0.0001546451209503253, 0.00012104741521615498,0.0,1.4443565388726969, -0.1377394796244161,0.75,0.5,0.0004314717512104417, 7.771987139990367e-5,0.0
65,0.02243201,1.1420961360415784,1.144763959781878,0.00013817871718703,-1.023980178390747, -0.6386368359148553,0.75,0.5,0.00020294610329369496, 0.00013617438392177946,0.0,1.4450400967438066, -0.1382729296143942,0.75,0.5,0.0003304853678788883, 5.226140405609889e-5,0.0
66,0.02039273,1.141933056083577,1.144043554825604,8.88108929330398e-5,-1.022678657474008, -0.6373201857921826,0.75,0.5,9.233062746023974e-5, 0.00010700157540586669,0.0,1.4454684083868568, -0.13900299031177105,0.75,0.5,0.0004723992632133351, 0.00012728061169375862,0.0
67,0.01853885,1.1400438935115111,1.1424234554459525,0.0001075785942763053,-1.0239000991548974, -0.6370798374026893,0.75,0.5,8.485588880783592e-5, 8.877646158579505e-5,0.0,1.4453814274801033, -0.1408675274326236,0.75,0.5,0.0004104086784402934, 4.7141592978881006e-5,0.0
68,0.0168535,1.1385645982747616,1.140528573937446,9.428493725961453e-5,-1.023028795646436, -0.6371038829208924,0.75,0.5,0.00011476953716635756, 6.115462272685546e-5,0.0,1.4432641155964854, -0.1409179357009125,0.75,0.5,0.0002598014565034402, 8.146060406517358e-5,0.0
69,0.01532136,1.138232342041435,1.1396021853258258,4.668700828915926e-5,-1.0249322168207404, -0.6370674036892419,0.75,0.5,0.00017523568747254264, 8.317375399688416e-5,0.0,1.4400878470008274, -0.1405915375372907,0.75,0.5,0.0002680618038945762, 4.656587844026375e-5,0.0
70,0.01392851,1.137675390928825,1.1393212424041739,9.830466922971427e-5,-1.0252426381863053, -0.6372563896836911,0.75,0.5,0.00012146384606932877, 0.00012223812665995996,0.0,1.4385431042648684, -0.1396889606362171,0.75,0.5,0.0002059520563933763, 6.25599053962454e-5,0.0
71,0.01266228,1.136171175380229,1.1379230652265213,0.00012415125398853257,-1.0254836075384546, -0.6361933291472661,0.75,0.5,0.00021652325533336468, 0.00010864733567771157,0.0,1.4356723734328105, -0.14098466768831197,0.75,0.5,0.0003363898987972392, 0.00011957329727915625,0.0
72,0.01151117,1.135697086484122,1.137024256532484,7.93987147447798e-5,-1.0264044337217602, -0.634548307832706,0.75,0.5,0.00011226596425573056, 6.800150588441569e-5,0.0,1.4283923693601548, -0.14086219850150677,0.75,0.5,0.00015942876793387803, 6.902085048567032e-5,0.0
73,0.0104647,1.1341417674588377,1.1360688400942422,0.00012321746306781633,-1.0272167203685991, -0.6345173134111441,0.75,0.5,9.269736116644724e-5, 8.763186063931028e-5,0.0,1.4300603485639463, -0.13996137016541618,0.75,0.5,0.0002895598045611462, 7.432988534625926e-5,0.0
74,0.00951336,1.1341417674588377,1.1353664736990148,4.5350516811195684e-5,-1.0277196872686256, -0.6352780466022723,0.75,0.5,9.148662260865621e-5, 0.00010710953213001694,0.0,1.4303560054227475, -0.1415204230426487,0.75,0.5,0.0002192126804873301, 5.039411421937751e-5,0.0
75,0.00864851,1.1341417674588377,1.1354897849083943,6.329657270419396e-5,-1.0271870800719076, -0.6357212807158656,0.75,0.5,0.00011450960157650492, 0.0001344569885592161,0.0,1.4321040783140846, -0.1415908474227109,0.75,0.5,0.00024470361187547984, 7.833375734521887e-5,0.0
76,0.00786228,1.133328970462313,1.1345533491646222,6.365508668013993e-5,-1.0278001232461702, -0.6371314682916728,0.75,0.5,9.735359312486396e-5, 0.00010562789448686654,0.0,1.4317138123532567, -0.14237079209575937,0.75,0.5,0.0003698540603036046, 7.712479792937629e-5,0.0
77,0.00714753,1.1324545148233234,1.1336502434072644,6.881240884786788e-5,-1.0268179697782507, -0.636766019322389,0.75,0.5,5.486395296357571e-5, 0.00011888152581489953,0.0,1.4335082199040978, -0.14278436703098057,0.75,0.5,0.00035522162204380575, 4.376581184799279e-5,0.0
78,0.00649775,1.1324147054128921,1.133099088851185,2.9877739062435036e-5,-1.0270380049042058, -0.6357481218163011,0.75,0.5,0.00011596883720249098, 5.245990446148069e-5,0.0,1.4386779560728415, -0.1424297389780974,0.75,0.5,0.0004580921662179828, 3.75268306859462e-5,0.0
1,10.0,1.2604998266578193,2.7494393703401916,0.07225766475651169,-1.0059264089575692, -0.6626879919848732,0.75,0.5,0.0005530949604673104, 0.0010382832879199059,0.0,1.4896693449959784, -0.1339884782149946,0.75,0.5,0.002408782935125907, 0.0008321116891536924,0.0
2,9.09090909,1.2604998266578193,2.696143981697841,0.08284326768023408,-1.0060189465819036, -0.6639255821435939,0.75,0.5,0.0006960609343814865, 0.0009669876618356473,0.0,1.487137527444776, -0.12558846835076007,0.75,0.5,0.0027562882041352126, 0.0006602183100300983,0.0
3,8.26446281,1.2169978362951501,2.377176257175344,0.04759308443199452,-1.0113770439396548, -0.6576954630328388,0.75,0.5,0.0008114753372223197, 0.0009726555248825172,0.0,1.4880588318581245, -0.13197163806894707,0.75,0.5,0.002428285684494009, 0.000792076826016365,0.0
4,7.51314801,1.1923606553328503,2.048010727381201,0.04398700704100135,-1.0098953123410292, -0.6547825376076386,0.75,0.5,0.0010165320717369314, 0.001638562616001749,0.0,1.5014730235014606, -0.1437997438031567,0.75,0.5,0.0020719698654792108, 0.001098489777670597,0.0
5,6.83013455,1.1923606553328503,2.0939613155017507,0.04687024106133305,-1.0099454982689102, -0.6535423468792858,0.75,0.5,0.0010395160068420333, 0.0012709628249328879,0.0,1.4882599783944184, -0.13604388218271898,0.75,0.5,0.00226119912137167, 0.0010131874197822851,0.0
6,6.20921323,1.1923606553328503,2.2622505195375315,0.06488880599943606,-1.009967507304811, -0.6585997099211708,0.75,0.5,0.0009868459816266483, 0.0012333335703506331,0.0,1.488295720796895, -0.12936403274327984,0.75,0.5,0.0024154215362665985, 0.0016882436903530196,0.0
7,5.6447393,1.1923606553328503,1.8395963944082603,0.023802615108655126,-1.0105309887783505, -0.6528645083726311,0.75,0.5,0.0007749182361290728, 0.0006614687596937378,0.0,1.5033151272501362, -0.13998381451991182,0.75,0.5,0.0025158878983190924, 0.0006735308340829358,0.0
8,5.13158118,1.1923606553328503,1.7270353037779949,0.03270495156852137,-1.0098044688375674, -0.6503727029913301,0.75,0.5,0.0005443635562573375, 0.000997838548565066,0.0,1.5097281442028296, -0.14428219465496817,0.75,0.5,0.002318812633758478, 0.0009966950403882215,0.0
9,4.6650738,1.1923606553328503,1.7223857084445928,0.0365614514853761,-1.0153020153012666, -0.6514551805118617,0.75,0.5,0.0005639578074804408, 0.001119064029358083,0.0,1.5014094042676578, -0.14318559517091775,0.75,0.5,0.0018969839062303775, 0.0009346909646663924,0.0
10,4.24097618,1.1923606553328503,1.6405667015151686,0.021038544006930955,-1.018452934413299, -0.6471216748528135,0.75,0.5,0.0006876830770517864, 0.000778744809596301,0.0,1.4929956396108848, -0.1474075725025466,0.75,0.5,0.0019167752088001802, 0.0011690803990429958,0.0
11,3.85543289,1.1861829957168823,1.5214642494050366,0.010735598685917105,-1.0176033350308986, -0.6443908298468968,0.75,0.5,0.0006587508757896568, 0.0014459138344670368,0.0,1.5001149418551896, -0.1532804995425504,0.75,0.5,0.0022396719594287924, 0.0009013896037638245,0.0
12,3.50493899,1.1861829957168823,1.4991553570566447,0.015224939469740496,-1.0171091473161264, -0.6410879329563992,0.75,0.5,0.000640244313613628, 0.0010417919125087815,0.0,1.4985264626177677, -0.15454821806260316,0.75,0.5,0.0029334819897226844, 0.0004716170989056594,0.0
13,3.18630818,1.1765098944003467,1.4169424518952056,0.009717248053107311,-1.0217696552073197, -0.6376435408167282,0.75,0.5,0.0005574297194218242, 0.00043543441127023445,0.0,1.5011581457029712, -0.14689541434540385,0.75,0.5,0.002046677025564552, 0.0008227704765703719,0.0
14,2.8966438,1.1765098944003467,1.5375109011287174,0.017205455956709616,-1.0086623238643924, -0.6509358217141391,0.75,0.5,0.0006759430634403202, 0.0008453258000846084,0.0,1.5162844286428618, -0.13741384783558672,0.75,0.5,0.00219842065571288, 0.0004888616160872353,0.0
15,2.63331254,1.1765098944003467,1.5016355590559727,0.01608571092812346,-1.0137180077915664, -0.648158640129884,0.75,0.5,0.0008920362591809452, 0.0005650853033529035,0.0,1.513023560768421, -0.13751054075565422,0.75,0.5,0.002616839411294713, 0.0005232416780136096,0.0
16,2.39392049,1.1765098944003467,1.499051988202066,0.018064738897325128,-1.013649010151704, -0.6454603090940529,0.75,0.5,0.0006377581474408633, 0.0006870893377971864,0.0,1.496530578005723, -0.1407559364595095,0.75,0.5,0.001963495122350054, 0.0003771392617615782,0.0
17,2.17629136,1.1765098944003467,1.49093057323376,0.01757525737162378,-1.0137931121347956, -0.6475478693910843,0.75,0.5,0.0007490149222026876, 0.0007125118257050169,0.0,1.491010582722091, -0.13821682302354138,0.75,0.5,0.001940566740536374, 0.0005923896892071193,0.0
18,1.97844669,1.1765098944003467,1.3943004450681067,0.01130441961422758,-1.0203766144480777, -0.6474410053015917,0.75,0.5,0.00048591313532137507, 0.00038877872737403134,0.0,1.5064712624550367, -0.13301888517617638,0.75,0.5,0.0020167067019322346, 0.000633688476108262,0.0
