j,theta,chi2_min,chi2_avg,chi2_sigma,w_edge_R,w_n0_R,n0_R,eps_R,w_edge_R_sigma,w_n0_R_sigma,n0_R_sigma,w_edge_L,w_n0_L,n0_L,eps_L,w_edge_L_sigma,w_n0_L_sigma,n0_L_sigma,w_cont0,w_contf
0,10.0,9458.049005846793,188150.02931893308,77874.57319309514,-1.3428930446842957, -0.7164577584540979,0.75,0.5,0.05885692305212309, 0.0363535274974609,0.0,0.7745916110082225, 0.4216645152887993,0.75,0.5,0.0353502419698264, 0.022559286388983007,0.0,-0.9910938541229909,0.9546769595113874
1,10.0,6599.266913010131,7624.895509217447,167.7738497115084,-0.9574888648305366, -0.9228438819842791,0.75,0.5,0.003075792887458966, 0.0005498966385499312,0.0,1.0261101673407704, 0.35111207573001485,0.75,0.5,0.005774388949535935, 0.0021704505539887385,0.0,-0.9438979516703341,1.043776694143649
2,9.09090909,4987.770407515993,5843.453013523869,104.39091641054755,-0.9394275307921843, -0.9142006416874915,0.75,0.5,0.0007172696337741864, 0.0006187132412069624,0.0,1.0996703431829717, 0.32030025882086643,0.75,0.5,0.004585560144232937, 0.0019472070208429702,0.0,-0.9335026836751342,1.0349760716158418
3,8.26446281,3330.501165532563,4075.2510322880607,107.99582644240654,-0.9268348608494209, -0.9022624443461875,0.75,0.5,0.0007566816471588921, 0.000917396903374517,0.0,1.1779879287854327, 0.2881363619656082,0.75,0.5,0.005192025761732362, 0.002193300308236436,0.0,-0.9195768084035787,1.1655854931106493
4,7.51314801,2660.6857951683915,2961.0932107125323,40.69235493497529,-0.9181438067007793, -0.8942563515629194,0.75,0.5,0.00035663001530270456, 0.00020935936749616523,0.0,1.2419798452385344, 0.2562493948798602,0.75,0.5,0.0030041714348044146, 0.001609125586891861,0.0,-0.9173424617941198,1.2370647349948132
5,6.83013455,2114.307643273755,2338.439739369991,34.53092572333727,-0.9146522205034842, -0.8911641438129205,0.75,0.5,0.00027415025705829617, 0.00016662449469844498,0.0,1.2871404397249164, 0.23075289586421976,0.75,0.5,0.002815159126159242, 0.0015069238664720073,0.0,-0.9153555338250237,1.2940563678615182
6,6.20921323,1719.842329361774,1930.3297062360293,25.567002150091568,-0.9123903082018602, -0.8883090493416038,0.75,0.5,0.00032627970021852044, 0.00012857100178111132,0.0,1.3186367738721831, 0.21287265957705587,0.75,0.5,0.001985588836733788, 0.0011940093346083354,0.0,-0.9103611030497976,1.3274457768753982
7,5.6447393,1363.7649192533897,1539.9251626972027,22.911064947913413,-0.910048842682969, -0.8855365100181662,0.75,0.5,0.000223919191939449, 0.00022786549054177902,0.0,1.350493001687703, 0.19419586511799725,0.75,0.5,0.0019792034513262248, 0.0011825630683707704,0.0,-0.9069026882928026,1.3555464998469866
8,5.13158118,1104.7902220315932,1224.8456393951058,16.196092910745094,-0.9068985451066176, -0.8833722224203007,0.75,0.5,0.0002004456885602956, 0.0002341455030350835,0.0,1.3788235737458592, 0.17784550768512802,0.75,0.5,0.0014878309706166794, 0.0009511788342226749,0.0,-0.9073852096953663,1.3738270399413746
9,4.6650738,832.2148298339945,977.1903428061445,18.85991597196734,-0.9053440133810089, -0.8806510699596874,0.75,0.5,0.00020128205399932145, 0.0002927389302697686,0.0,1.4016853152943654, 0.16312099701719054,0.75,0.5,0.00205409339051523, 0.0012255079265858359,0.0,-0.9072092218287664,1.4057764134516826
