j,ar_cont_s,∆w_cont_s,ar_cont_d,∆w_cont_d,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,NaN,NaN,0.0,-3.5595423976923216e-7,0.0,0.0,0.49369166666666664,0.000167917893368446,0.5052115059221658,30.395939086294415,0.0
1,NaN,NaN,0.0,-1.647762012347447e-13,0.0,0.0,0.49884353741496595,0.0001828963888922186,0.5003453157912912,30.20812182741117,0.0
2,NaN,NaN,0.0,-7.627721055087143e-20,0.0,0.0,0.49191304347826076,0.00019665806391801083,0.5064842198190245,30.85786802030457,0.0
3,NaN,NaN,0.0,-3.530978870627794e-26,0.0,0.0,0.49680284191829477,0.00019854557541441084,0.5052158938247785,29.97969543147208,0.0
4,NaN,NaN,0.0,-1.6345395557569312e-32,0.0,0.0,0.49731818181818177,0.000189489887731263,0.5061190586063682,30.558375634517766,0.0
5,NaN,NaN,0.0,-7.566512452279404e-39,0.0,0.0,0.502592936802974,0.0001548141343663366,0.49956598041250727,29.98984771573604,0.0
6,NaN,NaN,0.0,-3.5026445514184373e-45,0.0,0.0,0.49265714285714296,0.0001745434771604214,0.503562968334542,29.923857868020306,0.0
7,NaN,NaN,0.0,-1.621423202691669e-51,0.0,0.0,0.5008966861598441,0.000189690991520091,0.5026864962745272,28.95939086294416,0.0
8,NaN,NaN,0.0,-7.505795017545412e-58,0.0,0.0,0.49290999999999996,0.00016497130069660241,0.49887309644670047,28.83756345177665,0.0
9,NaN,NaN,0.0,-3.4745376007871634e-64,0.0,0.0,0.4935553278688525,0.00016148268720739655,0.5023508363152202,29.431472081218274,0.0
10,NaN,NaN,0.0,-1.608412101724543e-70,0.0,0.0,0.4966842105263158,0.00017818545200665056,0.5045685279187817,27.99492385786802,0.0
11,NaN,NaN,0.0,-7.445564809509828e-77,0.0,0.0,0.4880669546436285,0.00015703301779472045,0.5027792700441832,28.756345177664976,0.0
12,NaN,NaN,0.0,-3.446656194216151e-83,0.0,0.0,0.5014666666666667,0.0001580090321736762,0.49658206429780033,28.248730964467004,0.0
13,NaN,NaN,0.0,-1.5955054082607116e-89,0.0,0.0,0.49124429223744287,0.00018083106749491474,0.5058178615302599,28.258883248730964,0.0
14,NaN,NaN,0.0,-7.385817918424896e-96,0.0,0.0,0.49585882352941174,0.0001970827603189735,0.4958733950432965,27.715736040609137,0.0
15,NaN,NaN,0.0,-3.418998521828419e-102,0.0,0.0,0.4961259079903148,0.00016289123641282467,0.4999201091432013,26.913705583756347,0.0
16,NaN,NaN,0.0,-1.5827022844827794e-108,0.0,0.0,0.49518749999999995,0.00017276149364752288,0.4950253807106599,27.17258883248731,0.0
17,NaN,NaN,0.0,-7.3265504659165665e-115,0.0,0.0,0.4913659793814433,0.0001632371896985773,0.5052462190590821,27.482233502538072,0.0
